Question,Answer,Guideline
"What are the therapy options for hormone receptor-positive, HER2-negative metastatic breast cancer with PIK3CA mutations?",Endocrine therapy combined with alpelisib,breast_cancer_3
"How effective is elacestrant for ESR1 wild-type tumors in hormone receptor-positive, HER2-negative metastatic breast cancer?","Elacestrant is not significantly more effective than standard endocrine therapy for ESR1 wild-type tumors, as demonstrated in the EMERALD trial.",breast_cancer_3
"For HER2-negative metastatic breast cancer refractory to endocrine therapy, should single-agent chemotherapy or sacituzumab govitecan be offered?","Single-agent chemotherapy is preferred, starting with agents like capecitabine or eribulin",breast_cancer_4
"In hormone receptor-positive, HER2-negative metastatic breast cancer, when should ctDNA testing be performed?","ctDNA testing is recommended at recurrence or progression on endocrine therapy, as ESR1 mutations often emerge under treatment pressure.",breast_cancer_3
"What is the recommendation for premenopausal women with node-positive, ER-positive, HER2-negative breast cancer?",Oncotype DX should not be used to guide chemotherapy decisions for premenopausal women with node-positive disease.,breast_cancer_7
When can the Breast Cancer Index (BCI) test be offered for extended endocrine therapy decisions?,The BCI test may be offered to patients with 0-3 positive nodes who completed 5 years of endocrine therapy without recurrence.,breast_cancer_7
What are the benefits of adjuvant bisphosphonate therapy in postmenopausal breast cancer patients?,Adjuvant bisphosphonates improve overall survival modestly and reduce risks of bone recurrence and fracture rates.,breast_cancer_8
"Which bisphosphonates are recommended for adjuvant therapy, and what are the doses?","Recommended options include oral clodronate (1,600 mg daily for 2-3 years), oral ibandronate (50 mg daily for 3 years), and zoledronic acid (4 mg every 6 months for 3 years).",breast_cancer_8
Should adjuvant denosumab be used to prevent recurrence in breast cancer?,Denosumab is not recommended as it does not consistently reduce recurrence rates.,breast_cancer_8
What is the recommendation for testing for ESR1 mutations in metastatic breast cancer?,Routine ESR1 mutation testing is not recommended,breast_cancer_6
What biomarker testing is advised for metastatic HER2-negative breast cancer with immune checkpoint inhibitor candidates?,Testing for PD-L1 expression in tumor and immune cells is recommended to determine eligibility for pembrolizumab plus chemotherapy.,breast_cancer_6
Should circulating tumor DNA (ctDNA) be routinely used to monitor therapy response in metastatic breast cancer?,Routine use of ctDNA for monitoring therapy response is not recommended due to insufficient data.,breast_cancer_6
Can adjuvant pembrolizumab be administered with radiation therapy?,Adjuvant pembrolizumab can be given concurrently with or after completion of radiation therapy.,breast_cancer_9
How many years of abemaciclib should be used in combination with endocrine therapy in high-risk early-stage breast cancer?,"Two years of abemaciclib (150 mg twice daily) with endocrine therapy for ≥5 years may be offered to patients with high-risk hormone receptor-positive, HER2-negative early-stage breast cancer.",breast_cancer_10
What are the criteria for high-risk early breast cancer suitable for abemaciclib treatment?,"Criteria include ≥4 positive axillary lymph nodes or 1-3 positive nodes with tumor size ≥5 cm, histologic grade 3, or Ki-67 ≥20%.",breast_cancer_10
Is the use of abemaciclib restricted to patients with a high Ki-67 score?,Abemaciclib is recommended for broader patient populations at high risk of recurrence regardless of Ki-67 status.,breast_cancer_10
What is the role of olaparib in early-stage HER2-negative breast cancer with germline BRCA mutations?,Olaparib is recommended for one year after (neo)adjuvant chemotherapy and local treatment in high-risk early-stage HER2-negative breast cancer with BRCA mutations.,breast_cancer_11
What clinical criteria define high-risk patients eligible for olaparib?,"Eligibility includes triple-negative tumors >2 cm or node involvement, or hormone receptor-positive disease with ≥4 involved lymph nodes or a CPS-EG score ≥3.",breast_cancer_11
What are the main findings from the OlympiA trial regarding olaparib?,The OlympiA trial demonstrated improved invasive and distant disease-free survival with olaparib compared to placebo.,breast_cancer_11
"What is the recommendation for first-line treatment of triple-negative, PD-L1-positive metastatic breast cancer?",The addition of immune checkpoint inhibitors (atezolizumab or pembrolizumab) to chemotherapy is recommended.,breast_cancer_12
"What is the preferred treatment for triple-negative, PD-L1-negative metastatic breast cancer?",Single-agent chemotherapy is preferred,breast_cancer_12
"What therapies are recommended for HR-positive HER2-negative metastatic breast cancer with BRCA mutations, who have progressed on endocine therapy?",Oral PARP inhibitors (olaparib or talazoparib) are recommended ,breast_cancer_12
"For patients with  HR-positive, HER2-negative who develop recurrence within one year of adjuvant AI therapy, what is the recommended in replacment of AI?",Fulvestrant or CDK4/6 inhibitors should be offered,breast_cancer_13
"When is sentinel lymph node biopsy not required for patients with early-stage hormone receptor-positive, HER2-negative invasive breast cancer?",Sentinel lymph node biopsy is not required for clinically node-negative women aged ≥70 years who will receive hormonal therapy.,breast_cancer_14
How should axillary treatment be approached for patients undergoing mastectomy with 1-2 positive sentinel nodes?,"Postmastectomy radiation to the axilla is recommended, and axillary lymph node dissection can be safely omitted.",breast_cancer_14
What are the recommendations for radiotherapy after neoadjuvant chemotherapy in node-positive early-stage breast cancer?,Locoregional nodal irradiation is recommended,breast_cancer_14
"What is the recommended neoadjuvant therapy for HER2-positive, node-positive breast cancer?",Patients should receive neoadjuvant therapy with an anthracycline and taxane-based regimen in combination with trastuzumab and pertuzumab.,breast_cancer_15
"How should neoadjuvant endocrine therapy be used in HR-positive, HER2-negative early-stage breast cancer?","For postmenopausal patients, neoadjuvant endocrine therapy with an aromatase inhibitor may be offered to increase surgical options.",breast_cancer_15
What is the recommendation for first-line therapy for esophageal SCC with PD-L1 TPS≥1%?,Administer nivolumab plus fluoropyrimidine- and platinum-based chemotherapy.,gi_cancer_2
When is ramucirumab plus paclitaxel recommended?,For advanced gastroesophageal cancer patients progressing after first-line therapy.,gi_cancer_2
What is recommended for HER2-positive gastric cancer patients after progression on first-line therapy?,Trastuzumab deruxtecan is recommended.,gi_cancer_2
Should adjuvant chemotherapy be recommended for stage II colon cancer patients with dMMR/MSI tumors?,Adjuvant fluoropyrimidine-only chemotherapy is not recommended.,gi_cancer_4
Should adjuvant chemotherapy be offered for low-risk stage II colon cancer patients?,ACT is not routinely recommended.,gi_cancer_4
What is the duration of oxaliplatin-based chemotherapy for high-risk stage II colon cancer?,"3 or 6 months, decided based on patient preference and potential for adverse events.",gi_cancer_4
What chemotherapy is recommended as radiosensitizer for stage I-III anal SCC?,Mitomycin-C with fluorouracil (FU) or capecitabine.,gi_cancer_1
How should patients with BRAF V600E-mutant mCRC receive after prior chemotherapy?,Encorafenib plus cetuximab is recommended.,gi_cancer_3
Should anti-EGFR be added as the first-line therapy for RAS mutatnt left-sided mCRC?,"No,  anti-EGFR is added for RAS wild type left-sided mCRC",gi_cancer_3
When is stereotactic body radiation therapy recommended for liver oligometastases in mCRC?,It may be recommended after systemic therapy if resection is not feasible.,gi_cancer_3
How long is the healing period from dental procedure before radiation therapy for head and neck cancer patients to prevent osteoradionecrosis (ORN)?,Ensure at least a 2-week healing period when possible.,headneck_cancer_1
What are the surgical recommendations for advanced-stage ORN in head and neck cancer patients?,"For advanced ORN, surgical debridement or resection with vascularized bone reconstruction is recommended to restore function and manage complications.",headneck_cancer_1
Should immunotherapy single agent be initiated in metastatic head and neck squamous cell carcinoma (HNSCC) with PD-L1 < 1?,"No, combination therapy is preferred for CPS <1.",headneck_cancer_2
What are the guidelines for immunotherapy in platinum-refractory recurrent or metastatic HNSCC?,Pembrolizumab or nivolumab should be offered to patients regardless of PD-L1 CPS status.,head_neck_cancer_2
What is the recommendation for PD-L1 biomarker testing in recurrent/metastatic HNSCC?,"PD-L1 immunohistochemistry testing is recommended, and a CPS ≥1 is considered positive for PD-1 inhibitor therapy.",headneck_cancer_2
Can radiation therapy be integrated with immunotherapy for recurrent HNSCC?,Radiation therapy may be safely administered concurrently with immunotherapy for palliative or local control in oligometastatic settings,headneck_cancer_2
What are the PARP inhibitor recommendations for newly diagnosed advanced ovarian cancer responding to platinum-based chemotherapy?,"PARP inhibitors are recommended as maintenance therapy for BRCA-mutated or HRD-positive patients, with varying regimens based on genetic status.",gynecologic_cancer_1
What is the effect of PARP inhibitors on patients' overall survival in recurrent ovarian cancer without BRCA-mutation or HRD-positivity?,Evidence suggests potential overall survival detriments in later-line treatments with PARP inhibitors,gynecologic_cancer_1
What is the effect of PARP inhibitors on patients' progression-free survival in recurrent ovarian cancer without BRCA-mutation or HRD-positivity?,PARP inhibitors demonstrated progression-free survival benefits,gynecologic_cancer_1
What surgical approach is recommended for T3-T4 parotid cancers with high-grade malignancy?,"At least a superficial parotidectomy, with consideration of total or subtotal parotidectomy.",headneck_cancer_3
What is the recommended follow-up imaging schedule for high-grade salivary gland cancers post-treatment?,"Baseline imaging at 3 months, every 6-12 months for the first 2 years, and symptom-directed imaging from years 3-5. Yearly chest CT may be considered for high-grade cases.",headneck_cancer_3
What chemotherapy regimen is recommended for stage III-IVA nasopharyngeal carcinoma (NPC) during induction?,"Platinum-based regimens such as GP (gemcitabine and cisplatin) or TPF (docetaxel, cisplatin, 5-fluorouracil) every 3 weeks for 2-3 cycles.",headneck_cancer_4
What radiotherapy technique is preferred for stage II-IVA nasopharyngeal carcinoma?,Intensity-modulated radiotherapy (IMRT) with daily image guidance is strongly recommended.,headneck_cancer_4
What is the role of adjuvant chemotherapy for T3N0 nasopharyngeal carcinoma patients?,"Adjuvant chemotherapy may be offered, typically using a PF regimen.",headneck_cancer_4
What is the schedule of radiation recommended for radiotherapy in nasopharyngeal carcinoma?,A dose of 70 Gy in 33-35 fractions (2.0-2.12 Gy per fraction) over 7 weeks is recommended.,headneck_cancer_4
What are the treatment options for MET exon 14 skipping mutation-positive NSCLC?,Capmatinib or tepotinib are recommended.,lung_cancer_3
What is the guideline for first-line treatment in EGFR exon 20 insertion NSCLC?,Chemotherapy combined with amivantamab,lung_cancer_3
What is the recommended first-line treatment for stage IV NSCLC with EGFR exon 19 deletion mutation?,Osimertinib is recommended as the first-line treatment,lung_cancer_1
How should patients with stage IV NSCLC and EGFR mutation progress after osimertinib treatment?,"Platinum-based chemotherapy, with or without amivantamab",lung_cancer_1
What is the first line treatment for stage IV NSCLC with ROS1 fusion mutation?,"First-line treatment includes repotrectinib, entrectinib, or crizotinib.",lung_cancer_1
What is the benefit of amivantamab plus lazertinib over osmiertinib alone in untreated EGFR mutation-positive stage IV NSCLC?,Amivantamab plus lazertinib showed a median PFS of 23.7 months compared to 16.6 months with osimertinib alone.,lung_cancer_1
Should anti-PD-L1 be used for second-line therapy for EGFR mutation-positive NSCLC without targetable alterations?,Anti-PD-(L)1 agents are not recommended,lung_cancer_1
How should osimertinib be administered with chemotherapy for advanced EGFR-mutated NSCLC?,Osimertinib plus platinum-based chemotherapy with maintenance pemetrexed is recommended for certain patients.,lung_cancer_1
What is the treatment recommendation for ROS1-positive NSCLC after progression on crizotinib?,Patients may be offered lorlatinib as a second-line treatment.,lung_cancer_1
What is the efficacy of atezolizumab plus bevacizumab and chemotherapy in EGFR-mutated NSCLC?,"In the ATTLAS trial, this combination showed a median PFS of 8.48 months compared to 5.62 months with chemotherapy alone.",lung_cancer_1
What are the recommendations for 1st line therapy in patients with MET exon 14 skipping mutations?,Capmatinib or tepotinib are recommended as first-line therapies.,lung_cancer_1
What is the treatment for KRAS G12C-mutated NSCLC as 1st line therapy?,Chemotherapy,lung_cancer_1
What is the recommendation for RET rearrangement-positive NSCLC as 1st line therapy?,Selpercatinib or pralsetinib are recommended as first-line therapies.,lung_cancer_1
How should clinicians manage EGFR T790M resistance alterations in advanced NSCLC?,Osimertinib is the recommended treatment for EGFR T790M resistance alterations.,lung_cancer_1
What is the first-line treatment for patients with stage IV NSCLC and PD-L1 TPS ≥50%?,Single-agent immunotherapy,lung_cancer_4
Should single agent pembrolizumab be used for stage IV squamous NSCLC and PD-L1 expression 32%?,Pembrolizumab plus carboplatin and paclitaxel (or nab-paclitaxel) is recommended as first-line therapy.,lung_cancer_4
What is the recommended therapy for stage IV NSCLC with PD-L1 TPS of 0?,Pembrolizumab plus carboplatin and pemetrexed,lung_cancer_4
What are the options for patients with stage IV NSCLC with squamous histology and PD-L1 TPS ≥50%?,"Single-agent pembrolizumab, cemiplimab, or atezolizumab, or combination with chemotherapy, may be offered.",lung_cancer_4
What is the recommended adjuvant therapy for completely resected stage I-IIIA NSCLC with EGFR mutations?,Adjuvant osimertinib is recommended,lung_cancer_5
How should stage II-IIIA NSCLC patients with PD-L1 expression ≥1% be managed after surgery?,Adjuvant atezolizumab is recommended after cisplatin-based chemotherapy for patients with PD-L1 ≥1%.,lung_cancer_5
What is the adjuvant therapy for resected stage IIB-IIIA NSCLC without EGFR mutations or high PD-L1?,Cisplatin-based chemotherapy is recommended as the adjuvant therapy.,lung_cancer_5
Should osimertinib be recommended for stage IB NSCLC with tumors ≥4 cm with EGFR mutation?,Adjuvant osimertinib may be considered,lung_cancer_5
What is the recommended neoadjuvant therapy for resectable stage III NSCLC with N2 disease?,Neoadjuvant chemotherapy or concurrent chemoradiation,lung_cancer_6
What is the management for stage III NSCLC that is medically inoperable?,Concurrent chemoradiation is recommended as the definitive therapy,lung_cancer_6
What is the evidence-based radiation dose for stage III NSCLC treated with chemoradiation?,A dose of 60 Gy in conventional fractionation is recommended for concurrent chemoradiation.,lung_cancer_6
What is the length of consolidation immunotherapy for patients with stage III NSCLC finished chemoradiation?,Consolidation durvalumab for up to 12 months is recommended,lung_cancer_6
"For patients with resected stage III NSCLC and EGFR mutation, should adjuvant chemotherapy still be offered?","Yes, platinum-based chemotherapy should be offered before osimertinib",lung_cancer_6
What is the maximum course of adjuvant pembrolizumab for resected stage IIB or IIC melanoma?,Adjuvant pembrolizumab is given as 200 mg every 3 weeks for a maximum of 15 courses.,melanoma_cancer_1
What is the recommended therapy for resectable stage IIIB-IV cutaneous melanoma?,"Neoadjuvant pembrolizumab is recommended, followed by resection and adjuvant pembrolizumab.",melanoma_cancer_1
What therapy should be avoided in BRAF-mutant unresectable melanoma after progression on anti-PD-1?,Ipilimumab-containing regimens should be avoided after progression on other therapies.,melanoma_cancer_1
What are the therapy options for metastatic uveal melanoma for HLA-A*02:01-positive patients?,Tebentafusp is recommended for HLA-A*02:01-positive patients with metastatic uveal melanoma.,melanoma_cancer_1
What radiation dose is suggested for brain metastases less than 2 cm in size?,Single-fraction SRS with 2000-2400 cGy is recommended.,neurooncology_cancer_1
When is tumor size cutoff that surgery is preferred over SRS for brain metastases?,Surgery is conditionally recommended for brain metastases over 4 cm.,neurooncology_cancer_1
"For asymptomatic brain metastases from EGFR-mutant NSCLC, should local therapy be offered?",Local therapy delayed until intracranial progression after osimertinib,neurooncology_cancer_2
What is the number of brain mets that SRS be chosen over WBRT for unresected brain metastases?,SRS alone is recommended for 1-4 unresected brain metastases.,neurooncology_cancer_2
Should radiation therapy be offered to patients with KPS ≤ 50 and brain metastases?,Radiation therapy is not recommended for patients with KPS ≤ 50.,neurooncology_cancer_2
"What is the alternative treatment for oligodendroglioma, IDH-mutant, 1p19q codeleted, CNS WHO grade 2, due to toxicity concerns?",Temozolimide ,neurooncology_cancer_3
"What is treatment for a patient with metastatic non-small cell lung cancer and ERBB2 mutation, who has progressed from frontline carboplatium/pembrolizumab/pemetrexate treatment?",trastuzumab deruxtecan,NCCN_NSCLC
"In a patient with metasatic non-small cell lung cancer and HER2 mutation, should carbo/pem/pem or T-DXd used as the first line?","carboplatium, pemetrexate, pemrbolizumab should still be used as the first line",NCCN_NSCLC
"For patients with metasatic non-small cell lung cancer and HER2 mutation, who has progressed on an ADC (T-DXd), should another ADC (T-DM1) still be used as a subsequent therapy?","yes, for patients who progressed on T-DXd, T-DM1 is still an option",NCCN_NSCLC
Sunvozertinib can be used as a 2nd line therapy for NSCLC for patients with what gene mutations?,EGFR exon 20 insertion,NCCN_NSCLC
Datopotamab derutecan can be used as a 2nd line therapy for NSCLC for patients with what gene mutations?,EGFR mutation,NCCN_NSCLC
"What is treatment for a patient with metastatic non-small cell lung cancer and ERBB2 mutation, who has progressed from frontline carboplatium/pembrolizumab/pemetrexate treatment and trastuzumab deruxtecan?",zongertinib,NCCN_NSCLC
"A patient with extensive stage small cell lung cancer who relapsed in 6 months after finishing carboplatin/etoposide/atezolizumab, what is the recommended secondary line therapy?",tarlatamab,NCCN_SCLC
"A patient with limited stage small cell lung cancer now relapsed in 2 months after finishing chemotherapy and radiation, should the patient receive irinotecan as the preferred second line treatment?","no, tarlatamab should be used",NCCN_SCLC
"A patient with metastatic melanoma, who had received ipi/nivo, nivo/rela, and pembrolizumab, and does not have BRAF mutation, what is the preferred treatment?",lifileucel,NCCN_melanoma
"A patient with metastatic melanoma and BRAF mutation, who had received BRAF/MEK inhibitors and an anti-PD-1 based therapy, now with melanoma progression, what is the preferred treatment?",lifileucel,NCCN_melanoma
When should aspirin be incoperated in the treatment of localized dMMR colon cancer?,if presence of PIK3CA mutation,NCCN_gi
"What medication should be added as the frontline therapy in locally advaced esophageal adenocarcinoma, who has overexpression of CLDN18.2?",zolbetuximab,NCCN_gi
Should CLDN18.2 testing be performend on pathology sample obtained from patients with locally advanced GE junction adenocarcinoma?,"yes, postive CLDN18.2 can guide frontline therapy",NCCN_gi
Should patients with HR+ metastatic breast cancer and HER-2 negative with IHC 0+ still receive HER-2 targeted therapy?,"yes, T-DXd should be considered even if HER2 IHC is faintly positive (0+)",NCCN_breast
"In the TROPION-BREAST01 trial, for those who have received a prior endocrine-based therapy and chemotherapy for unresectable or metastatic disease, did datopotamab deruxtecan meet prior outcome of improved overall survival?",no,NCCN_breast
"For patients with isolated extramedullary disease of AML, aka myeloid sarcoma, is radiation threapy sufficient to achieve long-term remission?","no, RT can be used for residual disease or debulk, where systemic therapy is needed",NCCN_AML
"For patients with multiple myeloma who are not a candidate for autologous stem cell transplant, should quadruple therapy be still offered if patients are not frail?","yes, dara-RVD is a acceptable option",NCCN_MM
"For patietns with large B-cell lymphoma, who relapsed at 15 months after finishing frontline R-CHOP, is CAR T-cell therapy an option?","no, CAR T-cell therapy is indicated as second line if relapse < 12 months",NCCN_lymphoma
What is the preferred front treatment for stage III diffuse large B-cell lymphoma if IPI=1?,RCHOP,NCCN_lymphoma
"Should patients with newly diagnosed Ph-negative B-cell ALL considered for allogeneic stem cell transplantation, if they have TCF3::PBX1 translocation?","no, t(1;19) translocation is considered standard risk B-ALL and transplantation is not recommended. ",NCCN_ALL
