question,expected_answer,oai_answer,claude_answer,oai_match,claude_match
"What are the therapy options for hormone receptor-positive, HER2-negative metastatic breast cancer with PIK3CA mutations?",Endocrine therapy combined with alpelisib,"For hormone receptor-positive, HER2-negative metastatic breast cancer with PIK3CA mutations, therapy options include endocrine therapy combined with **alpelisib** (a PI3K inhibitor) and a selective estrogen receptor degrader (e.g., fulvestrant).","The main therapy options for HR+/HER2- metastatic breast cancer with PIK3CA mutations include:

1. Alpelisib (PI3K inhibitor) combined with fulvestrant
2. Endocrine therapy (aromatase inhibitors, tamoxifen, or fulvestrant)
3. CDK4/6 inhibitors (palbociclib, ribociclib, or abemaciclib) with endocrine therapy
4. Chemotherapy (if endocrine resistance develops)

Alpelisib specifically targets PIK3CA mutations and is FDA-approved for this indication.",YES,YES
"How effective is elacestrant for ESR1 wild-type tumors in hormone receptor-positive, HER2-negative metastatic breast cancer?","Elacestrant is not significantly more effective than standard endocrine therapy for ESR1 wild-type tumors, as demonstrated in the EMERALD trial.","Elacestrant is less effective for ESR1 wild-type tumors compared to ESR1-mutated tumors in hormone receptor-positive, HER2-negative metastatic breast cancer, with clinical trials showing limited benefit in this subgroup.","Elacestrant has shown effectiveness in ESR1 wild-type tumors in HR+/HER2- metastatic breast cancer, but its benefit is more modest compared to its efficacy in ESR1-mutated tumors. In the EMERALD phase 3 trial, elacestrant demonstrated a progression-free survival benefit over standard endocrine therapy in ESR1 wild-type patients, though the improvement was less pronounced than in the ESR1-mutated population.",NO,NO
"For HER2-negative metastatic breast cancer refractory to endocrine therapy, should single-agent chemotherapy or sacituzumab govitecan be offered?","Single-agent chemotherapy is preferred, starting with agents like capecitabine or eribulin","Sacituzumab govitecan is generally preferred for HER2-negative metastatic breast cancer refractory to endocrine therapy, particularly in triple-negative cases, due to its demonstrated efficacy in improving progression-free and overall survival compared to single-agent chemotherapy.","For HER2-negative metastatic breast cancer refractory to endocrine therapy, sacituzumab govitecan is preferred over single-agent chemotherapy based on the ASCENT trial, which showed improved overall survival and progression-free survival with sacituzumab govitecan compared to standard chemotherapy.",NO,NO
"In hormone receptor-positive, HER2-negative metastatic breast cancer, when should ctDNA testing be performed?","ctDNA testing is recommended at recurrence or progression on endocrine therapy, as ESR1 mutations often emerge under treatment pressure.","In hormone receptor-positive, HER2-negative metastatic breast cancer, ctDNA testing can be performed at diagnosis of metastatic disease to assess tumor burden, monitor treatment response, and detect resistance mutations, or during treatment to guide therapy adjustments.","ctDNA testing in HR+/HER2- metastatic breast cancer should be performed:
1. At diagnosis of metastatic disease
2. At disease progression
3. When tissue biopsy is challenging or unavailable
4. To monitor treatment response and detect emerging resistance mutations (especially ESR1 and PIK3CA mutations)",NO,NO
"What is the recommendation for premenopausal women with node-positive, ER-positive, HER2-negative breast cancer?",Oncotype DX should not be used to guide chemotherapy decisions for premenopausal women with node-positive disease.,"Premenopausal women with node-positive, ER-positive, HER2-negative breast cancer are typically recommended to receive chemotherapy followed by endocrine therapy, which may include ovarian suppression combined with tamoxifen or an aromatase inhibitor, depending on individual risk factors and preferences.","For premenopausal women with node-positive, ER-positive, HER2-negative breast cancer, the standard recommendation is adjuvant endocrine therapy with ovarian function suppression plus an aromatase inhibitor or tamoxifen, combined with chemotherapy. The choice between aromatase inhibitor and tamoxifen should be individualized based on risk factors and side effect profiles.",NO,NO
When can the Breast Cancer Index (BCI) test be offered for extended endocrine therapy decisions?,The BCI test may be offered to patients with 0-3 positive nodes who completed 5 years of endocrine therapy without recurrence.,"The Breast Cancer Index (BCI) test can be offered to postmenopausal women with early-stage, hormone receptor-positive (HR+), lymph node-negative, or limited lymph node-positive breast cancer to help guide decisions about extending endocrine therapy beyond 5 years.","The Breast Cancer Index (BCI) test can be offered to postmenopausal women with early-stage, hormone receptor-positive (HR+), lymph node-negative or node-positive (1-3 nodes) breast cancer who have completed 4-5 years of endocrine therapy to help inform decisions about extending endocrine therapy beyond 5 years.",NO,YES
What are the benefits of adjuvant bisphosphonate therapy in postmenopausal breast cancer patients?,Adjuvant bisphosphonates improve overall survival modestly and reduce risks of bone recurrence and fracture rates.,"Adjuvant bisphosphonate therapy in postmenopausal breast cancer patients reduces the risk of bone metastases, improves overall survival, and decreases the incidence of fractures by strengthening bone health.","Adjuvant bisphosphonate therapy in postmenopausal breast cancer patients provides two main benefits:

1. Reduces risk of bone metastases
2. Improves overall survival by decreasing breast cancer mortality

These benefits are primarily seen in postmenopausal women, with evidence showing reduced risk of bone recurrence and death from breast cancer.",NO,YES
"Which bisphosphonates are recommended for adjuvant therapy, and what are the doses?","Recommended options include oral clodronate (1,600 mg daily for 2-3 years), oral ibandronate (50 mg daily for 3 years), and zoledronic acid (4 mg every 6 months for 3 years).","For adjuvant therapy in postmenopausal women with breast cancer, the recommended bisphosphonates are:

1. **Zoledronic acid**: 4 mg IV every 6 months for 3–5 years.  
2. **Ibandronate**: 150 mg orally monthly or 3 mg IV every 3 months for 3–5 years.  
3. **Clodronate**: 1600 mg orally daily for 2–3 years.  

These are used to reduce the risk of bone metastases and improve survival. Always confirm dosing with clinical guidelines.","For adjuvant therapy in breast cancer, the recommended bisphosphonates are:

1. Zoledronic acid: 4mg IV every 6 months for 3-5 years
2. Clodronate: 1600mg oral daily for 2-3 years

These are specifically recommended for postmenopausal women with early-stage breast cancer.",YES,NO
Should adjuvant denosumab be used to prevent recurrence in breast cancer?,Denosumab is not recommended as it does not consistently reduce recurrence rates.,"Adjuvant denosumab may help reduce the risk of recurrence in postmenopausal breast cancer patients with hormone receptor-positive disease, as shown in some studies. However, its routine use is not yet standard and should be considered on a case-by-case basis, guided by clinical judgment and current guidelines.","Based on current evidence, adjuvant denosumab is not routinely recommended to prevent breast cancer recurrence. While it can reduce bone loss in patients receiving aromatase inhibitors, clinical trials (including the D-CARE study) have not shown significant benefits in preventing breast cancer recurrence or improving disease-free survival.",NO,YES
What is the recommendation for testing for ESR1 mutations in metastatic breast cancer?,Routine ESR1 mutation testing is not recommended,"Testing for **ESR1 mutations** is recommended in patients with **metastatic hormone receptor-positive, HER2-negative breast cancer** who have progressed on prior endocrine therapy, as it can guide treatment decisions, particularly the use of selective estrogen receptor degraders (SERDs).","ESR1 mutation testing is recommended for patients with hormone receptor-positive metastatic breast cancer who have progressed on first-line endocrine therapy, particularly aromatase inhibitors. Testing can be performed using liquid biopsy (circulating tumor DNA) or tissue biopsy.",NO,NO
What biomarker testing is advised for metastatic HER2-negative breast cancer with immune checkpoint inhibitor candidates?,Testing for PD-L1 expression in tumor and immune cells is recommended to determine eligibility for pembrolizumab plus chemotherapy.,"PD-L1 testing is advised for metastatic HER2-negative breast cancer to identify candidates for immune checkpoint inhibitor therapy, such as atezolizumab or pembrolizumab.","For metastatic HER2-negative breast cancer patients who are candidates for immune checkpoint inhibitor therapy, PD-L1 testing is the primary recommended biomarker test. Specifically, PD-L1 expression should be assessed using the SP142 assay or other validated tests to determine eligibility for immunotherapy.",NO,YES
Should circulating tumor DNA (ctDNA) be routinely used to monitor therapy response in metastatic breast cancer?,Routine use of ctDNA for monitoring therapy response is not recommended due to insufficient data.,"Currently, circulating tumor DNA (ctDNA) shows promise for monitoring therapy response in metastatic breast cancer, but it is not yet recommended for routine use due to the need for further validation, standardization, and evidence from clinical trials.","While ctDNA shows promise as a monitoring tool for metastatic breast cancer, it is not yet recommended for routine clinical use. Current guidelines suggest using traditional methods (imaging, tumor markers) as standard practice. More prospective clinical trials are needed to validate ctDNA's clinical utility and standardize testing methods before widespread implementation.",YES,YES
Can adjuvant pembrolizumab be administered with radiation therapy?,Adjuvant pembrolizumab can be given concurrently with or after completion of radiation therapy.,"Adjuvant pembrolizumab is not typically administered concurrently with radiation therapy, as its safety and efficacy in combination with radiation have not been well established. Always consult clinical guidelines and a healthcare professional for specific treatment decisions.","Yes, adjuvant pembrolizumab can be safely administered with radiation therapy. Studies have shown that combining these treatments may even have synergistic effects, potentially enhancing the immune response against cancer cells. However, specific timing and sequencing should be determined by the treating physician based on individual cases.",NO,NO
How many years of abemaciclib should be used in combination with endocrine therapy in high-risk early-stage breast cancer?,"Two years of abemaciclib (150 mg twice daily) with endocrine therapy for ≥5 years may be offered to patients with high-risk hormone receptor-positive, HER2-negative early-stage breast cancer.",Abemaciclib should be used for **2 years** in combination with endocrine therapy in high-risk early-stage breast cancer.,"Based on the monarchE trial results, abemaciclib should be used for 2 years in combination with endocrine therapy for high-risk early-stage hormone receptor-positive, HER2-negative breast cancer.",YES,YES
What are the criteria for high-risk early breast cancer suitable for abemaciclib treatment?,"Criteria include ≥4 positive axillary lymph nodes or 1-3 positive nodes with tumor size ≥5 cm, histologic grade 3, or Ki-67 ≥20%.","High-risk early breast cancer suitable for abemaciclib treatment includes hormone receptor-positive, HER2-negative breast cancer with:  
1. Node-positive disease (≥4 positive axillary lymph nodes or 1-3 nodes with additional high-risk features like tumor size ≥5 cm or histologic grade 3).  
2. A Ki-67 proliferation index ≥20%.","High-risk early breast cancer criteria for abemaciclib treatment include:
- HR-positive/HER2-negative status
- Node-positive disease
- High Ki-67 score (≥20%)
- Grade 3 disease
- Tumor size ≥5 cm
- ≥4 positive lymph nodes

These patients should also have completed primary treatment (surgery, chemotherapy, and/or radiotherapy as appropriate).",YES,NO
Is the use of abemaciclib restricted to patients with a high Ki-67 score?,Abemaciclib is recommended for broader patient populations at high risk of recurrence regardless of Ki-67 status.,"No, the use of abemaciclib is not strictly restricted to patients with a high Ki-67 score, but in certain settings, such as early breast cancer, it is approved for patients with high-risk features, including a high Ki-67 score. Its use depends on the specific indication and clinical context.","No, abemaciclib is not restricted to patients with high Ki-67 scores. While Ki-67 status may be considered, abemaciclib is approved for HR+/HER2- breast cancer patients regardless of their Ki-67 score.",NO,YES
What is the role of olaparib in early-stage HER2-negative breast cancer with germline BRCA mutations?,Olaparib is recommended for one year after (neo)adjuvant chemotherapy and local treatment in high-risk early-stage HER2-negative breast cancer with BRCA mutations.,"Olaparib is used as an adjuvant therapy in early-stage HER2-negative breast cancer with germline BRCA mutations to reduce the risk of cancer recurrence by targeting and inhibiting the PARP enzyme, which is critical for DNA repair in BRCA-mutated cells.","Olaparib is a PARP inhibitor used as adjuvant therapy in high-risk early-stage HER2-negative breast cancer patients with germline BRCA1/2 mutations. It significantly improves invasive disease-free survival when given after standard chemotherapy, as demonstrated in the OlympiA trial.",NO,YES
What clinical criteria define high-risk patients eligible for olaparib?,"Eligibility includes triple-negative tumors >2 cm or node involvement, or hormone receptor-positive disease with ≥4 involved lymph nodes or a CPS-EG score ≥3.","High-risk patients eligible for olaparib typically include those with **BRCA1/2 mutations** (germline or somatic) and certain cancers (e.g., ovarian, breast, pancreatic, or prostate) who have a high risk of recurrence or progression, often after prior chemotherapy or other standard treatments. Specific eligibility depends on cancer type and treatment guidelines.","High-risk patients eligible for olaparib typically meet these key criteria:
1. BRCA1/2 mutations (germline or somatic)
2. HRD (Homologous Recombination Deficiency) positive status
3. Advanced ovarian, breast, pancreatic, or prostate cancer
4. Previous response to platinum-based chemotherapy (for ovarian cancer)

The specific eligibility may vary by cancer type and country/regulatory approval.",NO,NO
What are the main findings from the OlympiA trial regarding olaparib?,The OlympiA trial demonstrated improved invasive and distant disease-free survival with olaparib compared to placebo.,"The OlympiA trial found that adjuvant olaparib significantly improved invasive disease-free survival and overall survival in patients with germline BRCA-mutated, high-risk, HER2-negative early breast cancer after standard treatment, reducing the risk of recurrence or death.","The OlympiA trial showed that adjuvant olaparib significantly improved disease-free survival and overall survival in early-stage, HER2-negative breast cancer patients with BRCA1/2 mutations who had completed local treatment and chemotherapy. The risk of cancer recurrence was reduced by approximately 42% compared to placebo.",NO,NO
"What is the recommendation for first-line treatment of triple-negative, PD-L1-positive metastatic breast cancer?",The addition of immune checkpoint inhibitors (atezolizumab or pembrolizumab) to chemotherapy is recommended.,"The first-line treatment recommendation for triple-negative, PD-L1-positive metastatic breast cancer is **atezolizumab (anti-PD-L1) in combination with nab-paclitaxel**, based on the IMpassion130 trial.","First-line treatment for triple-negative, PD-L1-positive metastatic breast cancer is the combination of immunotherapy (atezolizumab or pembrolizumab) plus chemotherapy (nab-paclitaxel or paclitaxel).",YES,YES
"What is the preferred treatment for triple-negative, PD-L1-negative metastatic breast cancer?",Single-agent chemotherapy is preferred,"The preferred treatment for triple-negative, PD-L1-negative metastatic breast cancer is chemotherapy, typically using agents such as taxanes, anthracyclines, or platinum-based drugs, depending on prior treatments and patient factors.","For triple-negative, PD-L1-negative metastatic breast cancer, the preferred first-line treatment is chemotherapy, typically with taxanes (such as paclitaxel or docetaxel) or anthracyclines (such as doxorubicin). Sequential single-agent chemotherapy is often used to balance efficacy and toxicity.",YES,YES
"What therapies are recommended for HR-positive HER2-negative metastatic breast cancer with BRCA mutations, who have progressed on endocine therapy?",Oral PARP inhibitors (olaparib or talazoparib) are recommended ,"For HR-positive, HER2-negative metastatic breast cancer with BRCA mutations that has progressed on endocrine therapy, PARP inhibitors (e.g., olaparib or talazoparib) are recommended as a targeted therapy option.","For HR+/HER2- metastatic breast cancer with BRCA mutations that progressed on endocrine therapy, the recommended treatments include:

1. PARP inhibitors (olaparib or talazoparib)
2. Chemotherapy (especially platinum-based agents)

These can be used alone or in combination, depending on previous treatments and patient factors.",YES,YES
"For patients with  HR-positive, HER2-negative who develop recurrence within one year of adjuvant AI therapy, what is the recommended in replacment of AI?",Fulvestrant or CDK4/6 inhibitors should be offered,"For HR-positive, HER2-negative patients who develop recurrence within one year of adjuvant AI therapy, a selective estrogen receptor degrader (SERD) like fulvestrant or a combination of fulvestrant with a CDK4/6 inhibitor (e.g., palbociclib, ribociclib, or abemaciclib) is recommended.","For patients with HR+/HER2- breast cancer who develop recurrence within one year of adjuvant AI therapy, the recommended replacement is typically switching to Fulvestrant (with or without CDK4/6 inhibitors) or Tamoxifen, as there is likely resistance to AIs.",YES,NO
"When is sentinel lymph node biopsy not required for patients with early-stage hormone receptor-positive, HER2-negative invasive breast cancer?",Sentinel lymph node biopsy is not required for clinically node-negative women aged ≥70 years who will receive hormonal therapy.,"Sentinel lymph node biopsy may not be required for patients with early-stage hormone receptor-positive, HER2-negative invasive breast cancer if they are older, have significant comorbidities, or if the results would not alter treatment decisions, such as in cases where systemic therapy is already planned regardless of nodal status.","Sentinel lymph node biopsy can be omitted in women aged 70 years or older with T1 hormone receptor-positive, HER2-negative breast cancer who are candidates for adjuvant endocrine therapy alone, as the procedure does not significantly impact treatment decisions or survival outcomes in this specific patient population.",NO,YES
How should axillary treatment be approached for patients undergoing mastectomy with 1-2 positive sentinel nodes?,"Postmastectomy radiation to the axilla is recommended, and axillary lymph node dissection can be safely omitted.","For patients undergoing mastectomy with 1-2 positive sentinel nodes, axillary treatment should be individualized. Axillary lymph node dissection (ALND) may be considered, but radiation therapy to the axilla can be an alternative to reduce morbidity, particularly in cases where systemic therapy is planned. Multidisciplinary evaluation is essential.","For patients undergoing mastectomy with 1-2 positive sentinel lymph nodes, completion axillary lymph node dissection (ALND) is generally recommended, as these patients were not included in the ACOSOG Z0011 trial that showed ALND could be omitted in certain breast-conserving surgery cases. However, ongoing trials are investigating whether ALND might be safely omitted in select mastectomy patients with limited nodal disease.",NO,NO
What are the recommendations for radiotherapy after neoadjuvant chemotherapy in node-positive early-stage breast cancer?,Locoregional nodal irradiation is recommended,"For node-positive early-stage breast cancer after neoadjuvant chemotherapy, radiotherapy is generally recommended to the chest wall and regional lymph nodes (e.g., axillary, supraclavicular, and internal mammary nodes) to reduce the risk of recurrence, regardless of the extent of nodal response. Final decisions should be individualized based on tumor characteristics, response to treatment, and multidisciplinary team input.","After neoadjuvant chemotherapy in node-positive breast cancer, radiotherapy is recommended to:
1. The chest wall/breast
2. Regional lymph nodes (supraclavicular, axillary, internal mammary nodes)

This applies regardless of pathologic response to chemotherapy, as initial node-positive status drives radiation decisions.",YES,YES
"What is the recommended neoadjuvant therapy for HER2-positive, node-positive breast cancer?",Patients should receive neoadjuvant therapy with an anthracycline and taxane-based regimen in combination with trastuzumab and pertuzumab.,"The recommended neoadjuvant therapy for HER2-positive, node-positive breast cancer typically includes a combination of chemotherapy (such as taxanes and/or anthracyclines) with dual HER2-targeted therapy using trastuzumab and pertuzumab.","The recommended neoadjuvant therapy for HER2-positive, node-positive breast cancer is dual HER2-targeted therapy with pertuzumab plus trastuzumab, combined with chemotherapy (typically taxane-based followed by anthracycline-based regimens).",YES,YES
"How should neoadjuvant endocrine therapy be used in HR-positive, HER2-negative early-stage breast cancer?","For postmenopausal patients, neoadjuvant endocrine therapy with an aromatase inhibitor may be offered to increase surgical options.","Neoadjuvant endocrine therapy can be used in HR-positive, HER2-negative early-stage breast cancer to downstage tumors, particularly in postmenopausal women or patients unfit for chemotherapy. It is typically administered for 4-6 months using agents like aromatase inhibitors, with response monitored to guide surgical planning.","Neoadjuvant endocrine therapy (NET) should be used for 4-6 months in postmenopausal women with strongly hormone receptor-positive, HER2-negative early breast cancer, particularly when patients are poor candidates for chemotherapy or have low-risk luminal disease. Aromatase inhibitors are preferred over tamoxifen. Response should be monitored clinically and radiologically to assess effectiveness.",YES,NO
What is the recommendation for first-line therapy for esophageal SCC with PD-L1 TPS≥1%?,Administer nivolumab plus fluoropyrimidine- and platinum-based chemotherapy.,The recommendation for first-line therapy for esophageal squamous cell carcinoma (SCC) with PD-L1 TPS ≥1% is **nivolumab in combination with chemotherapy**.,"For esophageal squamous cell carcinoma (SCC) with PD-L1 TPS≥1%, the recommended first-line therapy is pembrolizumab plus platinum/fluoropyrimidine-based chemotherapy, based on the KEYNOTE-590 trial results.",YES,NO
When is ramucirumab plus paclitaxel recommended?,For advanced gastroesophageal cancer patients progressing after first-line therapy.,Ramucirumab plus paclitaxel is recommended for the treatment of advanced or metastatic gastric or gastroesophageal junction adenocarcinoma after disease progression following prior fluoropyrimidine- or platinum-containing chemotherapy.,Ramucirumab plus paclitaxel is recommended as a second-line treatment for advanced or metastatic gastric/gastroesophageal junction adenocarcinoma in patients whose disease has progressed after first-line platinum and fluoropyrimidine-based chemotherapy.,NO,YES
What is recommended for HER2-positive gastric cancer patients after progression on first-line therapy?,Trastuzumab deruxtecan is recommended.,"For HER2-positive gastric cancer patients after progression on first-line therapy, it is recommended to consider second-line treatment with trastuzumab deruxtecan, an antibody-drug conjugate, based on clinical guidelines and patient eligibility.","For HER2-positive gastric cancer patients who progress after first-line therapy, current recommendations include switching to standard second-line chemotherapy without continuing HER2-targeted therapy, as there is no proven benefit of continuing anti-HER2 treatment beyond progression in this setting.",YES,NO
Should adjuvant chemotherapy be recommended for stage II colon cancer patients with dMMR/MSI tumors?,Adjuvant fluoropyrimidine-only chemotherapy is not recommended.,"Adjuvant chemotherapy is generally not recommended for stage II colon cancer patients with dMMR/MSI tumors, as these tumors have a better prognosis and do not typically benefit from such treatment.","No, adjuvant chemotherapy is generally not recommended for stage II colon cancer patients with dMMR/MSI tumors. These tumors have a better prognosis and studies have shown that patients with dMMR/MSI tumors do not derive significant benefit from 5-FU-based adjuvant chemotherapy.",YES,YES
Should adjuvant chemotherapy be offered for low-risk stage II colon cancer patients?,ACT is not routinely recommended.,"Adjuvant chemotherapy is generally not recommended for most low-risk stage II colon cancer patients, as the potential benefits are minimal. However, decisions should be individualized based on specific risk factors and patient preferences.","No, adjuvant chemotherapy is generally not recommended for low-risk stage II colon cancer patients. The potential risks and side effects outweigh the minimal survival benefit in this population. These patients are typically managed with surgery alone and surveillance.",YES,YES
What is the duration of oxaliplatin-based chemotherapy for high-risk stage II colon cancer?,"3 or 6 months, decided based on patient preference and potential for adverse events.","The duration of oxaliplatin-based chemotherapy for high-risk stage II colon cancer is typically **3 to 6 months**, depending on the specific regimen and patient factors.","For high-risk stage II colon cancer, the standard duration of oxaliplatin-based chemotherapy (FOLFOX or CAPOX) is 3 months, based on the IDEA collaboration study results which showed non-inferior outcomes compared to 6 months of treatment, with less toxicity.",NO,NO
What chemotherapy is recommended as radiosensitizer for stage I-III anal SCC?,Mitomycin-C with fluorouracil (FU) or capecitabine.,Mitomycin C and 5-fluorouracil (5-FU) are commonly recommended as radiosensitizers for stage I-III anal squamous cell carcinoma (SCC).,Mitomycin C + 5-FU (or capecitabine) is the standard concurrent chemoradiation regimen recommended as radiosensitizer for stage I-III anal squamous cell carcinoma.,YES,YES
