Question,Answer,Guideline,Generated_answer,Matches_Expected
How many years of abemaciclib should be used in combination with endocrine therapy in high-risk early-stage breast cancer?,"Two years of abemaciclib (150 mg twice daily) with endocrine therapy for ≥5 years may be offered to patients with high-risk hormone receptor-positive, HER2-negative early-stage breast cancer.",breast_cancer_10,Two years.,YES
What are the criteria for high-risk early breast cancer suitable for abemaciclib treatment?,"Criteria include ≥4 positive axillary lymph nodes or 1-3 positive nodes with tumor size ≥5 cm, histologic grade 3, or Ki-67 ≥20%.",breast_cancer_10,"The criteria for high-risk early breast cancer suitable for abemaciclib treatment are:

- Hormone receptor–positive, HER2-negative, node-positive disease.
- Presence of 4 positive axillary lymph nodes (ALNs) or 1-3 positive ALNs with one or more of the following features:
  - Histologic grade 3 disease.
  - Tumor size ≥ 5 cm.
  - Ki-67 index ≥ 20%.",YES
Is the use of abemaciclib restricted to patients with a high Ki-67 score?,Abemaciclib is recommended for broader patient populations at high risk of recurrence regardless of Ki-67 status.,breast_cancer_10,"No, the use of abemaciclib is not restricted to patients with a high Ki-67 score.",NO
What is the role of olaparib in early-stage HER2-negative breast cancer with germline BRCA mutations?,Olaparib is recommended for one year after (neo)adjuvant chemotherapy and local treatment in high-risk early-stage HER2-negative breast cancer with BRCA mutations.,breast_cancer_11,"The role of olaparib is to be offered as adjuvant therapy for one year after the completion of (neo)adjuvant chemotherapy and local treatment, including radiation.",YES
What clinical criteria define high-risk patients eligible for olaparib?,"Eligibility includes triple-negative tumors >2 cm or node involvement, or hormone receptor-positive disease with ≥4 involved lymph nodes or a CPS-EG score ≥3.",breast_cancer_11,"Patients with early-stage, HER2-negative breast cancer, a high risk of recurrence, and germline BRCA1 or BRCA2 pathogenic or likely pathogenic variants.",NO
What are the main findings from the OlympiA trial regarding olaparib?,The OlympiA trial demonstrated improved invasive and distant disease-free survival with olaparib compared to placebo.,breast_cancer_11,"The main findings from the OlympiA trial regarding olaparib are that a higher percentage of patients in the olaparib group experienced grade 3 anemia compared to the placebo group, and more patients in the olaparib group required at least one blood transfusion. The occurrence of serious adverse events, such as myelodysplastic syndrome and acute leukemia, was not more frequent in the olaparib group compared to the placebo group.",NO
"What is the recommendation for first-line treatment of triple-negative, PD-L1-positive metastatic breast cancer?",The addition of immune checkpoint inhibitors (atezolizumab or pembrolizumab) to chemotherapy is recommended.,breast_cancer_12,The recommendation is the addition of an immune checkpoint inhibitor to chemotherapy (atezolizumab plus nab-paclitaxel or pembrolizumab plus chemotherapy) as first-line therapy.,YES
"What is the preferred treatment for triple-negative, PD-L1-negative metastatic breast cancer?",Single-agent chemotherapy is preferred,breast_cancer_12,Single-agent chemotherapy.,YES
"What therapies are recommended for HR-positive HER2-negative metastatic breast cancer with BRCA mutations, who have progressed on endocine therapy?",Oral PARP inhibitors (olaparib or talazoparib) are recommended ,breast_cancer_12,An oral PARP inhibitor is recommended.,YES
"For patients with  HR-positive, HER2-negative who develop recurrence within one year of adjuvant AI therapy, what is the recommended in replacment of AI?",Fulvestrant or CDK4/6 inhibitors should be offered,breast_cancer_13,Fulvestrant and a CDK4/6 inhibitor.,NO
"When is sentinel lymph node biopsy not required for patients with early-stage hormone receptor-positive, HER2-negative invasive breast cancer?",Sentinel lymph node biopsy is not required for clinically node-negative women aged ≥70 years who will receive hormonal therapy.,breast_cancer_14,"Sentinel lymph node biopsy is not required for patients aged 70 years or older with clinically node-negative early-stage hormone receptor-positive, HER2-negative invasive breast cancer.",YES
How should axillary treatment be approached for patients undergoing mastectomy with 1-2 positive sentinel nodes?,"Postmastectomy radiation to the axilla is recommended, and axillary lymph node dissection can be safely omitted.",breast_cancer_14,Axillary treatment should involve axillary lymph node dissection or axillary radiation therapy after chemotherapy.,NO
What are the recommendations for radiotherapy after neoadjuvant chemotherapy in node-positive early-stage breast cancer?,Locoregional nodal irradiation is recommended,breast_cancer_14,The answer is not found in the context.,NO
"What is the recommended neoadjuvant therapy for HER2-positive, node-positive breast cancer?",Patients should receive neoadjuvant therapy with an anthracycline and taxane-based regimen in combination with trastuzumab and pertuzumab.,breast_cancer_15,Neoadjuvant therapy with an anthracycline and taxane or non-anthracycline-based regimen in combination with trastuzumab is recommended. Pertuzumab may also be used with trastuzumab in the neoadjuvant setting.,NO
"How should neoadjuvant endocrine therapy be used in HR-positive, HER2-negative early-stage breast cancer?","For postmenopausal patients, neoadjuvant endocrine therapy with an aromatase inhibitor may be offered to increase surgical options.",breast_cancer_15,"Neoadjuvant endocrine therapy can be used as an alternative to chemotherapy in HR-positive, HER2-negative early-stage breast cancer, especially to achieve tumor downstaging and increase the likelihood of breast-conserving surgery. The duration should be personalized based on clinical status and response, with most studies using 3-6 months of treatment.",NO
What is the recommendation for first-line therapy for esophageal SCC with PD-L1 TPS≥1%?,Administer nivolumab plus fluoropyrimidine- and platinum-based chemotherapy.,gi_cancer_2,The recommendation for first-line therapy for esophageal SCC with PD-L1 TPS≥1% is supported by data from the primary analysis of CheckMate 648.,NO
When is ramucirumab plus paclitaxel recommended?,For advanced gastroesophageal cancer patients progressing after first-line therapy.,gi_cancer_2,Ramucirumab plus paclitaxel is recommended for patients with advanced gastroesophageal or GEJ AC whose disease has progressed after first-line treatment.,YES
What is recommended for HER2-positive gastric cancer patients after progression on first-line therapy?,Trastuzumab deruxtecan is recommended.,gi_cancer_2,Trastuzumab deruxtecan is recommended.,YES
Should adjuvant chemotherapy be recommended for stage II colon cancer patients with dMMR/MSI tumors?,Adjuvant fluoropyrimidine-only chemotherapy is not recommended.,gi_cancer_4,"No, adjuvant chemotherapy should not be routinely recommended for stage II colon cancer patients with dMMR/MSI tumors.",YES
Should adjuvant chemotherapy be offered for low-risk stage II colon cancer patients?,ACT is not routinely recommended.,gi_cancer_4,"No, adjuvant chemotherapy should not routinely be offered to low-risk stage II colon cancer patients.",YES
What is the duration of oxaliplatin-based chemotherapy for high-risk stage II colon cancer?,"3 or 6 months, decided based on patient preference and potential for adverse events.",gi_cancer_4,The duration of oxaliplatin-based chemotherapy for high-risk stage II colon cancer can be 3 or 6 months.,YES
What chemotherapy is recommended as radiosensitizer for stage I-III anal SCC?,Mitomycin-C with fluorouracil (FU) or capecitabine.,gi_cancer_1,MMC with a fluoropyrimidine (FU or capecitabine).,YES
How should patients with BRAF V600E-mutant mCRC receive after prior chemotherapy?,Encorafenib plus cetuximab is recommended.,gi_cancer_3,Encorafenib plus cetuximab.,YES
Should anti-EGFR be added as the first-line therapy for RAS mutatnt left-sided mCRC?,"No,  anti-EGFR is added for RAS wild type left-sided mCRC",gi_cancer_3,No.,YES
When is stereotactic body radiation therapy recommended for liver oligometastases in mCRC?,It may be recommended after systemic therapy if resection is not feasible.,gi_cancer_3,Stereotactic body radiation therapy is recommended for patients with metastatic colorectal cancer and potentially curable oligometastatic liver metastases.,NO
How long is the healing period from dental procedure before radiation therapy for head and neck cancer patients to prevent osteoradionecrosis (ORN)?,Ensure at least a 2-week healing period when possible.,headneck_cancer_1,At least 2 weeks.,YES
What are the surgical recommendations for advanced-stage ORN in head and neck cancer patients?,"For advanced ORN, surgical debridement or resection with vascularized bone reconstruction is recommended to restore function and manage complications.",headneck_cancer_1,"The surgical recommendations for advanced-stage ORN in head and neck cancer patients include segmental maxillectomy or mandibulectomy with free flap reconstruction, segmental resection when conservative therapy is ineffective, reconstruction with myocutaneous or osteomyocutaneous flaps for maxillectomy defects extending into the sinus, and osteomyocutaneous free flap reconstructions for mandibular continuity defects. Free flaps are preferred over pedicle flaps.",NO
Should immunotherapy single agent be initiated in metastatic head and neck squamous cell carcinoma (HNSCC) with PD-L1 < 1?,"No, combination therapy is preferred for CPS <1.",headneck_cancer_2,Yes.,NO
What are the guidelines for immunotherapy in platinum-refractory recurrent or metastatic HNSCC?,Pembrolizumab or nivolumab should be offered to patients regardless of PD-L1 CPS status.,head_neck_cancer_2,,
What is the recommendation for PD-L1 biomarker testing in recurrent/metastatic HNSCC?,"PD-L1 immunohistochemistry testing is recommended, and a CPS ≥1 is considered positive for PD-1 inhibitor therapy.",headneck_cancer_2,PD-L1 immunohistochemistry testing is recommended for patients with recurrent or metastatic HNSCC.,NO
Can radiation therapy be integrated with immunotherapy for recurrent HNSCC?,Radiation therapy may be safely administered concurrently with immunotherapy for palliative or local control in oligometastatic settings,headneck_cancer_2,"Yes, radiation therapy can be integrated with immunotherapy for recurrent HNSCC for palliation or local control but not to enhance the response to immunotherapy outside of a clinical trial.",YES
What are the PARP inhibitor recommendations for newly diagnosed advanced ovarian cancer responding to platinum-based chemotherapy?,"PARP inhibitors are recommended as maintenance therapy for BRCA-mutated or HRD-positive patients, with varying regimens based on genetic status.",gynecologic_cancer_1,"PARP inhibitor monotherapy maintenance may be offered, including options such as olaparib 300 mg every 12 hours, rucaparib 600 mg every 12 hours, or niraparib 200-300 mg once daily.",NO
What is the effect of PARP inhibitors on patients' overall survival in recurrent ovarian cancer without BRCA-mutation or HRD-positivity?,Evidence suggests potential overall survival detriments in later-line treatments with PARP inhibitors,gynecologic_cancer_1,The effect of PARP inhibitors on patients' overall survival in recurrent ovarian cancer without BRCA-mutation or HRD-positivity is not clearly established.,NO
What is the effect of PARP inhibitors on patients' progression-free survival in recurrent ovarian cancer without BRCA-mutation or HRD-positivity?,PARP inhibitors demonstrated progression-free survival benefits,gynecologic_cancer_1,PARP inhibitors have a positive effect on patients' progression-free survival in recurrent ovarian cancer without BRCA-mutation or HRD-positivity.,NO
What surgical approach is recommended for T3-T4 parotid cancers with high-grade malignancy?,"At least a superficial parotidectomy, with consideration of total or subtotal parotidectomy.",headneck_cancer_3,At least a superficial parotidectomy with consideration of a total or subtotal parotidectomy.,YES
What is the recommended follow-up imaging schedule for high-grade salivary gland cancers post-treatment?,"Baseline imaging at 3 months, every 6-12 months for the first 2 years, and symptom-directed imaging from years 3-5. Yearly chest CT may be considered for high-grade cases.",headneck_cancer_3,Yearly follow-up imaging may be offered.,NO
What chemotherapy regimen is recommended for stage III-IVA nasopharyngeal carcinoma (NPC) during induction?,"Platinum-based regimens such as GP (gemcitabine and cisplatin) or TPF (docetaxel, cisplatin, 5-fluorouracil) every 3 weeks for 2-3 cycles.",headneck_cancer_4,The context does not specify the exact chemotherapy regimen recommended for stage III-IVA nasopharyngeal carcinoma (NPC) during induction.,NO
What radiotherapy technique is preferred for stage II-IVA nasopharyngeal carcinoma?,Intensity-modulated radiotherapy (IMRT) with daily image guidance is strongly recommended.,headneck_cancer_4,Intensity-modulated radiotherapy (IMRT) with daily image guidance.,YES
What is the role of adjuvant chemotherapy for T3N0 nasopharyngeal carcinoma patients?,"Adjuvant chemotherapy may be offered, typically using a PF regimen.",headneck_cancer_4,The role of adjuvant chemotherapy for T3N0 nasopharyngeal carcinoma patients is being studied to determine its long-term results and efficacy.,NO
What is the schedule of radiation recommended for radiotherapy in nasopharyngeal carcinoma?,A dose of 70 Gy in 33-35 fractions (2.0-2.12 Gy per fraction) over 7 weeks is recommended.,headneck_cancer_4,"The recommended schedule of radiation for radiotherapy in nasopharyngeal carcinoma is a prescribed dose of 70 Gy in 33-35 fractions (2.0-2.12 Gy per fraction) delivered over 7 weeks, once daily with 5 fractions per week.",YES
What are the treatment options for MET exon 14 skipping mutation-positive NSCLC?,Capmatinib or tepotinib are recommended.,lung_cancer_3,Capmatinib and tepotinib.,YES
What is the guideline for first-line treatment in EGFR exon 20 insertion NSCLC?,Chemotherapy combined with amivantamab,lung_cancer_3,The context does not provide information on the guideline for first-line treatment in EGFR exon 20 insertion NSCLC.,NO
What is the recommended first-line treatment for stage IV NSCLC with EGFR exon 19 deletion mutation?,Osimertinib is recommended as the first-line treatment,lung_cancer_1,Osimertinib.,YES
How should patients with stage IV NSCLC and EGFR mutation progress after osimertinib treatment?,"Platinum-based chemotherapy, with or without amivantamab",lung_cancer_1,"Patients should be considered for options such as platinum-based chemotherapy, amivantamab, or other targeted therapies based on specific alterations and the individual patient's condition. Testing for new mutations and consulting treatment guidelines for non-driver alterations are also important.",NO
What is the first line treatment for stage IV NSCLC with ROS1 fusion mutation?,"First-line treatment includes repotrectinib, entrectinib, or crizotinib.",lung_cancer_1,The context does not provide the first-line treatment for stage IV NSCLC with ROS1 fusion mutation.,NO
What is the benefit of amivantamab plus lazertinib over osmiertinib alone in untreated EGFR mutation-positive stage IV NSCLC?,Amivantamab plus lazertinib showed a median PFS of 23.7 months compared to 16.6 months with osimertinib alone.,lung_cancer_1,Improvement in progression-free survival (PFS).,NO
Should anti-PD-L1 be used for second-line therapy for EGFR mutation-positive NSCLC without targetable alterations?,Anti-PD-(L)1 agents are not recommended,lung_cancer_1,"No, anti-PD-L1 should not be used for second-line therapy for EGFR mutation-positive NSCLC without targetable alterations.",YES
How should osimertinib be administered with chemotherapy for advanced EGFR-mutated NSCLC?,Osimertinib plus platinum-based chemotherapy with maintenance pemetrexed is recommended for certain patients.,lung_cancer_1,Osimertinib should be administered with platinum doublet chemotherapy for advanced EGFR-mutated NSCLC.,NO
What is the treatment recommendation for ROS1-positive NSCLC after progression on crizotinib?,Patients may be offered lorlatinib as a second-line treatment.,lung_cancer_1,Clinicians may offer repotrectinib for patients with ROS1-positive NSCLC after progression on crizotinib.,NO
What is the efficacy of atezolizumab plus bevacizumab and chemotherapy in EGFR-mutated NSCLC?,"In the ATTLAS trial, this combination showed a median PFS of 8.48 months compared to 5.62 months with chemotherapy alone.",lung_cancer_1,The efficacy of atezolizumab plus bevacizumab and chemotherapy in EGFR-mutated NSCLC is not provided in the given context information.,NO
What are the recommendations for 1st line therapy in patients with MET exon 14 skipping mutations?,Capmatinib or tepotinib are recommended as first-line therapies.,lung_cancer_1,Clinicians may offer capmatinib or tepotinib as first-line therapy for patients with MET exon 14 skipping mutations.,YES
What is the treatment for KRAS G12C-mutated NSCLC as 1st line therapy?,Chemotherapy,lung_cancer_1,Sotorasib.,NO
What is the recommendation for RET rearrangement-positive NSCLC as 1st line therapy?,Selpercatinib or pralsetinib are recommended as first-line therapies.,lung_cancer_1,Clinicians should offer selpercatinib as the first-line therapy for RET rearrangement-positive NSCLC.,NO
How should clinicians manage EGFR T790M resistance alterations in advanced NSCLC?,Osimertinib is the recommended treatment for EGFR T790M resistance alterations.,lung_cancer_1,The answer is not found in the context.,NO
What is the first-line treatment for patients with stage IV NSCLC and PD-L1 TPS ≥50%?,Single-agent immunotherapy,lung_cancer_4,Nivolumab plus ipilimumab,NO
Should single agent pembrolizumab be used for stage IV squamous NSCLC and PD-L1 expression 32%?,Pembrolizumab plus carboplatin and paclitaxel (or nab-paclitaxel) is recommended as first-line therapy.,lung_cancer_4,No.,NO
What is the recommended therapy for stage IV NSCLC with PD-L1 TPS of 0?,Pembrolizumab plus carboplatin and pemetrexed,lung_cancer_4,"A combination of platinum-based doublet chemotherapy and immunotherapy, in the absence of contraindications.",NO
What are the options for patients with stage IV NSCLC with squamous histology and PD-L1 TPS ≥50%?,"Single-agent pembrolizumab, cemiplimab, or atezolizumab, or combination with chemotherapy, may be offered.",lung_cancer_4,"Options include monotherapy with PD-(L)1 inhibitors such as pembrolizumab, cemiplimab, or atezolizumab, as well as chemoimmunotherapy regimens like pembrolizumab plus chemotherapy or cemiplimab plus chemotherapy.",YES
What is the recommended adjuvant therapy for completely resected stage I-IIIA NSCLC with EGFR mutations?,Adjuvant osimertinib is recommended,lung_cancer_5,Osimertinib.,YES
How should stage II-IIIA NSCLC patients with PD-L1 expression ≥1% be managed after surgery?,Adjuvant atezolizumab is recommended after cisplatin-based chemotherapy for patients with PD-L1 ≥1%.,lung_cancer_5,Adjuvant atezolizumab should be considered.,NO
What is the adjuvant therapy for resected stage IIB-IIIA NSCLC without EGFR mutations or high PD-L1?,Cisplatin-based chemotherapy is recommended as the adjuvant therapy.,lung_cancer_5,Adjuvant chemotherapy.,YES
Should osimertinib be recommended for stage IB NSCLC with tumors ≥4 cm with EGFR mutation?,Adjuvant osimertinib may be considered,lung_cancer_5,"Yes, osimertinib should be recommended.",NO
What is the recommended neoadjuvant therapy for resectable stage III NSCLC with N2 disease?,Neoadjuvant chemotherapy or concurrent chemoradiation,lung_cancer_6,Neoadjuvant chemotherapy or neoadjuvant concurrent chemoradiation.,YES
What is the management for stage III NSCLC that is medically inoperable?,Concurrent chemoradiation is recommended as the definitive therapy,lung_cancer_6,The management for stage III NSCLC that is medically inoperable is a combination of concurrent chemoradiotherapy.,YES
What is the evidence-based radiation dose for stage III NSCLC treated with chemoradiation?,A dose of 60 Gy in conventional fractionation is recommended for concurrent chemoradiation.,lung_cancer_6,The evidence-based radiation dose for stage III NSCLC treated with chemoradiation is 60 Gy.,YES
What is the length of consolidation immunotherapy for patients with stage III NSCLC finished chemoradiation?,Consolidation durvalumab for up to 12 months is recommended,lung_cancer_6,Up to 12 months.,YES
"For patients with resected stage III NSCLC and EGFR mutation, should adjuvant chemotherapy still be offered?","Yes, platinum-based chemotherapy should be offered before osimertinib",lung_cancer_6,"Yes, platinum-based chemotherapy should still be offered.",YES
What is the maximum course of adjuvant pembrolizumab for resected stage IIB or IIC melanoma?,Adjuvant pembrolizumab is given as 200 mg every 3 weeks for a maximum of 15 courses.,melanoma_cancer_1,The maximum course of adjuvant pembrolizumab for resected stage IIB or IIC melanoma is 15 courses of 200 mg once every 3 weeks.,YES
What is the recommended therapy for resectable stage IIIB-IV cutaneous melanoma?,"Neoadjuvant pembrolizumab is recommended, followed by resection and adjuvant pembrolizumab.",melanoma_cancer_1,Neoadjuvant pembrolizumab followed by resection and adjuvant pembrolizumab.,YES
What therapy should be avoided in BRAF-mutant unresectable melanoma after progression on anti-PD-1?,Ipilimumab-containing regimens should be avoided after progression on other therapies.,melanoma_cancer_1,Combination BRAF/MEK inhibitor therapy.,NO
What are the therapy options for metastatic uveal melanoma for HLA-A*02:01-positive patients?,Tebentafusp is recommended for HLA-A*02:01-positive patients with metastatic uveal melanoma.,melanoma_cancer_1,Tebentafusp is the recommended therapy option for metastatic uveal melanoma for HLA-A*02:01-positive patients.,YES
What radiation dose is suggested for brain metastases less than 2 cm in size?,Single-fraction SRS with 2000-2400 cGy is recommended.,neurooncology_cancer_1,"Doses up to 1,500 cGy may be used.",NO
When is tumor size cutoff that surgery is preferred over SRS for brain metastases?,Surgery is conditionally recommended for brain metastases over 4 cm.,neurooncology_cancer_1,The context does not provide the tumor size cutoff where surgery is preferred over SRS.,NO
"For asymptomatic brain metastases from EGFR-mutant NSCLC, should local therapy be offered?",Local therapy delayed until intracranial progression after osimertinib,neurooncology_cancer_2,Local therapy may be delayed until there is evidence of intracranial progression.,YES
What is the number of brain mets that SRS be chosen over WBRT for unresected brain metastases?,SRS alone is recommended for 1-4 unresected brain metastases.,neurooncology_cancer_2,One to three brain metastases.,NO
Should radiation therapy be offered to patients with KPS ≤ 50 and brain metastases?,Radiation therapy is not recommended for patients with KPS ≤ 50.,neurooncology_cancer_2,"No, radiation therapy should not be offered to patients with KPS ≤ 50 and brain metastases.",YES
"What is the alternative treatment for oligodendroglioma, IDH-mutant, 1p19q codeleted, CNS WHO grade 2, due to toxicity concerns?",Temozolimide ,neurooncology_cancer_3,The context does not mention an alternative treatment.,NO
