question,expected_answer,asco_assistant_answer,asco_assistant_match
"How effective is elacestrant for ESR1 wild-type tumors in hormone receptor-positive, HER2-negative metastatic breast cancer?","Elacestrant is not significantly more effective than standard endocrine therapy for ESR1 wild-type tumors, as demonstrated in the EMERALD trial.","For patients with hormone receptor-positive, HER2-negative metastatic breast cancer and ESR1 wild-type tumors, elacestrant does not offer a significant improvement in progression-free survival (PFS) compared to standard-of-care endocrine therapy (SOC ET).",YES
"For HER2-negative metastatic breast cancer refractory to endocrine therapy, should single-agent chemotherapy or sacituzumab govitecan be offered?","Single-agent chemotherapy is preferred, starting with agents like capecitabine or eribulin","For HER2-negative metastatic breast cancer refractory to endocrine therapy, single-agent chemotherapy is generally preferred unless the patient has received at least two prior lines of chemotherapy for metastatic disease. In the latter case, sacituzumab govitecan may be offered.
",YES
"In hormone receptor-positive, HER2-negative metastatic breast cancer, when should ctDNA testing be performed?","ctDNA testing is recommended at recurrence or progression on endocrine therapy, as ESR1 mutations often emerge under treatment pressure.","For patients with hormone receptor-positive, HER2-negative metastatic breast cancer, ctDNA testing should be performed to detect ESR1 mutations at recurrence or progression on endocrine therapy (with or without a CDK4/6 inhibitor). Additionally, ctDNA testing (or tumor tissue testing if available) should be performed to detect PIK3CA mutations to determine eligibility for treatment with alpelisib plus fulvestrant",YES
"What is the recommendation for premenopausal women with node-positive, ER-positive, HER2-negative breast cancer?",Oncotype DX should not be used to guide chemotherapy decisions for premenopausal women with node-positive disease.,"For premenopausal women with node-positive, ER-positive, HER2-negative breast cancer, chemoendocrine therapy may be offered if the Oncotype DX score is between 16 and 25. If the Oncotype DX score is 26 or higher, chemoendocrine therapy should be offered.",NO
When can the Breast Cancer Index (BCI) test be offered for extended endocrine therapy decisions?,The BCI test may be offered to patients with 0-3 positive nodes who completed 5 years of endocrine therapy without recurrence.,"The Breast Cancer Index (BCI) test may be offered to guide decisions about extended endocrine therapy for patients with node-negative or node-positive breast cancer (1-3 positive nodes) who have completed 5 years of primary endocrine therapy without recurrence. For patients with node-positive breast cancer and more than 3 positive nodes, there is insufficient evidence to recommend the BCI test for guiding extended endocrine therapy decisions.",YES
What are the benefits of adjuvant bisphosphonate therapy in postmenopausal breast cancer patients?,Adjuvant bisphosphonates improve overall survival modestly and reduce risks of bone recurrence and fracture rates.,"Adjuvant bisphosphonate therapy in postmenopausal breast cancer patients offers a modest reduction in recurrence and mortality, primarily by reducing the risk of bone metastases. However, the absolute benefit is small and depends on the underlying risk of recurrence.",YES
"Which bisphosphonates are recommended for adjuvant therapy, and what are the doses?","Recommended options include oral clodronate (1,600 mg daily for 2-3 years), oral ibandronate (50 mg daily for 3 years), and zoledronic acid (4 mg every 6 months for 3 years).","Adjuvant bisphosphonate therapy in breast cancer may involve zoledronic acid, clodronate, or ibandronate, with dosing regimens varying depending on the specific agent and patient factors. The strongest data support zoledronic acid twice yearly, or oral agents like clodronate (1600 mg daily) or ibandronate (50 mg daily), though availability may vary by region.",YES
Should adjuvant denosumab be used to prevent recurrence in breast cancer?,Denosumab is not recommended as it does not consistently reduce recurrence rates.,"No, adjuvant denosumab is not recommended to reduce breast cancer recurrence.",YES
What is the recommendation for testing for ESR1 mutations in metastatic breast cancer?,Routine ESR1 mutation testing is not recommended,"For patients with hormone receptor-positive, HER2-negative metastatic breast cancer, routine testing for ESR1 mutations is recommended at the time of recurrence or progression on endocrine therapy (with or without a CDK4/6 inhibitor). Blood-based ctDNA testing is preferred due to its greater sensitivity.",NO
What biomarker testing is advised for metastatic HER2-negative breast cancer with immune checkpoint inhibitor candidates?,Testing for PD-L1 expression in tumor and immune cells is recommended to determine eligibility for pembrolizumab plus chemotherapy.,"For patients with metastatic HER2-negative breast cancer who are candidates for immune checkpoint inhibitor therapy, testing for PD-L1 expression and dMMR/MSI-H status is recommended to determine eligibility for treatment with pembrolizumab and chemotherapy, or dostarlimab-gxly or pembrolizumab, respectively. Additionally, testing for TMB is advised to determine eligibility for pembrolizumab monotherapy.",YES
Should circulating tumor DNA (ctDNA) be routinely used to monitor therapy response in metastatic breast cancer?,Routine use of ctDNA for monitoring therapy response is not recommended due to insufficient data.,"No, routine use of circulating tumor DNA (ctDNA) to monitor therapy response in metastatic breast cancer is not recommended. There is insufficient data to support its routine use for this purpose.",YES
Can adjuvant pembrolizumab be administered with radiation therapy?,Adjuvant pembrolizumab can be given concurrently with or after completion of radiation therapy.,"Adjuvant pembrolizumab can be used in combination with radiation therapy for certain melanoma patients with brain metastases. However, the available ASCO guidelines do not recommend this combination for all patients with melanoma, and the recommendation is considered informal consensus with low evidence quality.",NO
How many years of abemaciclib should be used in combination with endocrine therapy in high-risk early-stage breast cancer?,"Two years of abemaciclib (150 mg twice daily) with endocrine therapy for ≥5 years may be offered to patients with high-risk hormone receptor-positive, HER2-negative early-stage breast cancer.",The recommended duration of abemaciclib in combination with endocrine therapy for high-risk early-stage breast cancer is two years.,YES
What are the criteria for high-risk early breast cancer suitable for abemaciclib treatment?,"Criteria include ≥4 positive axillary lymph nodes or 1-3 positive nodes with tumor size ≥5 cm, histologic grade 3, or Ki-67 ≥20%.","Abemaciclib, in combination with endocrine therapy, is recommended for two years in high-risk early-stage breast cancer. This recommendation applies to patients meeting specific criteria.",NO
Is the use of abemaciclib restricted to patients with a high Ki-67 score?,Abemaciclib is recommended for broader patient populations at high risk of recurrence regardless of Ki-67 status.,"No, the use of abemaciclib is no longer limited to patients with a high Ki-67 score. While initially approved for patients with a Ki-67 score of -20%, the FDA expanded approval to eliminate this requirement.",YES
What is the role of olaparib in early-stage HER2-negative breast cancer with germline BRCA mutations?,Olaparib is recommended for one year after (neo)adjuvant chemotherapy and local treatment in high-risk early-stage HER2-negative breast cancer with BRCA mutations.,"For patients with early-stage, HER2-negative breast cancer at high risk of recurrence and germline BRCA1 or BRCA2 pathogenic or likely pathogenic variants, one year of adjuvant olaparib is recommended after completing (neo)adjuvant chemotherapy and local treatment, including radiation.1 This recommendation is based on the OlympiA trial, which showed that olaparib significantly improved invasive disease-free survival.2",YES
What clinical criteria define high-risk patients eligible for olaparib?,"Eligibility includes triple-negative tumors >2 cm or node involvement, or hormone receptor-positive disease with ≥4 involved lymph nodes or a CPS-EG score ≥3.","I'm sorry, but your question contains content that I cannot address. Could you please rephrase your question or ask something different?",NO
What are the main findings from the OlympiA trial regarding olaparib?,The OlympiA trial demonstrated improved invasive and distant disease-free survival with olaparib compared to placebo.,"I'm sorry, but your question contains content that I cannot address. Could you please rephrase your question or ask something different?",NO
"What is the recommendation for first-line treatment of triple-negative, PD-L1-positive metastatic breast cancer?",The addition of immune checkpoint inhibitors (atezolizumab or pembrolizumab) to chemotherapy is recommended.,"For triple-negative, PD-L1-positive metastatic breast cancer, the addition of an immune checkpoint inhibitor to chemotherapy is a recommended first-line treatment option.",YES
"What is the preferred treatment for triple-negative, PD-L1-negative metastatic breast cancer?",Single-agent chemotherapy is preferred,"For PD-L1-negative metastatic triple-negative breast cancer, single-agent chemotherapy is the preferred first-line treatment option. Combination chemotherapy may be considered for patients with symptomatic or immediately life-threatening disease where time may only allow one treatment opportunity.",YES
"What therapies are recommended for HR-positive HER2-negative metastatic breast cancer with BRCA mutations, who have progressed on endocine therapy?",Oral PARP inhibitors (olaparib or talazoparib) are recommended ,"For HR-positive, HER2-negative metastatic breast cancer patients with BRCA mutations who have progressed on endocrine therapy, an oral PARP inhibitor may be offered in the first through third-line setting instead of chemotherapy.",YES
"For patients with  HR-positive, HER2-negative who develop recurrence within one year of adjuvant AI therapy, what is the recommended in replacment of AI?",Fulvestrant or CDK4/6 inhibitors should be offered,"For patients with HR-positive, HER2-negative breast cancer who experience recurrence within one year of completing adjuvant aromatase inhibitor (AI) therapy, tamoxifen is recommended as a first-line treatment option in basic settings; alternative hormonal treatments, including tamoxifen, steroidal aromatase inhibitors, or fulvestrant, are options in limited settings; and fulvestrant plus a CDK4/6 inhibitor is recommended in enhanced settings.",NO
"When is sentinel lymph node biopsy not required for patients with early-stage hormone receptor-positive, HER2-negative invasive breast cancer?",Sentinel lymph node biopsy is not required for clinically node-negative women aged ≥70 years who will receive hormonal therapy.,"For patients aged 70 years or older with clinically node-negative (T1N0) early-stage invasive breast cancer that is hormone receptor-positive and HER2-negative, a sentinel lymph node biopsy (SLNB) is not required.1",YES
How should axillary treatment be approached for patients undergoing mastectomy with 1-2 positive sentinel nodes?,"Postmastectomy radiation to the axilla is recommended, and axillary lymph node dissection can be safely omitted.","For patients undergoing mastectomy with one to two positive sentinel lymph nodes, post-mastectomy radiation therapy (PMRT) to the axilla is recommended, and axillary lymph node dissection (ALND) can be safely omitted. If a patient declines PMRT, either radiation to the axilla without the chest wall or completion ALND can be considered.",YES
What are the recommendations for radiotherapy after neoadjuvant chemotherapy in node-positive early-stage breast cancer?,Locoregional nodal irradiation is recommended,"For patients with node-positive, early-stage breast cancer who have received neoadjuvant chemotherapy (NAC), radiotherapy to the breast and chest wall is recommended, and radiotherapy to the axilla is recommended in lieu of axillary lymph node dissection (ALND) in certain circumstances.",NO
"What is the recommended neoadjuvant therapy for HER2-positive, node-positive breast cancer?",Patients should receive neoadjuvant therapy with an anthracycline and taxane-based regimen in combination with trastuzumab and pertuzumab.,"For patients with HER2-positive, node-positive breast cancer, neoadjuvant therapy should include an anthracycline and taxane-based regimen, or a non-anthracycline-based regimen, in combination with trastuzumab, with or without pertuzumab for dual anti-HER2 blockade.",NO
"How should neoadjuvant endocrine therapy be used in HR-positive, HER2-negative early-stage breast cancer?","For postmenopausal patients, neoadjuvant endocrine therapy with an aromatase inhibitor may be offered to increase surgical options.","For premenopausal patients with HR-positive, HER2-negative early-stage breast cancer, neoadjuvant endocrine therapy should not be routinely offered outside of a clinical trial. For postmenopausal patients with HR-positive, HER2-negative disease, neoadjuvant endocrine therapy with an aromatase inhibitor may be offered to increase locoregional treatment options.",YES
What is the recommendation for first-line therapy for esophageal SCC with PD-L1 TPS≥1%?,Administer nivolumab plus fluoropyrimidine- and platinum-based chemotherapy.,"For esophageal squamous cell carcinoma (ESCC) with PD-L1 TPS -1%, first-line therapy should include nivolumab plus fluoropyrimidine- and platinum-based chemotherapy, or nivolumab plus ipilimumab.",NO
When is ramucirumab plus paclitaxel recommended?,For advanced gastroesophageal cancer patients progressing after first-line therapy.,An error has occurred. Please rephrase your query or try again later.,NO
What is recommended for HER2-positive gastric cancer patients after progression on first-line therapy?,Trastuzumab deruxtecan is recommended.,"For HER2-positive gastric cancer patients who have progressed after first-line therapy, trastuzumab deruxtecan is recommended.1 This recommendation is based on data from the DESTINY-Gastric01 phase II trial, which showed improved overall survival and progression-free survival with trastuzumab deruxtecan compared to chemotherapy.2",YES
Should adjuvant chemotherapy be recommended for stage II colon cancer patients with dMMR/MSI tumors?,Adjuvant fluoropyrimidine-only chemotherapy is not recommended.,"Adjuvant chemotherapy is generally not recommended for stage II colon cancer patients with dMMR or MSI tumors. One guideline recommends against adjuvant fluoropyrimidine-only therapy for patients with dMMR or MSI, citing a potential detrimental effect on disease-free survival (DFS) based on a pooled randomized controlled trial (RCT) subgroup analysis.1",YES
Should adjuvant chemotherapy be offered for low-risk stage II colon cancer patients?,ACT is not routinely recommended.,"For low-risk stage II colon cancer patients, adjuvant chemotherapy may be offered for a duration of three months or six months, but this decision should be made after a discussion with the patient about the potential benefits and risks of each treatment duration.",NO
What is the duration of oxaliplatin-based chemotherapy for high-risk stage II colon cancer?,"3 or 6 months, decided based on patient preference and potential for adverse events.","For high-risk stage III resected colon cancer, adjuvant oxaliplatin-containing chemotherapy should be offered for a duration of six months. However, a shared decision-making approach is recommended given the lower quality of evidence.",NO
What chemotherapy is recommended as radiosensitizer for stage I-III anal SCC?,Mitomycin-C with fluorouracil (FU) or capecitabine.,"For stage I-III anal squamous cell carcinoma (SCC), mitomycin C (MMC) with a fluoropyrimidine (5-FU or capecitabine) is recommended as the radiosensitizing component of chemoradiation. For immunosuppressed patients, however, cisplatin and 5-FU are preferred due to the increased risk of myelosuppression associated with MMC.",YES
How should patients with BRAF V600E-mutant mCRC receive after prior chemotherapy?,Encorafenib plus cetuximab is recommended.,"For patients with BRAF V600E-mutant metastatic colorectal cancer (mCRC) who have received prior chemotherapy, the recommended treatment is encorafenib plus cetuximab.",YES
Should anti-EGFR be added as the first-line therapy for RAS mutatnt left-sided mCRC?,"No,  anti-EGFR is added for RAS wild type left-sided mCRC","No, anti-EGFR therapy is not recommended as first-line therapy for patients with KRAS mutant metastatic colorectal cancer (mCRC).",YES
When is stereotactic body radiation therapy recommended for liver oligometastases in mCRC?,It may be recommended after systemic therapy if resection is not feasible.,Stereotactic body radiation therapy (SBRT) may be recommended for patients with liver oligometastases from metastatic colorectal cancer (mCRC) who have received systemic therapy and are not candidates for resection. A multidisciplinary team (MDT) approach is required for patients considered for SBRT or selective internal radiation therapy (SIRT).,YES
How long is the healing period from dental procedure before radiation therapy for head and neck cancer patients to prevent osteoradionecrosis (ORN)?,Ensure at least a 2-week healing period when possible.,"A two-week healing period between dental extractions and the start of radiation therapy (RT) is advised, but only if this does not delay RT and compromise oncologic control.1 If a patient does not have one to two weeks of healing available and presents with hopeless teeth within the planned radiation field, removal is recommended",YES
What are the surgical recommendations for advanced-stage ORN in head and neck cancer patients?,"For advanced ORN, surgical debridement or resection with vascularized bone reconstruction is recommended to restore function and manage complications.","For patients with advanced-stage osteoradionecrosis (ORN) in the head and neck, surgical intervention is considered when conservative management fails to provide relief. Surgical options include debridement, resection, and reconstruction.",YES
Should immunotherapy single agent be initiated in metastatic head and neck squamous cell carcinoma (HNSCC) with PD-L1 < 1?,"No, combination therapy is preferred for CPS <1.","For patients with metastatic head and neck squamous cell carcinoma (HNSCC) and PD-L1 expression less than 1%, single-agent immunotherapy is not recommended as initial therapy. Instead, the available ASCO guidelines suggest other treatment options.",YES
What are the guidelines for immunotherapy in platinum-refractory recurrent or metastatic HNSCC?,Pembrolizumab or nivolumab should be offered to patients regardless of PD-L1 CPS status.,"For patients with platinum-refractory recurrent or metastatic non-small cell lung cancer (NSCLC), immunotherapy is a recommended treatment option, but the specific agent and regimen depend on factors such as PD-L1 expression and prior treatment.",NO
What is the recommendation for PD-L1 biomarker testing in recurrent/metastatic HNSCC?,"PD-L1 immunohistochemistry testing is recommended, and a CPS ≥1 is considered positive for PD-1 inhibitor therapy.",PD-L1 immunohistochemistry (IHC) testing should be performed in patients with recurrent head and neck squamous cell carcinoma (HNSCC). This testing helps determine eligibility for immunotherapy.,NO
Can radiation therapy be integrated with immunotherapy for recurrent HNSCC?,Radiation therapy may be safely administered concurrently with immunotherapy for palliative or local control in oligometastatic settings,"For patients with recurrent HNSCC, radiation therapy can be safely combined with immunotherapy for palliation or local control, but it should not be used to enhance the response to immunotherapy outside of a clinical trial.",YES
What are the PARP inhibitor recommendations for newly diagnosed advanced ovarian cancer responding to platinum-based chemotherapy?,"PARP inhibitors are recommended as maintenance therapy for BRCA-mutated or HRD-positive patients, with varying regimens based on genetic status.","For patients with newly diagnosed advanced ovarian cancer who achieve a complete or partial response to first-line platinum-based chemotherapy, PARP inhibitor maintenance therapy is recommended in high-grade serous or endometrioid ovarian cancer. PARP inhibitor monotherapy should not be routinely offered to patients for the treatment of recurrent platinum-sensitive ovarian cancer",YES
What is the effect of PARP inhibitors on patients' overall survival in recurrent ovarian cancer without BRCA-mutation or HRD-positivity?,Evidence suggests potential overall survival detriments in later-line treatments with PARP inhibitors,"In patients with recurrent ovarian cancer who lack BRCA mutations or HRD positivity, PARP inhibitor maintenance therapy does not demonstrate a statistically significant benefit in overall survival. However, PARP inhibitor maintenance therapy does show a significant improvement in progression-free survival (PFS) in this patient population.",NO
What is the effect of PARP inhibitors on patients' progression-free survival in recurrent ovarian cancer without BRCA-mutation or HRD-positivity?,PARP inhibitors demonstrated progression-free survival benefits,"PARP inhibitor maintenance therapy significantly improves progression-free survival (PFS) in patients with recurrent ovarian cancer who lack BRCA mutations or HRD positivity, although it does not show a statistically significant benefit in overall survival (OS).",YES
What surgical approach is recommended for T3-T4 parotid cancers with high-grade malignancy?,"At least a superficial parotidectomy, with consideration of total or subtotal parotidectomy.","For T3-T4 parotid cancers with high-grade malignancy, at least a superficial parotidectomy is recommended, with consideration given to a total or subtotal parotidectomy.",YES
What is the recommended follow-up imaging schedule for high-grade salivary gland cancers post-treatment?,"Baseline imaging at 3 months, every 6-12 months for the first 2 years, and symptom-directed imaging from years 3-5. Yearly chest CT may be considered for high-grade cases.","Post-treatment follow-up imaging for high-grade salivary gland cancers should include imaging of the primary site and chest, with the schedule varying depending on the time since treatment and the patient's clinical presentation. For the first two years, imaging may be obtained every 6-12 months; thereafter, imaging is guided by symptoms and physical exam findings, with yearly imaging potentially offered for high-grade histology or poor prognostic features. Long-term follow-up (beyond 5 years) with yearly exams is recommended for all patients, with yearly chest CT potentially offered for those with high-grade histology or poor prognostic features.",YES
What chemotherapy regimen is recommended for stage III-IVA nasopharyngeal carcinoma (NPC) during induction?,"Platinum-based regimens such as GP (gemcitabine and cisplatin) or TPF (docetaxel, cisplatin, 5-fluorouracil) every 3 weeks for 2-3 cycles.","For stage III-IVA nasopharyngeal carcinoma (NPC), induction chemotherapy should consist of regimens administered every 3 weeks for a total of 3 cycles, or at a minimum, 2 cycles.",NO
What radiotherapy technique is preferred for stage II-IVA nasopharyngeal carcinoma?,Intensity-modulated radiotherapy (IMRT) with daily image guidance is strongly recommended.,"For stage II-IVA nasopharyngeal carcinoma (NPC), intensity-modulated radiotherapy (IMRT) with daily image guidance is the preferred radiotherapy technique. If IMRT is unavailable, patients should be transferred to institutions capable of providing it.",YES
What is the role of adjuvant chemotherapy for T3N0 nasopharyngeal carcinoma patients?,"Adjuvant chemotherapy may be offered, typically using a PF regimen.","For T3N0 nasopharyngeal carcinoma (NPC) patients, adjuvant chemotherapy is not routinely recommended, but may be considered in specific circumstances, such as high-risk features or incomplete tumor resection.",NO
What is the schedule of radiation recommended for radiotherapy in nasopharyngeal carcinoma?,A dose of 70 Gy in 33-35 fractions (2.0-2.12 Gy per fraction) over 7 weeks is recommended.,"For nasopharyngeal carcinoma (NPC) patients, the recommended radiation schedule is a prescribed dose of 70 Gy delivered in 33-35 fractions (2.0-2.12 Gy per fraction) over 7 weeks (once daily, 5 fractions per week).1 The radiation dose may be adjusted based on tumor volume and response to (chemo-)radiotherapy.",YES
What are the treatment options for MET exon 14 skipping mutation-positive NSCLC?,Capmatinib or tepotinib are recommended.,"For NSCLC patients with a MET exon 14 skipping mutation, MET-targeted therapy with either capmatinib or tepotinib may be offered as first-line treatment; if these are unavailable, standard first-line therapy following non-driver alteration guidelines may be considered. For patients previously treated with MET-targeted therapy, standard therapy following non-driver alteration guidelines is recommended.",YES
What is the guideline for first-line treatment in EGFR exon 20 insertion NSCLC?,Chemotherapy combined with amivantamab,"For EGFR exon 20 insertion NSCLC, first-line treatment options include osimertinib, or amivantamab plus lazertinib. Immunotherapy is not recommended as a first-line treatment for patients with EGFR alterations.",NO
What is the recommended first-line treatment for stage IV NSCLC with EGFR exon 19 deletion mutation?,Osimertinib is recommended as the first-line treatment,"For stage IV NSCLC patients with an EGFR exon 19 deletion mutation, the recommended first-line treatment is osimertinib. Immunotherapy is not recommended as a first-line treatment for patients with EGFR alterations.",YES
How should patients with stage IV NSCLC and EGFR mutation progress after osimertinib treatment?,"Platinum-based chemotherapy, with or without amivantamab","For stage IV NSCLC patients with EGFR mutations whose disease has progressed on osimertinib, treatment options include platinum-based chemotherapy with or without amivantamab; or, if amivantamab and chemotherapy have not been used, chemotherapy alone plus or minus anti-VEGF therapy may be considered for those with adenocarcinoma histology and where anti-VEGF therapy is deemed safe.",YES
What is the first line treatment for stage IV NSCLC with ROS1 fusion mutation?,"First-line treatment includes repotrectinib, entrectinib, or crizotinib.","For stage IV NSCLC patients with a ROS1 fusion mutation, there is currently no definitive recommendation from the available ASCO guidelines regarding a preferred first-line treatment among targeted agents like crizotinib, entrectinib, ceritinib, or lorlatinib, compared to chemotherapy, immunotherapy combined with chemotherapy, or immunotherapy alone. No randomized controlled trials (RCTs) comparing these options have been identified.",YES
What is the benefit of amivantamab plus lazertinib over osmiertinib alone in untreated EGFR mutation-positive stage IV NSCLC?,Amivantamab plus lazertinib showed a median PFS of 23.7 months compared to 16.6 months with osimertinib alone.,"For untreated EGFR mutation-positive stage IV NSCLC, amivantamab plus lazertinib demonstrated a longer median progression-free survival (PFS) compared to osimertinib alone, although this benefit came with increased toxicity.",NO
Should anti-PD-L1 be used for second-line therapy for EGFR mutation-positive NSCLC without targetable alterations?,Anti-PD-(L)1 agents are not recommended,"No, anti-PD-L1 agents with or without platinum-based chemotherapy are not recommended for second-line therapy in EGFR mutation-positive NSCLC without targetable alterations",YES
How should osimertinib be administered with chemotherapy for advanced EGFR-mutated NSCLC?,Osimertinib plus platinum-based chemotherapy with maintenance pemetrexed is recommended for certain patients.,"For advanced EGFR-mutated NSCLC, osimertinib is not typically administered concurrently with chemotherapy. Instead, chemotherapy is usually considered after progression on osimertinib, or as a first-line option for patients who are not candidates for osimertinib.",NO
What is the treatment recommendation for ROS1-positive NSCLC after progression on crizotinib?,Patients may be offered lorlatinib as a second-line treatment.,"For ROS1-positive NSCLC patients who have progressed on crizotinib, lorlatinib may be offered as a subsequent treatment option. If crizotinib, entrectinib, or ceritinib have been previously used, lorlatinib is a potential treatment choice.",YES
What is the efficacy of atezolizumab plus bevacizumab and chemotherapy in EGFR-mutated NSCLC?,"In the ATTLAS trial, this combination showed a median PFS of 8.48 months compared to 5.62 months with chemotherapy alone.",An error has occurred. Please rephrase your query or try again later.,NO
What are the recommendations for 1st line therapy in patients with MET exon 14 skipping mutations?,Capmatinib or tepotinib are recommended as first-line therapies.,"For patients with MET exon 14 skipping mutations, MET-targeted therapy with either capmatinib or tepotinib may be offered as first-line treatment, or standard first-line therapy may be offered following the non-driver mutation guidelines.",YES
What is the treatment for KRAS G12C-mutated NSCLC as 1st line therapy?,Chemotherapy,"For first-line therapy in KRAS G12C-mutated NSCLC, standard first-line treatment with immune checkpoint inhibitor therapy and/or chemotherapy should be offered, following the non-driver alteration guideline",NO
What is the recommendation for RET rearrangement-positive NSCLC as 1st line therapy?,Selpercatinib or pralsetinib are recommended as first-line therapies.,"For RET rearrangement-positive NSCLC, first-line treatment should involve a RET inhibitor.",YES
How should clinicians manage EGFR T790M resistance alterations in advanced NSCLC?,Osimertinib is the recommended treatment for EGFR T790M resistance alterations.,"For patients with advanced NSCLC and EGFR T790M resistance alterations, repeat biomarker testing is recommended, and if the T790M mutation is confirmed, osimertinib should be offered. If osimertinib is used as first-line therapy, then platinum doublet chemotherapy or treatment following the non-driver alteration guideline is recommended.",YES
What is the first-line treatment for patients with stage IV NSCLC and PD-L1 TPS ≥50%?,Single-agent immunotherapy,"For patients with stage IV NSCLC and PD-L1 TPS -50%, PD-(L)1 monotherapy is recommended as first-line treatment. Alternatively, nivolumab and ipilimumab plus two cycles of platinum-based chemotherapy may be offered.",YES
Should single agent pembrolizumab be used for stage IV squamous NSCLC and PD-L1 expression 32%?,Pembrolizumab plus carboplatin and paclitaxel (or nab-paclitaxel) is recommended as first-line therapy.,"For stage IV squamous NSCLC with PD-L1 expression of 32%, single-agent pembrolizumab is not recommended as first-line therapy. Instead, a combination of platinum-based doublet chemotherapy and immunotherapy is recommended.",YES
