question,expected_answer,gemini-2.5-flash_answer,gemini-2.5-flash_match
What is the recommendation for testing for ESR1 mutations in metastatic breast cancer?,Routine ESR1 mutation testing is not recommended,"Testing for ESR1 mutations is recommended in patients with metastatic breast cancer, particularly upon progression on prior endocrine therapy. This helps guide subsequent treatment decisions, identifying candidates for specific targeted therapies like oral SERDs approved for ESR1-mutated disease.",NO
What biomarker testing is advised for metastatic HER2-negative breast cancer with immune checkpoint inhibitor candidates?,Testing for PD-L1 expression in tumor and immune cells is recommended to determine eligibility for pembrolizumab plus chemotherapy.,"For metastatic HER2-negative breast cancer candidates for immune checkpoint inhibitors (primarily the triple-negative subtype), the key biomarker test advised is **PD-L1 expression** (commonly using the Combined Positive Score, CPS).",YES
Should circulating tumor DNA (ctDNA) be routinely used to monitor therapy response in metastatic breast cancer?,Routine use of ctDNA for monitoring therapy response is not recommended due to insufficient data.,"No, circulating tumor DNA (ctDNA) is not yet routinely recommended for monitoring therapy response in all metastatic breast cancer patients. While promising for early detection of progression and identifying resistance mechanisms, large prospective studies demonstrating that routine ctDNA monitoring improves clinical outcomes compared to standard imaging and clinical assessments are still needed. It is currently used more in research settings or specific clinical scenarios.",YES
Can adjuvant pembrolizumab be administered with radiation therapy?,Adjuvant pembrolizumab can be given concurrently with or after completion of radiation therapy.,"No, concurrent administration of **adjuvant** pembrolizumab and radiation therapy is generally **not** standard practice due to the increased risk of severe toxicities. If both are indicated, they are typically given sequentially.",NO
How many years of abemaciclib should be used in combination with endocrine therapy in high-risk early-stage breast cancer?,"Two years of abemaciclib (150 mg twice daily) with endocrine therapy for ≥5 years may be offered to patients with high-risk hormone receptor-positive, HER2-negative early-stage breast cancer.","Based on clinical trial evidence, abemaciclib is typically used for **two years** in combination with endocrine therapy for high-risk early-stage breast cancer.",NO
What are the criteria for high-risk early breast cancer suitable for abemaciclib treatment?,"Criteria include ≥4 positive axillary lymph nodes or 1-3 positive nodes with tumor size ≥5 cm, histologic grade 3, or Ki-67 ≥20%.","Criteria typically include:

1.  **HR-positive** (Hormone Receptor-Positive)
2.  **HER2-negative** (Human Epidermal growth factor Receptor 2-Negative)
3.  **Node-positive** (N+)
4.  **High risk of recurrence**, often defined by factors like:
    *   Extensive nodal involvement (e.g., ≥4 positive nodes)
    *   OR 1-3 positive nodes *plus* other features like high tumor grade (Grade 3) or high Ki-67 index.",YES
Is the use of abemaciclib restricted to patients with a high Ki-67 score?,Abemaciclib is recommended for broader patient populations at high risk of recurrence regardless of Ki-67 status.,"No, the use of abemaciclib is not restricted to patients with a high Ki-67 score according to current prescribing information or regulatory approvals. While Ki-67 has been studied in relation to its efficacy, patient selection is not based on this biomarker.",NO
What is the role of olaparib in early-stage HER2-negative breast cancer with germline BRCA mutations?,Olaparib is recommended for one year after (neo)adjuvant chemotherapy and local treatment in high-risk early-stage HER2-negative breast cancer with BRCA mutations.,"Olaparib is used as **adjuvant therapy** (after standard treatment) to significantly **reduce the risk of recurrence and death** in high-risk patients with early-stage, HER2-negative breast cancer who have **germline BRCA mutations**, improving disease-free and overall survival.",YES
What clinical criteria define high-risk patients eligible for olaparib?,"Eligibility includes triple-negative tumors >2 cm or node involvement, or hormone receptor-positive disease with ≥4 involved lymph nodes or a CPS-EG score ≥3.","High-risk patients eligible for olaparib typically meet criteria involving:

1.  **Specific Genetic Mutations:** Presence of *BRCA1/2* or other homologous recombination repair (HRR) gene mutations.
2.  **Disease Context:** Specific cancer type (e.g., ovarian, breast, prostate, pancreatic) and disease stage (e.g., advanced, metastatic, or high-risk early stage), often requiring prior treatment history (like response to platinum-based chemotherapy).",NO
What are the main findings from the OlympiA trial regarding olaparib?,The OlympiA trial demonstrated improved invasive and distant disease-free survival with olaparib compared to placebo.,"The main findings from the OlympiA trial were that adjuvant olaparib significantly improved invasive disease-free survival (IDFS) and overall survival (OS) in patients with *BRCA*-mutated, high-risk early breast cancer compared to placebo.",YES
"What is the recommendation for first-line treatment of triple-negative, PD-L1-positive metastatic breast cancer?",The addition of immune checkpoint inhibitors (atezolizumab or pembrolizumab) to chemotherapy is recommended.,"For PD-L1-positive metastatic triple-negative breast cancer, the recommendation is first-line treatment with **pembrolizumab in combination with chemotherapy**.",YES
"What is the preferred treatment for triple-negative, PD-L1-negative metastatic breast cancer?",Single-agent chemotherapy is preferred,"Chemotherapy is the preferred initial treatment for triple-negative, PD-L1-negative metastatic breast cancer.",YES
"What therapies are recommended for HR-positive HER2-negative metastatic breast cancer with BRCA mutations, who have progressed on endocine therapy?",Oral PARP inhibitors (olaparib or talazoparib) are recommended ,"Recommended therapies primarily include **PARP inhibitors** (such as olaparib or talazoparib), which target the BRCA mutation. **Single-agent chemotherapy** is also a standard treatment option.",YES
"For patients with  HR-positive, HER2-negative who develop recurrence within one year of adjuvant AI therapy, what is the recommended in replacment of AI?",Fulvestrant or CDK4/6 inhibitors should be offered,"For patients with HR-positive, HER2-negative who develop recurrence within one year of adjuvant AI therapy, the recommended endocrine therapy is typically **Fulvestrant**, usually in combination with a **CDK4/6 inhibitor** (like palbociclib, ribociclib, or abemaciclib).",YES
"When is sentinel lymph node biopsy not required for patients with early-stage hormone receptor-positive, HER2-negative invasive breast cancer?",Sentinel lymph node biopsy is not required for clinically node-negative women aged ≥70 years who will receive hormonal therapy.,"Sentinel lymph node biopsy may not be required for clinically node-negative patients with very small, early-stage tumors (typically ≤ 1 cm) of this subtype, as the risk of nodal involvement is low and the results may not change subsequent treatment decisions.",NO
How should axillary treatment be approached for patients undergoing mastectomy with 1-2 positive sentinel nodes?,"Postmastectomy radiation to the axilla is recommended, and axillary lymph node dissection can be safely omitted.","For patients undergoing mastectomy with 1-2 positive sentinel nodes, the decision between **completion axillary lymph node dissection (ALND)** and **axillary radiation therapy (ART)** is often individualized.

Unlike breast-conserving therapy patients where ALND may be omitted based on Z0011, mastectomy patients may require further axillary treatment. The choice depends on factors such as the exact number of positive nodes, planned post-mastectomy radiation therapy, and patient factors, requiring shared decision-making.",NO
What are the recommendations for radiotherapy after neoadjuvant chemotherapy in node-positive early-stage breast cancer?,Locoregional nodal irradiation is recommended,"For node-positive early-stage breast cancer patients treated with neoadjuvant chemotherapy, the primary recommendation for radiotherapy, specifically regional nodal irradiation (RNI), depends on the **pathologic nodal status after surgery (ypN)**:

1.  **If residual nodal disease (yp N+) remains:** Regional nodal irradiation is strongly recommended.
2.  **If nodal clearance is achieved (yp N0):** Regional nodal irradiation is less uniformly indicated and often individualized based on factors like the extent of initial nodal burden *before* NACT.

Chest wall or breast radiotherapy is also considered based on standard indications related to surgery type, margin status, and other features.",YES
"What is the recommended neoadjuvant therapy for HER2-positive, node-positive breast cancer?",Patients should receive neoadjuvant therapy with an anthracycline and taxane-based regimen in combination with trastuzumab and pertuzumab.,"The recommended neoadjuvant therapy typically involves **chemotherapy combined with dual HER2-targeted blockade using trastuzumab and pertuzumab.**

Common regimens include TCHP (Docetaxel, Carboplatin, Trastuzumab, Pertuzumab) or an anthracycline-based regimen followed by taxanes, trastuzumab, and pertuzumab (e.g., AC followed by THP).",YES
"How should neoadjuvant endocrine therapy be used in HR-positive, HER2-negative early-stage breast cancer?","For postmenopausal patients, neoadjuvant endocrine therapy with an aromatase inhibitor may be offered to increase surgical options.","Neoadjuvant endocrine therapy (NET) is used in select patients with HR-positive, HER2-negative early-stage breast cancer, typically as an **alternative to neoadjuvant chemotherapy**.

Key uses:
1.  **Downstaging:** To shrink the tumor and/or nodal involvement, potentially allowing for less extensive surgery (e.g., lumpectomy instead of mastectomy).
2.  **Avoiding Chemotherapy:** For patients where chemotherapy toxicity is a significant concern (e.g., elderly, frail, comorbidities) or where genomic profiling suggests low chemo benefit.
3.  **Assessing Response:** To evaluate the tumor's sensitivity to endocrine therapy.

It is usually given for **4-8 months** (or longer) using **Aromatase Inhibitors** (postmenopausal) or **Tamoxifen** (+/- ovarian suppression for premenopausal).",YES
What is the recommendation for first-line therapy for esophageal SCC with PD-L1 TPS≥1%?,Administer nivolumab plus fluoropyrimidine- and platinum-based chemotherapy.,The current recommendation for first-line therapy for advanced esophageal SCC with PD-L1 TPS ≥ 1% is a combination of platinum-based chemotherapy plus a PD-1 inhibitor (such as pembrolizumab).,NO
When is ramucirumab plus paclitaxel recommended?,For advanced gastroesophageal cancer patients progressing after first-line therapy.,Ramucirumab plus paclitaxel is recommended as **second-line therapy** for **advanced gastric or gastroesophageal junction (GEJ) adenocarcinoma** after progression on or intolerance to first-line chemotherapy.,YES
What is recommended for HER2-positive gastric cancer patients after progression on first-line therapy?,Trastuzumab deruxtecan is recommended.,Trastuzumab deruxtecan (T-DXd) is the recommended treatment.,YES
Should adjuvant chemotherapy be recommended for stage II colon cancer patients with dMMR/MSI tumors?,Adjuvant fluoropyrimidine-only chemotherapy is not recommended.,Adjuvant chemotherapy is **generally not recommended** for stage II colon cancer patients with dMMR/MSI tumors. These tumors have a more favorable prognosis and typically do not benefit from standard fluoropyrimidine-based chemotherapy.,YES
Should adjuvant chemotherapy be offered for low-risk stage II colon cancer patients?,ACT is not routinely recommended.,"No, adjuvant chemotherapy is generally *not* recommended for low-risk stage II colon cancer patients, as the potential benefit is minimal compared to the risks and side effects.",YES
What is the duration of oxaliplatin-based chemotherapy for high-risk stage II colon cancer?,"3 or 6 months, decided based on patient preference and potential for adverse events.","For high-risk stage II colon cancer, the standard duration for oxaliplatin-based chemotherapy (FOLFOX or CAPEOX/XELOX) is typically **3 months**.",NO
What chemotherapy is recommended as radiosensitizer for stage I-III anal SCC?,Mitomycin-C with fluorouracil (FU) or capecitabine.,The standard chemotherapy regimen recommended as a radiosensitizer for stage I-III anal SCC is **5-Fluorouracil (5-FU) and Mitomycin-C**.,YES
How should patients with BRAF V600E-mutant mCRC receive after prior chemotherapy?,Encorafenib plus cetuximab is recommended.,"After prior chemotherapy, patients with BRAF V600E-mutant mCRC should typically receive a combination of a BRAF inhibitor and an EGFR inhibitor, most commonly encorafenib plus cetuximab or panitumumab.",YES
Should anti-EGFR be added as the first-line therapy for RAS mutatnt left-sided mCRC?,"No,  anti-EGFR is added for RAS wild type left-sided mCRC","No, anti-EGFR therapy is **not** recommended as first-line treatment for RAS mutant mCRC, regardless of tumor location. The presence of a RAS mutation makes anti-EGFR drugs ineffective and potentially harmful.",NO
When is stereotactic body radiation therapy recommended for liver oligometastases in mCRC?,It may be recommended after systemic therapy if resection is not feasible.,"SBRT is recommended for liver oligometastases in mCRC when surgery or other local ablative treatments are **not feasible or appropriate**, typically as part of a **multidisciplinary treatment plan** for patients with a limited number of lesions primarily confined to the liver.",NO
How long is the healing period from dental procedure before radiation therapy for head and neck cancer patients to prevent osteoradionecrosis (ORN)?,Ensure at least a 2-week healing period when possible.,A minimum of **14 days (two weeks)** is generally recommended between dental procedures (like extractions) and the start of radiation therapy to allow adequate healing and reduce the risk of osteoradionecrosis (ORN). Longer healing times may be necessary depending on the procedure's complexity.,YES
What are the surgical recommendations for advanced-stage ORN in head and neck cancer patients?,"For advanced ORN, surgical debridement or resection with vascularized bone reconstruction is recommended to restore function and manage complications.","For advanced-stage ORN, surgical recommendations involve **aggressive resection of all necrotic bone** (often segmental mandibulectomy or maxillectomy), followed by **immediate reconstruction** using **vascularized free tissue transfer** (typically osteocutaneous flaps) to provide healthy tissue coverage and restore bony continuity.",YES
Should immunotherapy single agent be initiated in metastatic head and neck squamous cell carcinoma (HNSCC) with PD-L1 < 1?,"No, combination therapy is preferred for CPS <1.","For **first-line** treatment of metastatic HNSCC, single-agent immunotherapy is generally **not** recommended if PD-L1 CPS is < 1%.

For **second-line** treatment (after platinum failure), single-agent immunotherapy **is** an option, although response rates are lower than in patients with higher PD-L1 expression.",NO
What are the guidelines for immunotherapy in platinum-refractory recurrent or metastatic HNSCC?,Pembrolizumab or nivolumab should be offered to patients regardless of PD-L1 CPS status.,"In platinum-refractory recurrent or metastatic HNSCC, PD-1 inhibitors (nivolumab or pembrolizumab) are standard treatment options used after failure of platinum-based therapy. They are generally recommended regardless of PD-L1 status in this setting.",YES
What is the recommendation for PD-L1 biomarker testing in recurrent/metastatic HNSCC?,"PD-L1 immunohistochemistry testing is recommended, and a CPS ≥1 is considered positive for PD-1 inhibitor therapy.","PD-L1 testing is recommended for recurrent/metastatic HNSCC to guide treatment decisions, particularly for selecting patients for pembrolizumab monotherapy or combination therapy in the first-line setting.",NO
Can radiation therapy be integrated with immunotherapy for recurrent HNSCC?,Radiation therapy may be safely administered concurrently with immunotherapy for palliative or local control in oligometastatic settings,"Yes, radiation therapy *can* be integrated with immunotherapy for recurrent HNSCC.

This combination is an active area of clinical research and is sometimes used, aiming for synergistic anti-tumor effects, although optimal timing and patient selection are crucial considerations.",NO
What are the PARP inhibitor recommendations for newly diagnosed advanced ovarian cancer responding to platinum-based chemotherapy?,"PARP inhibitors are recommended as maintenance therapy for BRCA-mutated or HRD-positive patients, with varying regimens based on genetic status.","PARP inhibitors are recommended as **maintenance therapy** after response to first-line platinum-based chemotherapy in newly diagnosed advanced ovarian cancer.

The recommendation and expected benefit are primarily based on **biomarker status**, with the greatest benefit seen in patients with **BRCA mutations** or **Homologous Recombination Deficiency (HRD)**. They are used to **delay disease recurrence**.",YES
What is the effect of PARP inhibitors on patients' overall survival in recurrent ovarian cancer without BRCA-mutation or HRD-positivity?,Evidence suggests potential overall survival detriments in later-line treatments with PARP inhibitors,"Based on current data, PARP inhibitors have **not consistently demonstrated a statistically significant improvement in overall survival** for patients with recurrent ovarian cancer who are without BRCA mutation or HRD positivity, although they may show some progression-free survival benefit.",NO
What is the effect of PARP inhibitors on patients' progression-free survival in recurrent ovarian cancer without BRCA-mutation or HRD-positivity?,PARP inhibitors demonstrated progression-free survival benefits,"In recurrent ovarian cancer without BRCA-mutation or HRD-positivity, PARP inhibitors as monotherapy have shown limited or no statistically significant improvement in progression-free survival compared to placebo in clinical trials.",NO
What surgical approach is recommended for T3-T4 parotid cancers with high-grade malignancy?,"At least a superficial parotidectomy, with consideration of total or subtotal parotidectomy.","The recommended surgical approach for T3-T4 high-grade parotid cancers typically involves **total parotidectomy** with **ipsilateral neck dissection**, often requiring **facial nerve sacrifice and reconstruction** if the nerve is involved by the tumor.",NO
What is the recommended follow-up imaging schedule for high-grade salivary gland cancers post-treatment?,"Baseline imaging at 3 months, every 6-12 months for the first 2 years, and symptom-directed imaging from years 3-5. Yearly chest CT may be considered for high-grade cases.","Recommended imaging follow-up for high-grade salivary gland cancers is not a rigid schedule but generally involves **frequent imaging (typically CT or MRI) every 3-6 months for the first 1-2 years post-treatment.**

Frequency usually decreases thereafter (e.g., every 6-12 months) and continues for at least 5 years, tailored to individual risk factors and clinical findings. PET/CT may be used in select cases.",NO
What chemotherapy regimen is recommended for stage III-IVA nasopharyngeal carcinoma (NPC) during induction?,"Platinum-based regimens such as GP (gemcitabine and cisplatin) or TPF (docetaxel, cisplatin, 5-fluorouracil) every 3 weeks for 2-3 cycles.",The most commonly recommended induction chemotherapy regimen for stage III-IVA nasopharyngeal carcinoma is Gemcitabine and Cisplatin (GP).,NO
What radiotherapy technique is preferred for stage II-IVA nasopharyngeal carcinoma?,Intensity-modulated radiotherapy (IMRT) with daily image guidance is strongly recommended.,Intensity-Modulated Radiation Therapy (IMRT) is the preferred technique.,NO
What is the role of adjuvant chemotherapy for T3N0 nasopharyngeal carcinoma patients?,"Adjuvant chemotherapy may be offered, typically using a PF regimen.","For T3N0 nasopharyngeal carcinoma, which is locally advanced disease without nodal involvement (Stage III), the role of **adjuvant chemotherapy after concurrent chemoradiotherapy is not clearly established as standard practice**.

Standard treatment typically involves concurrent chemoradiotherapy, often preceded by induction chemotherapy. The evidence supporting a significant benefit of adding *adjuvant* chemotherapy specifically for T3N0 patients is limited and controversial compared to treatment regimens without it.",NO
What is the schedule of radiation recommended for radiotherapy in nasopharyngeal carcinoma?,A dose of 70 Gy in 33-35 fractions (2.0-2.12 Gy per fraction) over 7 weeks is recommended.,"For definitive treatment of non-metastatic nasopharyngeal carcinoma, the standard radiation schedule typically involves Intensity-Modulated Radiation Therapy (IMRT) delivering:

*   A total dose of **66-70 Gy** to the primary tumor and involved lymph nodes.
*   Given in **1.8 to 2.0 Gy fractions** per day.
*   Delivered **daily (5 days per week)**.
*   Over a total duration of approximately **6.5 to 7 weeks**.

Lower doses are typically given to regional lymph node areas at lower risk of involvement. This is often combined with chemotherapy.",YES
What are the treatment options for MET exon 14 skipping mutation-positive NSCLC?,Capmatinib or tepotinib are recommended.,"The primary treatment for NSCLC with a MET exon 14 skipping mutation is targeted therapy using specific **MET inhibitors** (e.g., tepotinib, capmatinib).

Other options like **chemotherapy** and **immunotherapy** may also be considered, often depending on the patient's overall health and disease stage.",YES
What is the guideline for first-line treatment in EGFR exon 20 insertion NSCLC?,Chemotherapy combined with amivantamab,"The preferred first-line targeted therapy for EGFR exon 20 insertion NSCLC is **Amivantamab**. Platinum-doublet chemotherapy is also a standard option, often used in combination with Amivantamab or as an alternative.",YES
What is the recommended first-line treatment for stage IV NSCLC with EGFR exon 19 deletion mutation?,Osimertinib is recommended as the first-line treatment,"The recommended first-line treatment is an EGFR tyrosine kinase inhibitor (TKI), with osimertinib being the preferred agent.",YES
How should patients with stage IV NSCLC and EGFR mutation progress after osimertinib treatment?,"Platinum-based chemotherapy, with or without amivantamab","Following progression on osimertinib, treatment decisions are individualized but commonly include:

1.  **Platinum-based chemotherapy**, often combined with an anti-angiogenic agent (like bevacizumab).
2.  **Participation in clinical trials** evaluating novel agents or combinations.
3.  **Local therapy** (e.g., radiation) for isolated sites of progression.
4.  **Re-biopsy** is often recommended to identify resistance mechanisms that might guide further targeted therapy (though targeted options post-osimertinib for common resistance mechanisms are limited outside trials).",NO
What is the first line treatment for stage IV NSCLC with ROS1 fusion mutation?,"First-line treatment includes repotrectinib, entrectinib, or crizotinib.","The first-line treatment is a **ROS1 tyrosine kinase inhibitor (TKI)**, such as crizotinib, entrectinib, or lorlatinib.",YES
What is the benefit of amivantamab plus lazertinib over osmiertinib alone in untreated EGFR mutation-positive stage IV NSCLC?,Amivantamab plus lazertinib showed a median PFS of 23.7 months compared to 16.6 months with osimertinib alone.,The primary benefit demonstrated is **significantly improved progression-free survival (PFS)** compared to osimertinib alone. It also showed better control of brain metastases.,NO
Should anti-PD-L1 be used for second-line therapy for EGFR mutation-positive NSCLC without targetable alterations?,Anti-PD-(L)1 agents are not recommended,"No, single-agent anti-PD-L1 is generally not recommended as standard second-line therapy for EGFR mutation-positive NSCLC after EGFR TKI failure due to low efficacy. Chemotherapy is the preferred option.",YES
How should osimertinib be administered with chemotherapy for advanced EGFR-mutated NSCLC?,Osimertinib plus platinum-based chemotherapy with maintenance pemetrexed is recommended for certain patients.,"Osimertinib 80 mg should be taken orally once daily, administered concurrently with the chemotherapy cycles (typically platinum-based plus pemetrexed) and continued daily throughout the chemotherapy treatment and subsequent maintenance phase.",NO
What is the treatment recommendation for ROS1-positive NSCLC after progression on crizotinib?,Patients may be offered lorlatinib as a second-line treatment.,"After progression on crizotinib for ROS1-positive NSCLC, the recommended treatment is typically a different, next-generation ROS1 inhibitor.

Common options include:
*   **Lorlatinib**
*   **Repotrectinib**
*   **Entrectinib**

The choice may depend on specific resistance mutations and clinical factors. Clinical trials are also an option.",YES
What is the efficacy of atezolizumab plus bevacizumab and chemotherapy in EGFR-mutated NSCLC?,"In the ATTLAS trial, this combination showed a median PFS of 8.48 months compared to 5.62 months with chemotherapy alone.","Based on the IMpower150 trial, atezolizumab plus bevacizumab and chemotherapy showed improved progression-free survival and overall survival compared to chemotherapy plus bevacizumab alone in a subgroup of patients with untreated EGFR-mutated NSCLC. However, EGFR TKIs remain the standard first-line treatment.",NO
