question,expected_answer,oai_answer,oai_match
"What are the therapy options for hormone receptor-positive, HER2-negative metastatic breast cancer with PIK3CA mutations?",Endocrine therapy combined with alpelisib,"For hormone receptor-positive, HER2-negative metastatic breast cancer with PIK3CA mutations, therapy options include endocrine therapy combined with **alpelisib** (a PI3K inhibitor) and a selective estrogen receptor degrader (e.g., fulvestrant).",YES
"How effective is elacestrant for ESR1 wild-type tumors in hormone receptor-positive, HER2-negative metastatic breast cancer?","Elacestrant is not significantly more effective than standard endocrine therapy for ESR1 wild-type tumors, as demonstrated in the EMERALD trial.","Elacestrant is less effective for ESR1 wild-type tumors compared to ESR1-mutated tumors in hormone receptor-positive, HER2-negative metastatic breast cancer, with clinical trials showing limited benefit in this subgroup.",NO
"For HER2-negative metastatic breast cancer refractory to endocrine therapy, should single-agent chemotherapy or sacituzumab govitecan be offered?","Single-agent chemotherapy is preferred, starting with agents like capecitabine or eribulin","Sacituzumab govitecan is generally preferred for HER2-negative metastatic breast cancer refractory to endocrine therapy, particularly in triple-negative cases, due to its demonstrated efficacy in improving progression-free and overall survival compared to single-agent chemotherapy.",NO
"In hormone receptor-positive, HER2-negative metastatic breast cancer, when should ctDNA testing be performed?","ctDNA testing is recommended at recurrence or progression on endocrine therapy, as ESR1 mutations often emerge under treatment pressure.","In hormone receptor-positive, HER2-negative metastatic breast cancer, ctDNA testing can be performed at diagnosis of metastatic disease to assess tumor burden, monitor treatment response, and detect resistance mutations, or during treatment to guide therapy adjustments.",NO
"What is the recommendation for premenopausal women with node-positive, ER-positive, HER2-negative breast cancer?",Oncotype DX should not be used to guide chemotherapy decisions for premenopausal women with node-positive disease.,"Premenopausal women with node-positive, ER-positive, HER2-negative breast cancer are typically recommended to receive chemotherapy followed by endocrine therapy, which may include ovarian suppression combined with tamoxifen or an aromatase inhibitor, depending on individual risk factors and preferences.",NO
When can the Breast Cancer Index (BCI) test be offered for extended endocrine therapy decisions?,The BCI test may be offered to patients with 0-3 positive nodes who completed 5 years of endocrine therapy without recurrence.,"The Breast Cancer Index (BCI) test can be offered to postmenopausal women with early-stage, hormone receptor-positive (HR+), lymph node-negative, or limited lymph node-positive breast cancer to help guide decisions about extending endocrine therapy beyond 5 years.",NO
What are the benefits of adjuvant bisphosphonate therapy in postmenopausal breast cancer patients?,Adjuvant bisphosphonates improve overall survival modestly and reduce risks of bone recurrence and fracture rates.,"Adjuvant bisphosphonate therapy in postmenopausal breast cancer patients reduces the risk of bone metastases, improves overall survival, and decreases the incidence of fractures by strengthening bone health.",NO
"Which bisphosphonates are recommended for adjuvant therapy, and what are the doses?","Recommended options include oral clodronate (1,600 mg daily for 2-3 years), oral ibandronate (50 mg daily for 3 years), and zoledronic acid (4 mg every 6 months for 3 years).","For adjuvant therapy in postmenopausal women with breast cancer, the recommended bisphosphonates are:

1. **Zoledronic acid**: 4 mg IV every 6 months for 3–5 years.  
2. **Ibandronate**: 150 mg orally monthly or 3 mg IV every 3 months for 3–5 years.  
3. **Clodronate**: 1600 mg orally daily for 2–3 years.  

These are used to reduce the risk of bone metastases and improve survival. Always confirm dosing with clinical guidelines.",YES
Should adjuvant denosumab be used to prevent recurrence in breast cancer?,Denosumab is not recommended as it does not consistently reduce recurrence rates.,"Adjuvant denosumab may help reduce the risk of recurrence in postmenopausal breast cancer patients with hormone receptor-positive disease, as shown in some studies. However, its routine use is not yet standard and should be considered on a case-by-case basis, guided by clinical judgment and current guidelines.",NO
What is the recommendation for testing for ESR1 mutations in metastatic breast cancer?,Routine ESR1 mutation testing is not recommended,"Testing for **ESR1 mutations** is recommended in patients with **metastatic hormone receptor-positive, HER2-negative breast cancer** who have progressed on prior endocrine therapy, as it can guide treatment decisions, particularly the use of selective estrogen receptor degraders (SERDs).",NO
What biomarker testing is advised for metastatic HER2-negative breast cancer with immune checkpoint inhibitor candidates?,Testing for PD-L1 expression in tumor and immune cells is recommended to determine eligibility for pembrolizumab plus chemotherapy.,"PD-L1 testing is advised for metastatic HER2-negative breast cancer to identify candidates for immune checkpoint inhibitor therapy, such as atezolizumab or pembrolizumab.",NO
Should circulating tumor DNA (ctDNA) be routinely used to monitor therapy response in metastatic breast cancer?,Routine use of ctDNA for monitoring therapy response is not recommended due to insufficient data.,"Currently, circulating tumor DNA (ctDNA) shows promise for monitoring therapy response in metastatic breast cancer, but it is not yet recommended for routine use due to the need for further validation, standardization, and evidence from clinical trials.",YES
Can adjuvant pembrolizumab be administered with radiation therapy?,Adjuvant pembrolizumab can be given concurrently with or after completion of radiation therapy.,"Adjuvant pembrolizumab is not typically administered concurrently with radiation therapy, as its safety and efficacy in combination with radiation have not been well established. Always consult clinical guidelines and a healthcare professional for specific treatment decisions.",NO
How many years of abemaciclib should be used in combination with endocrine therapy in high-risk early-stage breast cancer?,"Two years of abemaciclib (150 mg twice daily) with endocrine therapy for ≥5 years may be offered to patients with high-risk hormone receptor-positive, HER2-negative early-stage breast cancer.",Abemaciclib should be used for **2 years** in combination with endocrine therapy in high-risk early-stage breast cancer.,YES
What are the criteria for high-risk early breast cancer suitable for abemaciclib treatment?,"Criteria include ≥4 positive axillary lymph nodes or 1-3 positive nodes with tumor size ≥5 cm, histologic grade 3, or Ki-67 ≥20%.","High-risk early breast cancer suitable for abemaciclib treatment includes hormone receptor-positive, HER2-negative breast cancer with:  
1. Node-positive disease (≥4 positive axillary lymph nodes or 1-3 nodes with additional high-risk features like tumor size ≥5 cm or histologic grade 3).  
2. A Ki-67 proliferation index ≥20%.",YES
Is the use of abemaciclib restricted to patients with a high Ki-67 score?,Abemaciclib is recommended for broader patient populations at high risk of recurrence regardless of Ki-67 status.,"No, the use of abemaciclib is not strictly restricted to patients with a high Ki-67 score, but in certain settings, such as early breast cancer, it is approved for patients with high-risk features, including a high Ki-67 score. Its use depends on the specific indication and clinical context.",NO
What is the role of olaparib in early-stage HER2-negative breast cancer with germline BRCA mutations?,Olaparib is recommended for one year after (neo)adjuvant chemotherapy and local treatment in high-risk early-stage HER2-negative breast cancer with BRCA mutations.,"Olaparib is used as an adjuvant therapy in early-stage HER2-negative breast cancer with germline BRCA mutations to reduce the risk of cancer recurrence by targeting and inhibiting the PARP enzyme, which is critical for DNA repair in BRCA-mutated cells.",NO
What clinical criteria define high-risk patients eligible for olaparib?,"Eligibility includes triple-negative tumors >2 cm or node involvement, or hormone receptor-positive disease with ≥4 involved lymph nodes or a CPS-EG score ≥3.","High-risk patients eligible for olaparib typically include those with **BRCA1/2 mutations** (germline or somatic) and certain cancers (e.g., ovarian, breast, pancreatic, or prostate) who have a high risk of recurrence or progression, often after prior chemotherapy or other standard treatments. Specific eligibility depends on cancer type and treatment guidelines.",NO
What are the main findings from the OlympiA trial regarding olaparib?,The OlympiA trial demonstrated improved invasive and distant disease-free survival with olaparib compared to placebo.,"The OlympiA trial found that adjuvant olaparib significantly improved invasive disease-free survival and overall survival in patients with germline BRCA-mutated, high-risk, HER2-negative early breast cancer after standard treatment, reducing the risk of recurrence or death.",NO
"What is the recommendation for first-line treatment of triple-negative, PD-L1-positive metastatic breast cancer?",The addition of immune checkpoint inhibitors (atezolizumab or pembrolizumab) to chemotherapy is recommended.,"The first-line treatment recommendation for triple-negative, PD-L1-positive metastatic breast cancer is **atezolizumab (anti-PD-L1) in combination with nab-paclitaxel**, based on the IMpassion130 trial.",YES
"What is the preferred treatment for triple-negative, PD-L1-negative metastatic breast cancer?",Single-agent chemotherapy is preferred,"The preferred treatment for triple-negative, PD-L1-negative metastatic breast cancer is chemotherapy, typically using agents such as taxanes, anthracyclines, or platinum-based drugs, depending on prior treatments and patient factors.",YES
"What therapies are recommended for HR-positive HER2-negative metastatic breast cancer with BRCA mutations, who have progressed on endocine therapy?",Oral PARP inhibitors (olaparib or talazoparib) are recommended ,"For HR-positive, HER2-negative metastatic breast cancer with BRCA mutations that has progressed on endocrine therapy, PARP inhibitors (e.g., olaparib or talazoparib) are recommended as a targeted therapy option.",YES
"For patients with  HR-positive, HER2-negative who develop recurrence within one year of adjuvant AI therapy, what is the recommended in replacment of AI?",Fulvestrant or CDK4/6 inhibitors should be offered,"For HR-positive, HER2-negative patients who develop recurrence within one year of adjuvant AI therapy, a selective estrogen receptor degrader (SERD) like fulvestrant or a combination of fulvestrant with a CDK4/6 inhibitor (e.g., palbociclib, ribociclib, or abemaciclib) is recommended.",YES
"When is sentinel lymph node biopsy not required for patients with early-stage hormone receptor-positive, HER2-negative invasive breast cancer?",Sentinel lymph node biopsy is not required for clinically node-negative women aged ≥70 years who will receive hormonal therapy.,"Sentinel lymph node biopsy may not be required for patients with early-stage hormone receptor-positive, HER2-negative invasive breast cancer if they are older, have significant comorbidities, or if the results would not alter treatment decisions, such as in cases where systemic therapy is already planned regardless of nodal status.",NO
How should axillary treatment be approached for patients undergoing mastectomy with 1-2 positive sentinel nodes?,"Postmastectomy radiation to the axilla is recommended, and axillary lymph node dissection can be safely omitted.","For patients undergoing mastectomy with 1-2 positive sentinel nodes, axillary treatment should be individualized. Axillary lymph node dissection (ALND) may be considered, but radiation therapy to the axilla can be an alternative to reduce morbidity, particularly in cases where systemic therapy is planned. Multidisciplinary evaluation is essential.",NO
What are the recommendations for radiotherapy after neoadjuvant chemotherapy in node-positive early-stage breast cancer?,Locoregional nodal irradiation is recommended,"For node-positive early-stage breast cancer after neoadjuvant chemotherapy, radiotherapy is generally recommended to the chest wall and regional lymph nodes (e.g., axillary, supraclavicular, and internal mammary nodes) to reduce the risk of recurrence, regardless of the extent of nodal response. Final decisions should be individualized based on tumor characteristics, response to treatment, and multidisciplinary team input.",YES
"What is the recommended neoadjuvant therapy for HER2-positive, node-positive breast cancer?",Patients should receive neoadjuvant therapy with an anthracycline and taxane-based regimen in combination with trastuzumab and pertuzumab.,"The recommended neoadjuvant therapy for HER2-positive, node-positive breast cancer typically includes a combination of chemotherapy (such as taxanes and/or anthracyclines) with dual HER2-targeted therapy using trastuzumab and pertuzumab.",YES
"How should neoadjuvant endocrine therapy be used in HR-positive, HER2-negative early-stage breast cancer?","For postmenopausal patients, neoadjuvant endocrine therapy with an aromatase inhibitor may be offered to increase surgical options.","Neoadjuvant endocrine therapy can be used in HR-positive, HER2-negative early-stage breast cancer to downstage tumors, particularly in postmenopausal women or patients unfit for chemotherapy. It is typically administered for 4-6 months using agents like aromatase inhibitors, with response monitored to guide surgical planning.",YES
What is the recommendation for first-line therapy for esophageal SCC with PD-L1 TPS≥1%?,Administer nivolumab plus fluoropyrimidine- and platinum-based chemotherapy.,The recommendation for first-line therapy for esophageal squamous cell carcinoma (SCC) with PD-L1 TPS ≥1% is **nivolumab in combination with chemotherapy**.,YES
When is ramucirumab plus paclitaxel recommended?,For advanced gastroesophageal cancer patients progressing after first-line therapy.,Ramucirumab plus paclitaxel is recommended for the treatment of advanced or metastatic gastric or gastroesophageal junction adenocarcinoma after disease progression following prior fluoropyrimidine- or platinum-containing chemotherapy.,NO
What is recommended for HER2-positive gastric cancer patients after progression on first-line therapy?,Trastuzumab deruxtecan is recommended.,"For HER2-positive gastric cancer patients after progression on first-line therapy, it is recommended to consider second-line treatment with trastuzumab deruxtecan, an antibody-drug conjugate, based on clinical guidelines and patient eligibility.",YES
Should adjuvant chemotherapy be recommended for stage II colon cancer patients with dMMR/MSI tumors?,Adjuvant fluoropyrimidine-only chemotherapy is not recommended.,"Adjuvant chemotherapy is generally not recommended for stage II colon cancer patients with dMMR/MSI tumors, as these tumors have a better prognosis and do not typically benefit from such treatment.",YES
Should adjuvant chemotherapy be offered for low-risk stage II colon cancer patients?,ACT is not routinely recommended.,"Adjuvant chemotherapy is generally not recommended for most low-risk stage II colon cancer patients, as the potential benefits are minimal. However, decisions should be individualized based on specific risk factors and patient preferences.",YES
What is the duration of oxaliplatin-based chemotherapy for high-risk stage II colon cancer?,"3 or 6 months, decided based on patient preference and potential for adverse events.","The duration of oxaliplatin-based chemotherapy for high-risk stage II colon cancer is typically **3 to 6 months**, depending on the specific regimen and patient factors.",NO
What chemotherapy is recommended as radiosensitizer for stage I-III anal SCC?,Mitomycin-C with fluorouracil (FU) or capecitabine.,Mitomycin C and 5-fluorouracil (5-FU) are commonly recommended as radiosensitizers for stage I-III anal squamous cell carcinoma (SCC).,YES
How should patients with BRAF V600E-mutant mCRC receive after prior chemotherapy?,Encorafenib plus cetuximab is recommended.,"Patients with BRAF V600E-mutant metastatic colorectal cancer (mCRC) who have progressed after prior chemotherapy should be treated with the combination of encorafenib (a BRAF inhibitor) and cetuximab (an anti-EGFR antibody), as recommended by current guidelines.",YES
Should anti-EGFR be added as the first-line therapy for RAS mutatnt left-sided mCRC?,"No,  anti-EGFR is added for RAS wild type left-sided mCRC","No, anti-EGFR therapy should not be added as first-line treatment for RAS-mutant left-sided metastatic colorectal cancer (mCRC) because RAS mutations predict resistance to anti-EGFR therapy.",NO
When is stereotactic body radiation therapy recommended for liver oligometastases in mCRC?,It may be recommended after systemic therapy if resection is not feasible.,"Stereotactic body radiation therapy (SBRT) is recommended for liver oligometastases in metastatic colorectal cancer (mCRC) when patients are not candidates for surgical resection or ablation, and the disease is limited to a few liver metastases (typically ≤5), with adequate liver function and controlled primary disease.",NO
How long is the healing period from dental procedure before radiation therapy for head and neck cancer patients to prevent osteoradionecrosis (ORN)?,Ensure at least a 2-week healing period when possible.,"The healing period is typically **10-14 days to 3 weeks** after a dental procedure before starting radiation therapy to reduce the risk of osteoradionecrosis (ORN), but this may vary based on individual factors and the extent of the procedure. Always follow the guidance of the healthcare team.",NO
What are the surgical recommendations for advanced-stage ORN in head and neck cancer patients?,"For advanced ORN, surgical debridement or resection with vascularized bone reconstruction is recommended to restore function and manage complications.","For advanced-stage osteoradionecrosis (ORN) in head and neck cancer patients, surgical recommendations typically include segmental resection of the necrotic bone and reconstruction using vascularized free flaps, such as fibula or scapular flaps, to restore function and structure.",YES
Should immunotherapy single agent be initiated in metastatic head and neck squamous cell carcinoma (HNSCC) with PD-L1 < 1?,"No, combination therapy is preferred for CPS <1.","In metastatic HNSCC with PD-L1 < 1, single-agent immunotherapy (e.g., pembrolizumab) is generally not recommended due to limited efficacy. Combination therapy with chemotherapy may be more appropriate in this setting.",YES
What are the guidelines for immunotherapy in platinum-refractory recurrent or metastatic HNSCC?,Pembrolizumab or nivolumab should be offered to patients regardless of PD-L1 CPS status.,"For platinum-refractory recurrent or metastatic head and neck squamous cell carcinoma (HNSCC), immunotherapy with immune checkpoint inhibitors like pembrolizumab (anti-PD-1) or nivolumab (anti-PD-1) is recommended. Nivolumab is approved regardless of PD-L1 expression, while pembrolizumab is typically used in patients with PD-L1-positive tumors (CPS ≥1). These therapies are considered after progression on or intolerance to platinum-based chemotherapy.",NO
What is the recommendation for PD-L1 biomarker testing in recurrent/metastatic HNSCC?,"PD-L1 immunohistochemistry testing is recommended, and a CPS ≥1 is considered positive for PD-1 inhibitor therapy.","PD-L1 biomarker testing is recommended in recurrent/metastatic head and neck squamous cell carcinoma (HNSCC) to guide the use of immune checkpoint inhibitors, such as pembrolizumab, as its expression (measured by CPS) helps determine eligibility and potential benefit from therapy.",YES
Can radiation therapy be integrated with immunotherapy for recurrent HNSCC?,Radiation therapy may be safely administered concurrently with immunotherapy for palliative or local control in oligometastatic settings,"Yes, radiation therapy can be integrated with immunotherapy for recurrent head and neck squamous cell carcinoma (HNSCC), as the combination may enhance anti-tumor immune responses and improve outcomes, though clinical trials are ongoing to optimize efficacy and safety.",NO
What are the PARP inhibitor recommendations for newly diagnosed advanced ovarian cancer responding to platinum-based chemotherapy?,"PARP inhibitors are recommended as maintenance therapy for BRCA-mutated or HRD-positive patients, with varying regimens based on genetic status.","PARP inhibitors, such as olaparib, niraparib, or a combination of olaparib and bevacizumab, are recommended as maintenance therapy for newly diagnosed advanced ovarian cancer patients who respond to platinum-based chemotherapy. The choice depends on BRCA mutation status, homologous recombination deficiency (HRD) status, and individual patient factors.",YES
What is the effect of PARP inhibitors on patients' overall survival in recurrent ovarian cancer without BRCA-mutation or HRD-positivity?,Evidence suggests potential overall survival detriments in later-line treatments with PARP inhibitors,PARP inhibitors have shown limited to no significant improvement in overall survival for patients with recurrent ovarian cancer who lack BRCA mutations or homologous recombination deficiency (HRD) positivity.,NO
What is the effect of PARP inhibitors on patients' progression-free survival in recurrent ovarian cancer without BRCA-mutation or HRD-positivity?,PARP inhibitors demonstrated progression-free survival benefits,PARP inhibitors provide limited to no significant improvement in progression-free survival for patients with recurrent ovarian cancer who lack BRCA mutations or homologous recombination deficiency (HRD) positivity.,NO
What surgical approach is recommended for T3-T4 parotid cancers with high-grade malignancy?,"At least a superficial parotidectomy, with consideration of total or subtotal parotidectomy.",A total parotidectomy with possible resection of involved surrounding structures and neck dissection is recommended for T3-T4 high-grade parotid cancers.,NO
What is the recommended follow-up imaging schedule for high-grade salivary gland cancers post-treatment?,"Baseline imaging at 3 months, every 6-12 months for the first 2 years, and symptom-directed imaging from years 3-5. Yearly chest CT may be considered for high-grade cases.","The recommended follow-up imaging schedule for high-grade salivary gland cancers post-treatment typically includes imaging every 3–6 months for the first 2 years, then every 6–12 months for the next 3 years, and as clinically indicated thereafter.",NO
What chemotherapy regimen is recommended for stage III-IVA nasopharyngeal carcinoma (NPC) during induction?,"Platinum-based regimens such as GP (gemcitabine and cisplatin) or TPF (docetaxel, cisplatin, 5-fluorouracil) every 3 weeks for 2-3 cycles.","For stage III-IVA nasopharyngeal carcinoma (NPC), a commonly recommended induction chemotherapy regimen is **cisplatin-based chemotherapy**, often combined with drugs like **gemcitabine** or **5-fluorouracil**.",YES
What radiotherapy technique is preferred for stage II-IVA nasopharyngeal carcinoma?,Intensity-modulated radiotherapy (IMRT) with daily image guidance is strongly recommended.,Intensity-modulated radiotherapy (IMRT) is the preferred technique for stage II-IVA nasopharyngeal carcinoma due to its precision and ability to spare surrounding healthy tissues.,NO
What is the role of adjuvant chemotherapy for T3N0 nasopharyngeal carcinoma patients?,"Adjuvant chemotherapy may be offered, typically using a PF regimen.","Adjuvant chemotherapy is not routinely recommended for T3N0 nasopharyngeal carcinoma patients, as concurrent chemoradiotherapy alone is typically sufficient for locoregional control and survival, with limited evidence supporting additional benefit from adjuvant chemotherapy in this subgroup.",NO
What is the schedule of radiation recommended for radiotherapy in nasopharyngeal carcinoma?,A dose of 70 Gy in 33-35 fractions (2.0-2.12 Gy per fraction) over 7 weeks is recommended.,"The typical radiation schedule for nasopharyngeal carcinoma involves **70 Gy** delivered in **35 fractions** over **7 weeks** (2 Gy per fraction), often combined with concurrent chemotherapy for advanced stages.",YES
What are the treatment options for MET exon 14 skipping mutation-positive NSCLC?,Capmatinib or tepotinib are recommended.,"Treatment options for MET exon 14 skipping mutation-positive non-small cell lung cancer (NSCLC) include targeted therapies such as **capmatinib** and **tepotinib**, which are MET inhibitors. Other options may include clinical trials or chemotherapy if targeted therapies are not suitable.",YES
What is the guideline for first-line treatment in EGFR exon 20 insertion NSCLC?,Chemotherapy combined with amivantamab,"The first-line treatment guideline for EGFR exon 20 insertion non-small cell lung cancer (NSCLC) typically involves platinum-based chemotherapy, as EGFR exon 20 insertions are generally resistant to first- and second-generation EGFR TKIs. Targeted therapies like amivantamab or mobocertinib may be considered in later lines of treatment. Always refer to the latest clinical guidelines for updates.",NO
What is the recommended first-line treatment for stage IV NSCLC with EGFR exon 19 deletion mutation?,Osimertinib is recommended as the first-line treatment,"The recommended first-line treatment for stage IV NSCLC with an EGFR exon 19 deletion mutation is an EGFR tyrosine kinase inhibitor (TKI), such as osimertinib.",YES
How should patients with stage IV NSCLC and EGFR mutation progress after osimertinib treatment?,"Platinum-based chemotherapy, with or without amivantamab","Patients with stage IV NSCLC and EGFR mutation who progress after osimertinib treatment should undergo repeat molecular testing (e.g., liquid or tissue biopsy) to identify resistance mechanisms. Treatment options depend on the findings and may include targeted therapies for specific mutations (e.g., MET amplification, C797S mutation), chemotherapy, or clinical trial enrollment.",NO
What is the first line treatment for stage IV NSCLC with ROS1 fusion mutation?,"First-line treatment includes repotrectinib, entrectinib, or crizotinib.",The first-line treatment for stage IV non-small cell lung cancer (NSCLC) with a ROS1 fusion mutation is **crizotinib**.,NO
What is the benefit of amivantamab plus lazertinib over osmiertinib alone in untreated EGFR mutation-positive stage IV NSCLC?,Amivantamab plus lazertinib showed a median PFS of 23.7 months compared to 16.6 months with osimertinib alone.,"The combination of amivantamab plus lazertinib has shown improved progression-free survival compared to osimertinib alone in untreated EGFR mutation-positive stage IV NSCLC, as demonstrated in clinical trials like MARIPOSA.",YES
Should anti-PD-L1 be used for second-line therapy for EGFR mutation-positive NSCLC without targetable alterations?,Anti-PD-(L)1 agents are not recommended,"Anti-PD-L1 therapy is generally not recommended as second-line treatment for EGFR mutation-positive NSCLC without targetable alterations, as these patients typically have limited benefit from immune checkpoint inhibitors. Alternative therapies, such as chemotherapy, are preferred.",YES
How should osimertinib be administered with chemotherapy for advanced EGFR-mutated NSCLC?,Osimertinib plus platinum-based chemotherapy with maintenance pemetrexed is recommended for certain patients.,"Osimertinib is typically administered orally at 80 mg once daily, and it can be combined with chemotherapy (e.g., platinum-based doublets) for advanced EGFR-mutated NSCLC. The specific chemotherapy regimen and schedule should follow standard protocols, and treatment should be guided by a healthcare professional based on the patient's condition.",NO
What is the treatment recommendation for ROS1-positive NSCLC after progression on crizotinib?,Patients may be offered lorlatinib as a second-line treatment.,"The treatment recommendation for ROS1-positive NSCLC after progression on crizotinib is usually lorlatinib, which has shown efficacy in this setting.",YES
What is the efficacy of atezolizumab plus bevacizumab and chemotherapy in EGFR-mutated NSCLC?,"In the ATTLAS trial, this combination showed a median PFS of 8.48 months compared to 5.62 months with chemotherapy alone.","The combination of atezolizumab, bevacizumab, and chemotherapy has shown limited efficacy in EGFR-mutated non-small cell lung cancer (NSCLC) compared to targeted EGFR tyrosine kinase inhibitors (TKIs), which remain the standard of care for this population.",NO
What are the recommendations for 1st line therapy in patients with MET exon 14 skipping mutations?,Capmatinib or tepotinib are recommended as first-line therapies.,"For patients with MET exon 14 skipping mutations, first-line therapy recommendations include MET tyrosine kinase inhibitors (TKIs) such as **capmatinib** or **tepotinib**, as they are specifically approved for this mutation.",YES
What is the treatment for KRAS G12C-mutated NSCLC as 1st line therapy?,Chemotherapy,"As of now, the standard first-line treatment for KRAS G12C-mutated non-small cell lung cancer (NSCLC) typically involves immune checkpoint inhibitors (e.g., pembrolizumab) with or without chemotherapy, depending on PD-L1 expression and other clinical factors. Direct KRAS G12C inhibitors like sotorasib or adagrasib are generally used in later lines of therapy.",NO
What is the recommendation for RET rearrangement-positive NSCLC as 1st line therapy?,Selpercatinib or pralsetinib are recommended as first-line therapies.,"The recommended first-line therapy for RET rearrangement-positive non-small cell lung cancer (NSCLC) is a selective RET inhibitor, such as **pralsetinib** or **selpercatinib**, based on their efficacy and safety profiles.",YES
How should clinicians manage EGFR T790M resistance alterations in advanced NSCLC?,Osimertinib is the recommended treatment for EGFR T790M resistance alterations.,"Clinicians should manage EGFR T790M resistance alterations in advanced NSCLC by using third-generation EGFR tyrosine kinase inhibitors (TKIs), such as osimertinib, which are specifically designed to target this mutation.",YES
