question,expected_answer,DeepSeek-R1_answer,DeepSeek-R1_match
"How effective is elacestrant for ESR1 wild-type tumors in hormone receptor-positive, HER2-negative metastatic breast cancer?","Elacestrant is not significantly more effective than standard endocrine therapy for ESR1 wild-type tumors, as demonstrated in the EMERALD trial.","Elacestrant shows **limited effectiveness** in **ESR1 wild-type tumors** compared to ESR1-mutated tumors in hormone receptor-positive, HER2-negative metastatic breast cancer. In the EMERALD phase 3 trial, while elacestrant significantly improved progression-free survival (PFS) in patients with ESR1 mutations, the benefit in the ESR1 wild-type subgroup was **modest and not statistically significant**. Thus, its primary clinical utility is more pronounced in ESR1-mutated cases.",YES
"For HER2-negative metastatic breast cancer refractory to endocrine therapy, should single-agent chemotherapy or sacituzumab govitecan be offered?","Single-agent chemotherapy is preferred, starting with agents like capecitabine or eribulin","Sacituzumab govitecan is preferred over single-agent chemotherapy for HER2-negative metastatic breast cancer refractory to endocrine therapy **in patients who have received prior chemotherapy** (e.g., ≥2 lines), based on improved progression-free and overall survival in trials like TROPiCS-02. If no prior chemotherapy, single-agent chemotherapy remains the initial option.",NO
"In hormone receptor-positive, HER2-negative metastatic breast cancer, when should ctDNA testing be performed?","ctDNA testing is recommended at recurrence or progression on endocrine therapy, as ESR1 mutations often emerge under treatment pressure.","ctDNA testing in hormone receptor-positive, HER2-negative metastatic breast cancer is recommended **at disease progression** to detect resistance mutations (e.g., *ESR1*, *PIK3CA*) when tissue biopsy is unavailable or impractical. This helps guide targeted therapy selection (e.g., elacestrant for *ESR1* mutations, alpelisib for *PIK3CA*). It is not a first-line replacement for tissue biopsy but serves as a less invasive alternative in advanced settings.",YES
"What is the recommendation for premenopausal women with node-positive, ER-positive, HER2-negative breast cancer?",Oncotype DX should not be used to guide chemotherapy decisions for premenopausal women with node-positive disease.,"For premenopausal women with node-positive, ER-positive, HER2-negative breast cancer, the recommendation is **adjuvant endocrine therapy with ovarian function suppression (OFS)** combined with either an aromatase inhibitor (preferred) or tamoxifen, plus **adjuvant chemotherapy** based on tumor biology and risk assessment (e.g., high recurrence score). Treatment duration is typically 5–10 years, with longer durations considered for higher-risk cases. This approach aligns with guidelines from studies like TEXT/SOFT and organizations such as NCCN/ASCO.",NO
When can the Breast Cancer Index (BCI) test be offered for extended endocrine therapy decisions?,The BCI test may be offered to patients with 0-3 positive nodes who completed 5 years of endocrine therapy without recurrence.,"The Breast Cancer Index (BCI) test can be offered to **postmenopausal women with hormone receptor-positive (HR+), HER2-negative, early-stage breast cancer** who have completed **5 years of endocrine therapy without recurrence**, to assess the risk of late distant metastasis and predict benefit from extending endocrine therapy to 10 years. It aids in personalized decision-making for extended therapy.",NO
What are the benefits of adjuvant bisphosphonate therapy in postmenopausal breast cancer patients?,Adjuvant bisphosphonates improve overall survival modestly and reduce risks of bone recurrence and fracture rates.,"Adjuvant bisphosphonate therapy in postmenopausal breast cancer patients reduces bone recurrence, improves disease-free and overall survival (particularly in postmenopausal women, as shown in meta-analyses like EBCTCG), and prevents treatment-related bone loss (e.g., from aromatase inhibitors), lowering fracture risk. Benefits are attributed to inhibiting bone resorption and creating a hostile microenvironment for metastatic cells.",YES
"Which bisphosphonates are recommended for adjuvant therapy, and what are the doses?","Recommended options include oral clodronate (1,600 mg daily for 2-3 years), oral ibandronate (50 mg daily for 3 years), and zoledronic acid (4 mg every 6 months for 3 years).","**Recommended bisphosphonates for adjuvant therapy (e.g., in postmenopausal breast cancer to reduce recurrence/bone metastases):**  
- **Zoledronic acid**: 4 mg IV every 6 months.  
- **Clodronate**: 1600 mg orally daily.  

*Note: Use is typically on menopausal (natural or induced) patients, based on guidelines like ASCO/ESMO.*",NO
Should adjuvant denosumab be used to prevent recurrence in breast cancer?,Denosumab is not recommended as it does not consistently reduce recurrence rates.,"Adjuvant denosumab is not currently recommended to prevent breast cancer recurrence. While preclinical data suggested potential anti-tumor effects, the phase III D-CARE trial showed no significant improvement in disease-free survival in early breast cancer patients. Guidelines (e.g., ASCO, ESMO) do not endorse its use for recurrence prevention outside of clinical trials. Denosumab remains indicated for bone health (e.g., osteoporosis prevention in aromatase inhibitor-treated patients), not cancer outcomes.",YES
What is the recommendation for testing for ESR1 mutations in metastatic breast cancer?,Routine ESR1 mutation testing is not recommended,"The recommendation is to test for ESR1 mutations via liquid biopsy (circulating tumor DNA) in patients with ER-positive, HER2-negative metastatic breast cancer who have progressed on prior endocrine therapy (e.g., aromatase inhibitors). This helps guide treatment selection, such as using elacestrant or other targeted therapies. Tissue biopsy may be considered if liquid biopsy is negative. ASCO and ESMO endorse this approach to inform therapy decisions.",NO
What biomarker testing is advised for metastatic HER2-negative breast cancer with immune checkpoint inhibitor candidates?,Testing for PD-L1 expression in tumor and immune cells is recommended to determine eligibility for pembrolizumab plus chemotherapy.,"For metastatic HER2-negative breast cancer, particularly triple-negative subtype, **PD-L1 testing (using Combined Positive Score [CPS] ≥10)** is the primary biomarker advised to identify candidates for immune checkpoint inhibitors (e.g., pembrolizumab with chemotherapy). **Tumor mutational burden (TMB-H)** and **microsatellite instability (MSI-H)/mismatch repair deficiency (dMMR)** may be considered in select cases but are less routinely used. PD-L1 remains the key biomarker in this context.",YES
Should circulating tumor DNA (ctDNA) be routinely used to monitor therapy response in metastatic breast cancer?,Routine use of ctDNA for monitoring therapy response is not recommended due to insufficient data.,"Currently, ctDNA shows promise for monitoring therapy response in metastatic breast cancer due to its ability to detect tumor dynamics and resistance mutations non-invasively in real time. However, routine clinical use is not yet standard due to limitations in assay standardization, variable sensitivity/specificity, and insufficient evidence proving its impact on survival outcomes. It may complement existing methods (e.g., imaging) in select cases, but further validation in trials is needed before widespread adoption.",NO
Can adjuvant pembrolizumab be administered with radiation therapy?,Adjuvant pembrolizumab can be given concurrently with or after completion of radiation therapy.,"Yes, adjuvant pembrolizumab can be administered with radiation therapy. Clinical evidence supports their combined use in certain cancers (e.g., melanoma, head and neck cancers), often sequentially, to enhance immune response and reduce recurrence risk. However, timing and potential synergistic toxicity (e.g., increased inflammation or immune-related adverse events) must be carefully managed. Always follow specific clinical guidelines or trial protocols.",NO
How many years of abemaciclib should be used in combination with endocrine therapy in high-risk early-stage breast cancer?,"Two years of abemaciclib (150 mg twice daily) with endocrine therapy for ≥5 years may be offered to patients with high-risk hormone receptor-positive, HER2-negative early-stage breast cancer.","Abemaciclib should be used for **2 years** in combination with endocrine therapy for high-risk early-stage HR+/HER2- breast cancer, as supported by the MonarchE trial. Endocrine therapy typically continues for 5-10 years.",YES
What are the criteria for high-risk early breast cancer suitable for abemaciclib treatment?,"Criteria include ≥4 positive axillary lymph nodes or 1-3 positive nodes with tumor size ≥5 cm, histologic grade 3, or Ki-67 ≥20%.","High-risk early breast cancer suitable for abemaciclib treatment includes **HR-positive, HER2-negative** patients with:  
- **≥4 positive lymph nodes** or  
- **1-3 positive lymph nodes** plus **additional high-risk features** (tumor size ≥5 cm, grade 3, or Ki-67 ≥20%).  

Abemaciclib is used **adjuvantly** alongside endocrine therapy, typically for 2 years, following surgery and standard chemotherapy if indicated.",YES
Is the use of abemaciclib restricted to patients with a high Ki-67 score?,Abemaciclib is recommended for broader patient populations at high risk of recurrence regardless of Ki-67 status.,"No, the use of abemaciclib is not restricted to patients with a high Ki-67 score. It is approved for HR-positive, HER2-negative advanced or metastatic breast cancer in combination with endocrine therapy, regardless of Ki-67 status. Clinical trials and regulatory approvals do not specify Ki-67 as a criterion for its use.",YES
What is the role of olaparib in early-stage HER2-negative breast cancer with germline BRCA mutations?,Olaparib is recommended for one year after (neo)adjuvant chemotherapy and local treatment in high-risk early-stage HER2-negative breast cancer with BRCA mutations.,"Olaparib, a PARP inhibitor, is used as adjuvant therapy in early-stage HER2-negative breast cancer patients with germline BRCA1/2 mutations who are at high risk of recurrence (e.g., triple-negative or high-risk hormone receptor-positive disease). It targets BRCA-deficient cells via synthetic lethality, improving invasive disease-free and overall survival when administered after surgery and chemotherapy, typically for one year. This approval, based on the OlympiA trial, reduces recurrence risk in this specific population.",YES
What clinical criteria define high-risk patients eligible for olaparib?,"Eligibility includes triple-negative tumors >2 cm or node involvement, or hormone receptor-positive disease with ≥4 involved lymph nodes or a CPS-EG score ≥3.","High-risk patients eligible for olaparib are defined by:  
1. **Germline BRCA1/2 mutations** (key across indications).  
2. **Cancer type and context**:  
   - **Ovarian cancer**: Maintenance after platinum-based chemotherapy (BRCA-mutated or HRD-positive advanced cases).  
   - **Breast cancer**: HER2-negative, high-risk early-stage (e.g., lymph node involvement, residual post-neoadjuvant chemo).  
   - **Prostate/pancreatic cancer**: Metastatic disease with HRR gene alterations (e.g., BRCA mutations).  
3. **Prior treatment**: Response to platinum-based therapy (ovarian) or completion of adjuvant chemotherapy (breast).  

*Criteria vary by specific cancer type and regulatory approval.*",NO
What are the main findings from the OlympiA trial regarding olaparib?,The OlympiA trial demonstrated improved invasive and distant disease-free survival with olaparib compared to placebo.,"The OlympiA trial demonstrated that adjuvant olaparib significantly improved invasive disease-free survival (IDFS) and overall survival (OS) in patients with germline BRCA1/2-mutated, HER2-negative, high-risk early breast cancer after completing standard treatments. Olaparib reduced the risk of recurrence or death by 42% (IDFS) and showed a 32% reduction in mortality risk (OS) compared to placebo, with a manageable safety profile. These findings support olaparib as a standard adjuvant therapy for this specific population.",YES
"What is the recommendation for first-line treatment of triple-negative, PD-L1-positive metastatic breast cancer?",The addition of immune checkpoint inhibitors (atezolizumab or pembrolizumab) to chemotherapy is recommended.,"The first-line recommendation for triple-negative, PD-L1-positive metastatic breast cancer is **chemotherapy (e.g., paclitaxel, nab-paclitaxel, or platinum-based agents) combined with an immune checkpoint inhibitor** such as **pembrolizumab** (if CPS ≥10) or **atezolizumab** (if IC ≥1%). This approach is supported by trials like KEYNOTE-355 and IMpassion130, showing improved outcomes in PD-L1-positive patients.",YES
"What is the preferred treatment for triple-negative, PD-L1-negative metastatic breast cancer?",Single-agent chemotherapy is preferred,"The preferred treatment for triple-negative, PD-L1-negative metastatic breast cancer is **chemotherapy**, typically using agents such as taxanes (e.g., paclitaxel), anthracyclines (e.g., doxorubicin), or platinum-based regimens (e.g., carboplatin). Combination therapies (e.g., paclitaxel + carboplatin) or sequential single-agent regimens are common first-line options. For patients with BRCA mutations, PARP inhibitors (e.g., olaparib) may be considered. Sacituzumab govitecan (an antibody-drug conjugate) is an option in later lines. Clinical trials are encouraged due to the aggressive nature of this subtype.",NO
"What therapies are recommended for HR-positive HER2-negative metastatic breast cancer with BRCA mutations, who have progressed on endocine therapy?",Oral PARP inhibitors (olaparib or talazoparib) are recommended ,"For HR-positive, HER2-negative metastatic breast cancer with BRCA mutations progressing on endocrine therapy, recommended therapies include:  
1. **PARP inhibitors** (olaparib, talazoparib) — first-line due to BRCA mutation.  
2. **Platinum-based chemotherapy** (e.g., carboplatin) — effective in BRCA-associated tumors.  
3. **Sacituzumab govitecan** (antibody-drug conjugate) — if further progression occurs.  
These options prioritize targeting DNA repair deficiencies (PARP inhibitors/platinum) or leveraging tumor-specific antigen delivery (sacituzumab). Always consider clinical trial eligibility.",YES
"For patients with  HR-positive, HER2-negative who develop recurrence within one year of adjuvant AI therapy, what is the recommended in replacment of AI?",Fulvestrant or CDK4/6 inhibitors should be offered,"For patients with HR-positive, HER2-negative breast cancer recurring within one year of adjuvant AI therapy, the recommended treatment is **fulvestrant (an estrogen receptor antagonist) combined with a CDK4/6 inhibitor** (e.g., abemaciclib, palbociclib, or ribociclib). This approach is preferred due to demonstrated efficacy in endocrine-resistant disease. Chemotherapy may be considered for aggressive or symptomatic recurrences.",YES
"When is sentinel lymph node biopsy not required for patients with early-stage hormone receptor-positive, HER2-negative invasive breast cancer?",Sentinel lymph node biopsy is not required for clinically node-negative women aged ≥70 years who will receive hormonal therapy.,"Sentinel lymph node biopsy (SLNB) may be omitted in patients with early-stage hormone receptor-positive, HER2-negative invasive breast cancer when:  
- **Tumor size is very small (T1a/b, ≤1 cm)**.  
- **Older age or significant comorbidities** limit life expectancy or tolerance for additional treatments.  
- **Nodal status will not alter systemic therapy decisions** (e.g., endocrine therapy is planned regardless).  
- **Patient preferences** align with avoiding the procedure when clinical management remains unchanged.  

This approach is supported by guidelines (e.g., ASCO, NCCN) in select low-risk cases where axillary surgery does not impact adjuvant plans.",NO
How should axillary treatment be approached for patients undergoing mastectomy with 1-2 positive sentinel nodes?,"Postmastectomy radiation to the axilla is recommended, and axillary lymph node dissection can be safely omitted.","For patients undergoing mastectomy with 1-2 positive sentinel nodes, axillary lymph node dissection (ALND) is recommended if post-mastectomy radiation therapy (PMRT) is **not** planned. If PMRT is indicated (e.g., due to tumor size, high-risk features), ALND may be omitted, as PMRT typically includes axillary radiation. The decision should integrate tumor biology, patient preferences, and multidisciplinary evaluation.",NO
What are the recommendations for radiotherapy after neoadjuvant chemotherapy in node-positive early-stage breast cancer?,Locoregional nodal irradiation is recommended,"Radiotherapy is generally recommended after neoadjuvant chemotherapy for node-positive early-stage breast cancer, particularly if residual nodal disease (ypN+) is present. For patients who convert to node-negative (ypN0) after chemotherapy, guidelines still often advise radiotherapy, especially if initial clinical stage was high (e.g., cN1 with large tumors or cN2/cN3). Post-mastectomy radiotherapy (PMRT) is typically recommended for those with ≥4 positive nodes initially or residual disease. Regional nodal irradiation is also considered for 1-3 nodes with residual disease. Ongoing trials are evaluating potential de-escalation in ypN0 cases. Always consult current guidelines (e.g., NCCN, ASTRO) for patient-specific recommendations.",YES
"What is the recommended neoadjuvant therapy for HER2-positive, node-positive breast cancer?",Patients should receive neoadjuvant therapy with an anthracycline and taxane-based regimen in combination with trastuzumab and pertuzumab.,"The recommended neoadjuvant therapy for HER2-positive, node-positive breast cancer is a combination of **pertuzumab, trastuzumab, and chemotherapy** (typically docetaxel and carboplatin, known as the TCHP regimen). This dual HER2-targeted therapy with chemotherapy is the standard approach to shrink tumors before surgery.",NO
"How should neoadjuvant endocrine therapy be used in HR-positive, HER2-negative early-stage breast cancer?","For postmenopausal patients, neoadjuvant endocrine therapy with an aromatase inhibitor may be offered to increase surgical options.","Neoadjuvant endocrine therapy (NET) is recommended for **postmenopausal women** with **strongly HR-positive, HER2-negative early-stage breast cancer**, particularly when chemotherapy is unsuitable (e.g., due to comorbidities, low-risk features, or patient preference). **Aromatase inhibitors** (e.g., letrozole) are preferred over tamoxifen. Treatment typically lasts **4–8 months**, with regular monitoring (clinical exam, imaging) to assess response. If tumors shrink sufficiently, surgery follows; poor response may prompt switching to chemotherapy. NET helps downstage tumors and evaluate endocrine sensitivity but is less commonly used than chemotherapy in this setting.",YES
What is the recommendation for first-line therapy for esophageal SCC with PD-L1 TPS≥1%?,Administer nivolumab plus fluoropyrimidine- and platinum-based chemotherapy.,"The recommended first-line therapy for esophageal squamous cell carcinoma (SCC) with PD-L1 TPS ≥1% is **nivolumab combined with chemotherapy** (fluorouracil and cisplatin), based on improved survival demonstrated in the CheckMate 648 trial. This regimen is endorsed by guidelines such as NCCN and ESMO for PD-L1-positive cases.",YES
When is ramucirumab plus paclitaxel recommended?,For advanced gastroesophageal cancer patients progressing after first-line therapy.,Ramucirumab plus paclitaxel is recommended as a second-line treatment for advanced or metastatic gastric or gastroesophageal junction (GEJ) adenocarcinoma in patients whose disease has progressed after first-line platinum and fluoropyrimidine-based chemotherapy.,YES
What is recommended for HER2-positive gastric cancer patients after progression on first-line therapy?,Trastuzumab deruxtecan is recommended.,"For HER2-positive gastric cancer patients progressing after first-line therapy (trastuzumab + chemotherapy), the recommended next-line treatment is **trastuzumab deruxtecan (T-DXd)**, an antibody-drug conjugate, if HER2 positivity is confirmed. This is supported by the DESTINY-Gastric01 trial showing improved outcomes. Other options include chemotherapy (e.g., ramucirumab + paclitaxel) or clinical trials. Retesting HER2 status post-progression is advised, as HER2 expression may change.",YES
Should adjuvant chemotherapy be recommended for stage II colon cancer patients with dMMR/MSI tumors?,Adjuvant fluoropyrimidine-only chemotherapy is not recommended.,"No, adjuvant chemotherapy is generally not recommended for stage II colon cancer patients with dMMR/MSI-H tumors. These tumors have a favorable prognosis and show limited or no benefit from conventional 5-FU-based chemotherapy, with some evidence suggesting potential harm. Current guidelines (e.g., NCCN, ASCO) advise against its use in this subgroup, favoring surveillance instead. Exceptions may involve high-risk features, but dMMR/MSI-H status typically outweighs such considerations.",YES
Should adjuvant chemotherapy be offered for low-risk stage II colon cancer patients?,ACT is not routinely recommended.,"Adjuvant chemotherapy is not routinely recommended for low-risk stage II colon cancer patients (no high-risk features like T4 tumors, obstruction, perforation, poor differentiation, or lymphovascular invasion). Current guidelines (e.g., ASCO, NCCN) reserve it for high-risk cases, as the modest survival benefit in low-risk patients does not outweigh treatment risks. Shared decision-making, considering patient preferences and tumor biomarkers (e.g., MSI status), is advised.",YES
What is the duration of oxaliplatin-based chemotherapy for high-risk stage II colon cancer?,"3 or 6 months, decided based on patient preference and potential for adverse events.","The duration of oxaliplatin-based chemotherapy for high-risk stage II colon cancer is typically **3 months for CAPOX regimen** (6 cycles) or **6 months for FOLFOX regimen** (12 cycles), depending on the specific protocol and clinical guidelines.",YES
What chemotherapy is recommended as radiosensitizer for stage I-III anal SCC?,Mitomycin-C with fluorouracil (FU) or capecitabine.,"The recommended chemotherapy as a radiosensitizer for stage I-III anal squamous cell carcinoma (SCC) is **5-fluorouracil (5-FU) combined with mitomycin C (MMC)**. This regimen is administered concurrently with radiation therapy, based on established efficacy in clinical trials.",YES
How should patients with BRAF V600E-mutant mCRC receive after prior chemotherapy?,Encorafenib plus cetuximab is recommended.,"Patients with BRAF V600E-mutant mCRC after prior chemotherapy should receive targeted therapy with **encorafenib (BRAF inhibitor) + cetuximab (EGFR inhibitor)**, based on improved survival outcomes in the BEACON trial. This combination is the standard of care for second-line or later treatment. Clinical trials or alternative regimens may be considered if unavailable.",YES
Should anti-EGFR be added as the first-line therapy for RAS mutatnt left-sided mCRC?,"No,  anti-EGFR is added for RAS wild type left-sided mCRC","No, anti-EGFR therapy (e.g., cetuximab, panitumumab) should not be added as first-line therapy for **RAS mutant left-sided metastatic colorectal cancer (mCRC)**. RAS mutations predict resistance to anti-EGFR agents, regardless of tumor sidedness. Current guidelines recommend avoiding anti-EGFR therapy in RAS-mutant mCRC, favoring anti-VEGF agents (e.g., bevacizumab) instead. Tumor location (left vs. right) primarily impacts outcomes in **RAS wild-type** tumors, not RAS-mutant cases.",NO
When is stereotactic body radiation therapy recommended for liver oligometastases in mCRC?,It may be recommended after systemic therapy if resection is not feasible.,"Stereotactic body radiation therapy (SBRT) is recommended for liver oligometastases in metastatic colorectal cancer (mCRC) when patients have **1-5 lesions** (oligometastatic disease), are **not candidates for surgery or ablation**, have **controlled primary disease**, and maintain **good performance status**. It is typically used for **local tumor control** after systemic therapy or as part of a multidisciplinary approach, particularly for lesions ≤5 cm and when prolonged survival is anticipated.",NO
How long is the healing period from dental procedure before radiation therapy for head and neck cancer patients to prevent osteoradionecrosis (ORN)?,Ensure at least a 2-week healing period when possible.,"The recommended healing period after dental procedures before starting radiation therapy for head and neck cancer patients is **14 to 21 days**. This allows adequate time for tissue healing (e.g., epithelialization of extraction sites) to reduce the risk of osteoradionecrosis (ORN). Timely dental intervention and coordination between dental and oncology teams are critical to minimize complications.",YES
What are the surgical recommendations for advanced-stage ORN in head and neck cancer patients?,"For advanced ORN, surgical debridement or resection with vascularized bone reconstruction is recommended to restore function and manage complications.","For advanced-stage osteoradionecrosis (ORN) in head and neck cancer patients, surgical intervention is typically required. Key recommendations include:  
1. **Radical resection** of necrotic bone to achieve clear margins.  
2. **Reconstruction** using vascularized free flaps (e.g., fibula, scapula) to restore function and structure.  
3. **Adjunctive therapies**: Antibiotics for infection control, pentoxifylline-tocopherol (PENTO) to aid healing, and hyperbaric oxygen in select cases.  
4. **Multidisciplinary collaboration** (surgeons, oncologists, dental specialists) for comprehensive care.  

Surgery remains the cornerstone for managing advanced ORN, prioritizing disease control and functional restoration.",YES
Should immunotherapy single agent be initiated in metastatic head and neck squamous cell carcinoma (HNSCC) with PD-L1 < 1?,"No, combination therapy is preferred for CPS <1.","No, single-agent immunotherapy is not recommended as first-line treatment for metastatic HNSCC with PD-L1 <1. The KEYNOTE-048 trial showed no significant survival benefit with pembrolizumab monotherapy in this subgroup. Instead, combination therapy (immunotherapy + chemotherapy) is preferred regardless of PD-L1 status. Guidelines recommend reserving single-agent immunotherapy for PD-L1 CPS ≥1.",YES
