question,expected_answer,claude_answer,claude_match
"What are the therapy options for hormone receptor-positive, HER2-negative metastatic breast cancer with PIK3CA mutations?",Endocrine therapy combined with alpelisib,"The main therapy options for HR+/HER2- metastatic breast cancer with PIK3CA mutations include:

1. Alpelisib (PI3K inhibitor) combined with fulvestrant
2. Endocrine therapy (aromatase inhibitors, tamoxifen, or fulvestrant)
3. CDK4/6 inhibitors (palbociclib, ribociclib, or abemaciclib) with endocrine therapy
4. Chemotherapy (if endocrine resistance develops)

Alpelisib specifically targets PIK3CA mutations and is FDA-approved for this indication.",YES
"How effective is elacestrant for ESR1 wild-type tumors in hormone receptor-positive, HER2-negative metastatic breast cancer?","Elacestrant is not significantly more effective than standard endocrine therapy for ESR1 wild-type tumors, as demonstrated in the EMERALD trial.","Elacestrant has shown effectiveness in ESR1 wild-type tumors in HR+/HER2- metastatic breast cancer, but its benefit is more modest compared to its efficacy in ESR1-mutated tumors. In the EMERALD phase 3 trial, elacestrant demonstrated a progression-free survival benefit over standard endocrine therapy in ESR1 wild-type patients, though the improvement was less pronounced than in the ESR1-mutated population.",NO
"For HER2-negative metastatic breast cancer refractory to endocrine therapy, should single-agent chemotherapy or sacituzumab govitecan be offered?","Single-agent chemotherapy is preferred, starting with agents like capecitabine or eribulin","For HER2-negative metastatic breast cancer refractory to endocrine therapy, sacituzumab govitecan is preferred over single-agent chemotherapy based on the ASCENT trial, which showed improved overall survival and progression-free survival with sacituzumab govitecan compared to standard chemotherapy.",NO
"In hormone receptor-positive, HER2-negative metastatic breast cancer, when should ctDNA testing be performed?","ctDNA testing is recommended at recurrence or progression on endocrine therapy, as ESR1 mutations often emerge under treatment pressure.","ctDNA testing in HR+/HER2- metastatic breast cancer should be performed:
1. At diagnosis of metastatic disease
2. At disease progression
3. When tissue biopsy is challenging or unavailable
4. To monitor treatment response and detect emerging resistance mutations (especially ESR1 and PIK3CA mutations)",NO
"What is the recommendation for premenopausal women with node-positive, ER-positive, HER2-negative breast cancer?",Oncotype DX should not be used to guide chemotherapy decisions for premenopausal women with node-positive disease.,"For premenopausal women with node-positive, ER-positive, HER2-negative breast cancer, the standard recommendation is adjuvant endocrine therapy with ovarian function suppression plus an aromatase inhibitor or tamoxifen, combined with chemotherapy. The choice between aromatase inhibitor and tamoxifen should be individualized based on risk factors and side effect profiles.",NO
When can the Breast Cancer Index (BCI) test be offered for extended endocrine therapy decisions?,The BCI test may be offered to patients with 0-3 positive nodes who completed 5 years of endocrine therapy without recurrence.,"The Breast Cancer Index (BCI) test can be offered to postmenopausal women with early-stage, hormone receptor-positive (HR+), lymph node-negative or node-positive (1-3 nodes) breast cancer who have completed 4-5 years of endocrine therapy to help inform decisions about extending endocrine therapy beyond 5 years.",YES
What are the benefits of adjuvant bisphosphonate therapy in postmenopausal breast cancer patients?,Adjuvant bisphosphonates improve overall survival modestly and reduce risks of bone recurrence and fracture rates.,"Adjuvant bisphosphonate therapy in postmenopausal breast cancer patients provides two main benefits:

1. Reduces risk of bone metastases
2. Improves overall survival by decreasing breast cancer mortality

These benefits are primarily seen in postmenopausal women, with evidence showing reduced risk of bone recurrence and death from breast cancer.",YES
"Which bisphosphonates are recommended for adjuvant therapy, and what are the doses?","Recommended options include oral clodronate (1,600 mg daily for 2-3 years), oral ibandronate (50 mg daily for 3 years), and zoledronic acid (4 mg every 6 months for 3 years).","For adjuvant therapy in breast cancer, the recommended bisphosphonates are:

1. Zoledronic acid: 4mg IV every 6 months for 3-5 years
2. Clodronate: 1600mg oral daily for 2-3 years

These are specifically recommended for postmenopausal women with early-stage breast cancer.",NO
Should adjuvant denosumab be used to prevent recurrence in breast cancer?,Denosumab is not recommended as it does not consistently reduce recurrence rates.,"Based on current evidence, adjuvant denosumab is not routinely recommended to prevent breast cancer recurrence. While it can reduce bone loss in patients receiving aromatase inhibitors, clinical trials (including the D-CARE study) have not shown significant benefits in preventing breast cancer recurrence or improving disease-free survival.",YES
What is the recommendation for testing for ESR1 mutations in metastatic breast cancer?,Routine ESR1 mutation testing is not recommended,"ESR1 mutation testing is recommended for patients with hormone receptor-positive metastatic breast cancer who have progressed on first-line endocrine therapy, particularly aromatase inhibitors. Testing can be performed using liquid biopsy (circulating tumor DNA) or tissue biopsy.",NO
What biomarker testing is advised for metastatic HER2-negative breast cancer with immune checkpoint inhibitor candidates?,Testing for PD-L1 expression in tumor and immune cells is recommended to determine eligibility for pembrolizumab plus chemotherapy.,"For metastatic HER2-negative breast cancer patients who are candidates for immune checkpoint inhibitor therapy, PD-L1 testing is the primary recommended biomarker test. Specifically, PD-L1 expression should be assessed using the SP142 assay or other validated tests to determine eligibility for immunotherapy.",YES
Should circulating tumor DNA (ctDNA) be routinely used to monitor therapy response in metastatic breast cancer?,Routine use of ctDNA for monitoring therapy response is not recommended due to insufficient data.,"While ctDNA shows promise as a monitoring tool for metastatic breast cancer, it is not yet recommended for routine clinical use. Current guidelines suggest using traditional methods (imaging, tumor markers) as standard practice. More prospective clinical trials are needed to validate ctDNA's clinical utility and standardize testing methods before widespread implementation.",YES
Can adjuvant pembrolizumab be administered with radiation therapy?,Adjuvant pembrolizumab can be given concurrently with or after completion of radiation therapy.,"Yes, adjuvant pembrolizumab can be safely administered with radiation therapy. Studies have shown that combining these treatments may even have synergistic effects, potentially enhancing the immune response against cancer cells. However, specific timing and sequencing should be determined by the treating physician based on individual cases.",NO
How many years of abemaciclib should be used in combination with endocrine therapy in high-risk early-stage breast cancer?,"Two years of abemaciclib (150 mg twice daily) with endocrine therapy for ≥5 years may be offered to patients with high-risk hormone receptor-positive, HER2-negative early-stage breast cancer.","Based on the monarchE trial results, abemaciclib should be used for 2 years in combination with endocrine therapy for high-risk early-stage hormone receptor-positive, HER2-negative breast cancer.",YES
What are the criteria for high-risk early breast cancer suitable for abemaciclib treatment?,"Criteria include ≥4 positive axillary lymph nodes or 1-3 positive nodes with tumor size ≥5 cm, histologic grade 3, or Ki-67 ≥20%.","High-risk early breast cancer criteria for abemaciclib treatment include:
- HR-positive/HER2-negative status
- Node-positive disease
- High Ki-67 score (≥20%)
- Grade 3 disease
- Tumor size ≥5 cm
- ≥4 positive lymph nodes

These patients should also have completed primary treatment (surgery, chemotherapy, and/or radiotherapy as appropriate).",NO
Is the use of abemaciclib restricted to patients with a high Ki-67 score?,Abemaciclib is recommended for broader patient populations at high risk of recurrence regardless of Ki-67 status.,"No, abemaciclib is not restricted to patients with high Ki-67 scores. While Ki-67 status may be considered, abemaciclib is approved for HR+/HER2- breast cancer patients regardless of their Ki-67 score.",YES
What is the role of olaparib in early-stage HER2-negative breast cancer with germline BRCA mutations?,Olaparib is recommended for one year after (neo)adjuvant chemotherapy and local treatment in high-risk early-stage HER2-negative breast cancer with BRCA mutations.,"Olaparib is a PARP inhibitor used as adjuvant therapy in high-risk early-stage HER2-negative breast cancer patients with germline BRCA1/2 mutations. It significantly improves invasive disease-free survival when given after standard chemotherapy, as demonstrated in the OlympiA trial.",YES
What clinical criteria define high-risk patients eligible for olaparib?,"Eligibility includes triple-negative tumors >2 cm or node involvement, or hormone receptor-positive disease with ≥4 involved lymph nodes or a CPS-EG score ≥3.","High-risk patients eligible for olaparib typically meet these key criteria:
1. BRCA1/2 mutations (germline or somatic)
2. HRD (Homologous Recombination Deficiency) positive status
3. Advanced ovarian, breast, pancreatic, or prostate cancer
4. Previous response to platinum-based chemotherapy (for ovarian cancer)

The specific eligibility may vary by cancer type and country/regulatory approval.",NO
What are the main findings from the OlympiA trial regarding olaparib?,The OlympiA trial demonstrated improved invasive and distant disease-free survival with olaparib compared to placebo.,"The OlympiA trial showed that adjuvant olaparib significantly improved disease-free survival and overall survival in early-stage, HER2-negative breast cancer patients with BRCA1/2 mutations who had completed local treatment and chemotherapy. The risk of cancer recurrence was reduced by approximately 42% compared to placebo.",NO
"What is the recommendation for first-line treatment of triple-negative, PD-L1-positive metastatic breast cancer?",The addition of immune checkpoint inhibitors (atezolizumab or pembrolizumab) to chemotherapy is recommended.,"First-line treatment for triple-negative, PD-L1-positive metastatic breast cancer is the combination of immunotherapy (atezolizumab or pembrolizumab) plus chemotherapy (nab-paclitaxel or paclitaxel).",YES
"What is the preferred treatment for triple-negative, PD-L1-negative metastatic breast cancer?",Single-agent chemotherapy is preferred,"For triple-negative, PD-L1-negative metastatic breast cancer, the preferred first-line treatment is chemotherapy, typically with taxanes (such as paclitaxel or docetaxel) or anthracyclines (such as doxorubicin). Sequential single-agent chemotherapy is often used to balance efficacy and toxicity.",YES
"What therapies are recommended for HR-positive HER2-negative metastatic breast cancer with BRCA mutations, who have progressed on endocine therapy?",Oral PARP inhibitors (olaparib or talazoparib) are recommended ,"For HR+/HER2- metastatic breast cancer with BRCA mutations that progressed on endocrine therapy, the recommended treatments include:

1. PARP inhibitors (olaparib or talazoparib)
2. Chemotherapy (especially platinum-based agents)

These can be used alone or in combination, depending on previous treatments and patient factors.",YES
"For patients with  HR-positive, HER2-negative who develop recurrence within one year of adjuvant AI therapy, what is the recommended in replacment of AI?",Fulvestrant or CDK4/6 inhibitors should be offered,"For patients with HR+/HER2- breast cancer who develop recurrence within one year of adjuvant AI therapy, the recommended replacement is typically switching to Fulvestrant (with or without CDK4/6 inhibitors) or Tamoxifen, as there is likely resistance to AIs.",NO
"When is sentinel lymph node biopsy not required for patients with early-stage hormone receptor-positive, HER2-negative invasive breast cancer?",Sentinel lymph node biopsy is not required for clinically node-negative women aged ≥70 years who will receive hormonal therapy.,"Sentinel lymph node biopsy can be omitted in women aged 70 years or older with T1 hormone receptor-positive, HER2-negative breast cancer who are candidates for adjuvant endocrine therapy alone, as the procedure does not significantly impact treatment decisions or survival outcomes in this specific patient population.",YES
How should axillary treatment be approached for patients undergoing mastectomy with 1-2 positive sentinel nodes?,"Postmastectomy radiation to the axilla is recommended, and axillary lymph node dissection can be safely omitted.","For patients undergoing mastectomy with 1-2 positive sentinel lymph nodes, completion axillary lymph node dissection (ALND) is generally recommended, as these patients were not included in the ACOSOG Z0011 trial that showed ALND could be omitted in certain breast-conserving surgery cases. However, ongoing trials are investigating whether ALND might be safely omitted in select mastectomy patients with limited nodal disease.",NO
What are the recommendations for radiotherapy after neoadjuvant chemotherapy in node-positive early-stage breast cancer?,Locoregional nodal irradiation is recommended,"After neoadjuvant chemotherapy in node-positive breast cancer, radiotherapy is recommended to:
1. The chest wall/breast
2. Regional lymph nodes (supraclavicular, axillary, internal mammary nodes)

This applies regardless of pathologic response to chemotherapy, as initial node-positive status drives radiation decisions.",YES
"What is the recommended neoadjuvant therapy for HER2-positive, node-positive breast cancer?",Patients should receive neoadjuvant therapy with an anthracycline and taxane-based regimen in combination with trastuzumab and pertuzumab.,"The recommended neoadjuvant therapy for HER2-positive, node-positive breast cancer is dual HER2-targeted therapy with pertuzumab plus trastuzumab, combined with chemotherapy (typically taxane-based followed by anthracycline-based regimens).",YES
"How should neoadjuvant endocrine therapy be used in HR-positive, HER2-negative early-stage breast cancer?","For postmenopausal patients, neoadjuvant endocrine therapy with an aromatase inhibitor may be offered to increase surgical options.","Neoadjuvant endocrine therapy (NET) should be used for 4-6 months in postmenopausal women with strongly hormone receptor-positive, HER2-negative early breast cancer, particularly when patients are poor candidates for chemotherapy or have low-risk luminal disease. Aromatase inhibitors are preferred over tamoxifen. Response should be monitored clinically and radiologically to assess effectiveness.",NO
What is the recommendation for first-line therapy for esophageal SCC with PD-L1 TPS≥1%?,Administer nivolumab plus fluoropyrimidine- and platinum-based chemotherapy.,"For esophageal squamous cell carcinoma (SCC) with PD-L1 TPS≥1%, the recommended first-line therapy is pembrolizumab plus platinum/fluoropyrimidine-based chemotherapy, based on the KEYNOTE-590 trial results.",NO
When is ramucirumab plus paclitaxel recommended?,For advanced gastroesophageal cancer patients progressing after first-line therapy.,Ramucirumab plus paclitaxel is recommended as a second-line treatment for advanced or metastatic gastric/gastroesophageal junction adenocarcinoma in patients whose disease has progressed after first-line platinum and fluoropyrimidine-based chemotherapy.,YES
What is recommended for HER2-positive gastric cancer patients after progression on first-line therapy?,Trastuzumab deruxtecan is recommended.,"For HER2-positive gastric cancer patients who progress after first-line therapy, current recommendations include switching to standard second-line chemotherapy without continuing HER2-targeted therapy, as there is no proven benefit of continuing anti-HER2 treatment beyond progression in this setting.",NO
Should adjuvant chemotherapy be recommended for stage II colon cancer patients with dMMR/MSI tumors?,Adjuvant fluoropyrimidine-only chemotherapy is not recommended.,"No, adjuvant chemotherapy is generally not recommended for stage II colon cancer patients with dMMR/MSI tumors. These tumors have a better prognosis and studies have shown that patients with dMMR/MSI tumors do not derive significant benefit from 5-FU-based adjuvant chemotherapy.",YES
Should adjuvant chemotherapy be offered for low-risk stage II colon cancer patients?,ACT is not routinely recommended.,"No, adjuvant chemotherapy is generally not recommended for low-risk stage II colon cancer patients. The potential risks and side effects outweigh the minimal survival benefit in this population. These patients are typically managed with surgery alone and surveillance.",YES
What is the duration of oxaliplatin-based chemotherapy for high-risk stage II colon cancer?,"3 or 6 months, decided based on patient preference and potential for adverse events.","For high-risk stage II colon cancer, the standard duration of oxaliplatin-based chemotherapy (FOLFOX or CAPOX) is 3 months, based on the IDEA collaboration study results which showed non-inferior outcomes compared to 6 months of treatment, with less toxicity.",NO
What chemotherapy is recommended as radiosensitizer for stage I-III anal SCC?,Mitomycin-C with fluorouracil (FU) or capecitabine.,Mitomycin C + 5-FU (or capecitabine) is the standard concurrent chemoradiation regimen recommended as radiosensitizer for stage I-III anal squamous cell carcinoma.,YES
How should patients with BRAF V600E-mutant mCRC receive after prior chemotherapy?,Encorafenib plus cetuximab is recommended.,"For patients with BRAF V600E-mutant metastatic colorectal cancer (mCRC) who have received prior chemotherapy, the recommended treatment is a combination of:
- BRAF inhibitor (encorafenib)
- EGFR inhibitor (cetuximab or panitumumab)

This combination therapy has shown improved survival outcomes compared to standard therapy in this patient population.",YES
Should anti-EGFR be added as the first-line therapy for RAS mutatnt left-sided mCRC?,"No,  anti-EGFR is added for RAS wild type left-sided mCRC","No, anti-EGFR therapy should NOT be added as first-line therapy for RAS mutant left-sided mCRC. RAS mutations are a known negative predictive biomarker for anti-EGFR therapy, and these patients will not benefit from anti-EGFR treatment regardless of tumor location.",NO
When is stereotactic body radiation therapy recommended for liver oligometastases in mCRC?,It may be recommended after systemic therapy if resection is not feasible.,"SBRT for liver oligometastases in mCRC is typically recommended when:
1. Surgical resection is not feasible
2. Patient has ≤3-5 liver metastases
3. Lesions are ≤6 cm in size
4. Adequate liver function is present
5. Metastases are not amenable to other local therapies",NO
How long is the healing period from dental procedure before radiation therapy for head and neck cancer patients to prevent osteoradionecrosis (ORN)?,Ensure at least a 2-week healing period when possible.,The recommended healing period between dental procedures and the start of radiation therapy is typically 14-21 days (2-3 weeks). This allows adequate time for soft tissue healing and initial bone healing to minimize the risk of ORN.,YES
What are the surgical recommendations for advanced-stage ORN in head and neck cancer patients?,"For advanced ORN, surgical debridement or resection with vascularized bone reconstruction is recommended to restore function and manage complications.","For advanced-stage osteoradionecrosis (ORN) in head and neck cancer patients, the primary surgical recommendation is radical resection of necrotic bone with immediate free flap reconstruction. This typically involves:

1. Complete removal of all necrotic tissue
2. Mandibulectomy (if mandible is involved)
3. Free flap reconstruction (usually fibula free flap)
4. Adequate soft tissue coverage

This aggressive surgical approach is necessary when conservative treatments have failed and is aimed at restoring form and function while preventing further progression of the condition.",YES
Should immunotherapy single agent be initiated in metastatic head and neck squamous cell carcinoma (HNSCC) with PD-L1 < 1?,"No, combination therapy is preferred for CPS <1.","No, immunotherapy single agent is not recommended for metastatic HNSCC with PD-L1 < 1%. In these cases, platinum-based chemotherapy combinations remain the standard first-line treatment, as low PD-L1 expression is associated with poor response to immunotherapy monotherapy.",NO
What are the guidelines for immunotherapy in platinum-refractory recurrent or metastatic HNSCC?,Pembrolizumab or nivolumab should be offered to patients regardless of PD-L1 CPS status.,"For platinum-refractory recurrent/metastatic HNSCC, pembrolizumab or nivolumab (PD-1 inhibitors) are recommended as second-line therapy. Treatment selection should consider PD-L1 expression status and patient performance status. These agents have shown improved survival compared to standard chemotherapy in clinical trials (KEYNOTE-040 and CheckMate 141).",NO
What is the recommendation for PD-L1 biomarker testing in recurrent/metastatic HNSCC?,"PD-L1 immunohistochemistry testing is recommended, and a CPS ≥1 is considered positive for PD-1 inhibitor therapy.","PD-L1 testing is recommended for all patients with recurrent/metastatic HNSCC prior to first-line systemic therapy, as it helps guide treatment decisions, particularly regarding the use of pembrolizumab as monotherapy or in combination with chemotherapy.",NO
Can radiation therapy be integrated with immunotherapy for recurrent HNSCC?,Radiation therapy may be safely administered concurrently with immunotherapy for palliative or local control in oligometastatic settings,"Yes, radiation therapy can be integrated with immunotherapy for recurrent HNSCC. Clinical studies have shown that combining these treatments may enhance anti-tumor immune responses through radiation-induced immunogenic cell death and improved tumor antigen presentation. However, optimal timing and sequencing of these therapies are still being investigated in ongoing clinical trials.",NO
What are the PARP inhibitor recommendations for newly diagnosed advanced ovarian cancer responding to platinum-based chemotherapy?,"PARP inhibitors are recommended as maintenance therapy for BRCA-mutated or HRD-positive patients, with varying regimens based on genetic status.","PARP inhibitors (olaparib, niraparib) are recommended as maintenance therapy for newly diagnosed advanced ovarian cancer patients who have achieved complete or partial response to first-line platinum-based chemotherapy. They are particularly effective in patients with BRCA mutations, but can also be used in non-BRCA mutated cases. Treatment duration is typically 2-3 years or until disease progression.",NO
What is the effect of PARP inhibitors on patients' overall survival in recurrent ovarian cancer without BRCA-mutation or HRD-positivity?,Evidence suggests potential overall survival detriments in later-line treatments with PARP inhibitors,"In patients with recurrent ovarian cancer without BRCA mutations or HRD-positivity, PARP inhibitors have shown limited to no significant improvement in overall survival. Some studies even suggest potential detrimental effects in this specific patient population, highlighting the importance of proper patient selection for PARP inhibitor therapy.",YES
What is the effect of PARP inhibitors on patients' progression-free survival in recurrent ovarian cancer without BRCA-mutation or HRD-positivity?,PARP inhibitors demonstrated progression-free survival benefits,"PARP inhibitors generally show limited to no significant benefit in progression-free survival for patients with recurrent ovarian cancer who are BRCA wild-type and HRD-negative, as these biomarkers are key predictors of PARP inhibitor response.",NO
What surgical approach is recommended for T3-T4 parotid cancers with high-grade malignancy?,"At least a superficial parotidectomy, with consideration of total or subtotal parotidectomy.","For T3-T4 high-grade parotid cancers, a radical parotidectomy with facial nerve sacrifice (if involved) is recommended, typically combined with neck dissection. Clear surgical margins are crucial. Post-operative radiation therapy is usually indicated.",NO
What is the recommended follow-up imaging schedule for high-grade salivary gland cancers post-treatment?,"Baseline imaging at 3 months, every 6-12 months for the first 2 years, and symptom-directed imaging from years 3-5. Yearly chest CT may be considered for high-grade cases.","For high-grade salivary gland cancers post-treatment, the typical follow-up imaging schedule is:
- Every 3-4 months for the first 2 years
- Every 6 months for years 3-5
- Annually thereafter

Primary imaging modalities include CT/MRI of the head and neck, with chest imaging to monitor for metastases.",NO
What chemotherapy regimen is recommended for stage III-IVA nasopharyngeal carcinoma (NPC) during induction?,"Platinum-based regimens such as GP (gemcitabine and cisplatin) or TPF (docetaxel, cisplatin, 5-fluorouracil) every 3 weeks for 2-3 cycles.","For stage III-IVA nasopharyngeal carcinoma, the recommended induction chemotherapy regimen typically consists of TPF (Docetaxel, Cisplatin, and 5-Fluorouracil) or PF (Cisplatin and 5-Fluorouracil) for 2-3 cycles.",YES
What radiotherapy technique is preferred for stage II-IVA nasopharyngeal carcinoma?,Intensity-modulated radiotherapy (IMRT) with daily image guidance is strongly recommended.,"IMRT (Intensity-Modulated Radiation Therapy) is the preferred radiotherapy technique for stage II-IVA nasopharyngeal carcinoma, as it provides superior target coverage and better sparing of adjacent critical structures compared to conventional radiotherapy.",YES
What is the role of adjuvant chemotherapy for T3N0 nasopharyngeal carcinoma patients?,"Adjuvant chemotherapy may be offered, typically using a PF regimen.","The role of adjuvant chemotherapy for T3N0 nasopharyngeal carcinoma patients remains controversial. While concurrent chemoradiotherapy is the standard of care, current evidence does not strongly support the routine use of adjuvant chemotherapy in T3N0 cases. Some studies suggest it may reduce distant metastasis, but its impact on overall survival is not clearly demonstrated.",NO
What is the schedule of radiation recommended for radiotherapy in nasopharyngeal carcinoma?,A dose of 70 Gy in 33-35 fractions (2.0-2.12 Gy per fraction) over 7 weeks is recommended.,"The standard radiotherapy schedule for nasopharyngeal carcinoma typically consists of:
- 66-70 Gy to primary tumor and involved nodes
- 1.8-2.0 Gy per fraction
- 5 fractions per week
- Total treatment duration of 6-7 weeks

This is often combined with chemotherapy in locally advanced cases.",YES
What are the treatment options for MET exon 14 skipping mutation-positive NSCLC?,Capmatinib or tepotinib are recommended.,"Treatment options for MET exon 14 skipping mutation-positive NSCLC include:

1. FDA-approved MET inhibitors:
- Tepotinib (Tepmetko)
- Capmatinib (Tabrecta)

2. Standard therapy options:
- Chemotherapy
- Immunotherapy
- Combination of both

MET inhibitors are the preferred first-line treatment due to their targeted approach and better outcomes in this specific mutation.",YES
What is the guideline for first-line treatment in EGFR exon 20 insertion NSCLC?,Chemotherapy combined with amivantamab,"First-line treatment for EGFR exon 20 insertion NSCLC is platinum-based chemotherapy, as traditional EGFR TKIs are generally not effective for this specific mutation. Amivantamab and mobocertinib are approved but only as second-line treatments.",NO
What is the recommended first-line treatment for stage IV NSCLC with EGFR exon 19 deletion mutation?,Osimertinib is recommended as the first-line treatment,"First-line treatment for stage IV NSCLC with EGFR exon 19 deletion is an EGFR tyrosine kinase inhibitor (TKI), with osimertinib being the preferred option due to superior efficacy and CNS penetration.",YES
How should patients with stage IV NSCLC and EGFR mutation progress after osimertinib treatment?,"Platinum-based chemotherapy, with or without amivantamab","After progression on osimertinib in EGFR-mutated stage IV NSCLC, treatment options include:
1. Molecular testing to identify resistance mechanisms (especially MET amplification)
2. If MET amplification: Add MET inhibitor
3. If no targetable resistance mechanism: Switch to platinum-based chemotherapy
4. Consider clinical trials if available",NO
What is the first line treatment for stage IV NSCLC with ROS1 fusion mutation?,"First-line treatment includes repotrectinib, entrectinib, or crizotinib.",Crizotinib is the first-line treatment for ROS1-positive metastatic non-small cell lung cancer (NSCLC).,NO
What is the benefit of amivantamab plus lazertinib over osmiertinib alone in untreated EGFR mutation-positive stage IV NSCLC?,Amivantamab plus lazertinib showed a median PFS of 23.7 months compared to 16.6 months with osimertinib alone.,"Based on the MARIPOSA trial results, amivantamab plus lazertinib showed superior progression-free survival (PFS) compared to osimertinib alone in first-line treatment of EGFR-mutated advanced NSCLC, with a median PFS of 23.7 months vs 16.5 months (HR 0.48).",YES
Should anti-PD-L1 be used for second-line therapy for EGFR mutation-positive NSCLC without targetable alterations?,Anti-PD-(L)1 agents are not recommended,"No, anti-PD-L1 therapy is not recommended as second-line treatment for EGFR mutation-positive NSCLC. These patients typically show lower response rates to immunotherapy, and chemotherapy is generally preferred as the second-line treatment option after EGFR TKI failure.",YES
