Question,Answer,Guideline,Generated_answer,Matches_Expected
"What are the therapy options for hormone receptor-positive, HER2-negative metastatic breast cancer with PIK3CA mutations?",Endocrine therapy combined with alpelisib,breast_cancer_3,"[TextBlock(text='Endocrine therapy in combination with either alpelisib or everolimus are the therapy options.', type='text')]",NO
"How effective is elacestrant for ESR1 wild-type tumors in hormone receptor-positive, HER2-negative metastatic breast cancer?","Elacestrant is not significantly more effective than standard endocrine therapy for ESR1 wild-type tumors, as demonstrated in the EMERALD trial.",breast_cancer_3,"[TextBlock(text='According to the context, elacestrant was not significantly effective, as it did not show significant improvement in progression-free survival compared to standard-of-care endocrine therapy for ESR1 wild-type tumors.', type='text')]",YES
"For HER2-negative metastatic breast cancer refractory to endocrine therapy, should single-agent chemotherapy or sacituzumab govitecan be offered?","Single-agent chemotherapy is preferred, starting with agents like capecitabine or eribulin",breast_cancer_4,"[TextBlock(text='Based on the context, sacituzumab govitecan should be offered, as it showed better progression-free survival and overall survival compared to single-agent chemotherapy in the TROPiCS-023 trial.', type='text')]",NO
"In hormone receptor-positive, HER2-negative metastatic breast cancer, when should ctDNA testing be performed?","ctDNA testing is recommended at recurrence or progression on endocrine therapy, as ESR1 mutations often emerge under treatment pressure.",breast_cancer_3,"[TextBlock(text='ctDNA testing should be performed on blood or tissue obtained at the time of progression.', type='text')]",NO
"What is the recommendation for premenopausal women with node-positive, ER-positive, HER2-negative breast cancer?",Oncotype DX should not be used to guide chemotherapy decisions for premenopausal women with node-positive disease.,breast_cancer_7,"[TextBlock(text='Based on the context, there is no specific biomarker recommendation available for premenopausal women with node-positive, ER-positive, HER2-negative breast cancer due to lack of mature evidence.', type='text')]",NO
When can the Breast Cancer Index (BCI) test be offered for extended endocrine therapy decisions?,The BCI test may be offered to patients with 0-3 positive nodes who completed 5 years of endocrine therapy without recurrence.,breast_cancer_7,"[TextBlock(text='The BCI test can be offered for extended endocrine therapy decisions in postmenopausal patients with early-stage ER-positive breast cancer who are either node-negative or have 1-3 positive nodes.', type='text')]",NO
What are the benefits of adjuvant bisphosphonate therapy in postmenopausal breast cancer patients?,Adjuvant bisphosphonates improve overall survival modestly and reduce risks of bone recurrence and fracture rates.,breast_cancer_8,"[TextBlock(text=""The benefits include modest improvement in overall survival, reduced recurrence, reduced distant recurrence, and reduced breast cancer mortality. However, the absolute benefit is small and depends on the individual patient's risk profile."", type='text')]",YES
"Which bisphosphonates are recommended for adjuvant therapy, and what are the doses?","Recommended options include oral clodronate (1,600 mg daily for 2-3 years), oral ibandronate (50 mg daily for 3 years), and zoledronic acid (4 mg every 6 months for 3 years).",breast_cancer_8,"[TextBlock(text='The recommended bisphosphonates are:\n1. Oral clodronate: 1,600 mg daily for 2-3 years\n2. Oral ibandronate: 50 mg daily for 3 years\n3. Zoledronic acid: 4 mg every 6 months for 3 years, or 4 mg every 3 months for 2 years', type='text')]",YES
Should adjuvant denosumab be used to prevent recurrence in breast cancer?,Denosumab is not recommended as it does not consistently reduce recurrence rates.,breast_cancer_8,"[TextBlock(text='No, adjuvant denosumab should not be recommended to prevent breast cancer recurrence due to inconsistent study results, significant toxicity at higher doses, and lack of direct comparisons with bisphosphonates.', type='text')]",YES
What is the recommendation for testing for ESR1 mutations in metastatic breast cancer?,Routine ESR1 mutation testing is not recommended,breast_cancer_6,"[TextBlock(text='According to the context, routine testing for ESR1 mutations is not currently recommended due to insufficient data to guide therapy for hormone receptor-positive, HER2-negative metastatic breast cancer.', type='text')]",YES
What biomarker testing is advised for metastatic HER2-negative breast cancer with immune checkpoint inhibitor candidates?,Testing for PD-L1 expression in tumor and immune cells is recommended to determine eligibility for pembrolizumab plus chemotherapy.,breast_cancer_6,"[TextBlock(text='PD-L1 testing using an FDA-approved test is advised to determine eligibility for pembrolizumab plus chemotherapy treatment.', type='text')]",YES
Should circulating tumor DNA (ctDNA) be routinely used to monitor therapy response in metastatic breast cancer?,Routine use of ctDNA for monitoring therapy response is not recommended due to insufficient data.,breast_cancer_6,"[TextBlock(text='No, routine use of ctDNA to monitor therapy response in metastatic breast cancer is not recommended due to insufficient data.', type='text')]",YES
Can adjuvant pembrolizumab be administered with radiation therapy?,Adjuvant pembrolizumab can be given concurrently with or after completion of radiation therapy.,breast_cancer_9,"[TextBlock(text='Yes, adjuvant pembrolizumab can be given either during (concurrent with) or after radiation therapy.', type='text')]",YES
How many years of abemaciclib should be used in combination with endocrine therapy in high-risk early-stage breast cancer?,"Two years of abemaciclib (150 mg twice daily) with endocrine therapy for ≥5 years may be offered to patients with high-risk hormone receptor-positive, HER2-negative early-stage breast cancer.",breast_cancer_10,"[TextBlock(text='Two years.', type='text')]",NO
What are the criteria for high-risk early breast cancer suitable for abemaciclib treatment?,"Criteria include ≥4 positive axillary lymph nodes or 1-3 positive nodes with tumor size ≥5 cm, histologic grade 3, or Ki-67 ≥20%.",breast_cancer_10,"[TextBlock(text='According to the context, high-risk criteria are:\n1. 4 or more positive axillary lymph nodes, OR\n2. 1-3 positive axillary lymph nodes plus at least one of:\n   - Histologic grade 3 disease\n   - Tumor size ≥5 cm\n   - Ki-67 index ≥20%\n\nAdditional criteria mentioned in the context are hormone receptor-positive and HER2-negative status.', type='text')]",YES
Is the use of abemaciclib restricted to patients with a high Ki-67 score?,Abemaciclib is recommended for broader patient populations at high risk of recurrence regardless of Ki-67 status.,breast_cancer_10,"[TextBlock(text='No, the use of abemaciclib is not restricted to patients with a high Ki-67 score.', type='text')]",NO
What is the role of olaparib in early-stage HER2-negative breast cancer with germline BRCA mutations?,Olaparib is recommended for one year after (neo)adjuvant chemotherapy and local treatment in high-risk early-stage HER2-negative breast cancer with BRCA mutations.,breast_cancer_11,"[TextBlock(text='Olaparib is offered as adjuvant therapy for one year after completing (neo)adjuvant chemotherapy and local treatment in patients with early-stage HER2-negative breast cancer who have BRCA1/2 mutations and high recurrence risk.', type='text')]",YES
What clinical criteria define high-risk patients eligible for olaparib?,"Eligibility includes triple-negative tumors >2 cm or node involvement, or hormone receptor-positive disease with ≥4 involved lymph nodes or a CPS-EG score ≥3.",breast_cancer_11,"[TextBlock(text='According to the context, high-risk patients eligible for olaparib must have:\n1. Early-stage, HER2-negative breast cancer\n2. High risk of recurrence\n3. Germline BRCA1 or BRCA2 pathogenic/likely pathogenic variants', type='text')]",NO
What are the main findings from the OlympiA trial regarding olaparib?,The OlympiA trial demonstrated improved invasive and distant disease-free survival with olaparib compared to placebo.,breast_cancer_11,"[TextBlock(text='The main findings from the OlympiA trial showed that olaparib treatment resulted in:\n1. Higher rates of grade 3 anemia compared to placebo\n2. More frequent blood transfusions\n3. No significant increase in serious adverse events (myelodysplastic syndrome and acute leukemia)\n4. Better 3-year overall survival, though not statistically significant at interim analysis', type='text')]",NO
"What is the recommendation for first-line treatment of triple-negative, PD-L1-positive metastatic breast cancer?",The addition of immune checkpoint inhibitors (atezolizumab or pembrolizumab) to chemotherapy is recommended.,breast_cancer_12,"[TextBlock(text='The recommended first-line treatment is immune checkpoint inhibitor (either atezolizumab or pembrolizumab) combined with chemotherapy (nab-paclitaxel or other chemotherapy) for patients without contraindications.', type='text')]",YES
"What is the preferred treatment for triple-negative, PD-L1-negative metastatic breast cancer?",Single-agent chemotherapy is preferred,breast_cancer_12,"[TextBlock(text='Single-agent chemotherapy is the preferred treatment for triple-negative, PD-L1-negative metastatic breast cancer.', type='text')]",YES
"What therapies are recommended for HR-positive HER2-negative metastatic breast cancer with BRCA mutations, who have progressed on endocine therapy?",Oral PARP inhibitors (olaparib or talazoparib) are recommended ,breast_cancer_12,"[TextBlock(text='According to the context, oral PARP inhibitors are recommended in first- through third-line settings instead of chemotherapy for these patients.', type='text')]",YES
"For patients with  HR-positive, HER2-negative who develop recurrence within one year of adjuvant AI therapy, what is the recommended in replacment of AI?",Fulvestrant or CDK4/6 inhibitors should be offered,breast_cancer_13,"[TextBlock(text='Fulvestrant combined with a CDK4/6 inhibitor is recommended.', type='text')]",YES
"When is sentinel lymph node biopsy not required for patients with early-stage hormone receptor-positive, HER2-negative invasive breast cancer?",Sentinel lymph node biopsy is not required for clinically node-negative women aged ≥70 years who will receive hormonal therapy.,breast_cancer_14,"[TextBlock(text='Sentinel lymph node biopsy is not required for patients who are 70 years or older, have clinically node-negative disease, and will be treated with hormonal therapy.', type='text')]",YES
How should axillary treatment be approached for patients undergoing mastectomy with 1-2 positive sentinel nodes?,"Postmastectomy radiation to the axilla is recommended, and axillary lymph node dissection can be safely omitted.",breast_cancer_14,"[TextBlock(text='According to the context, axillary treatment should be approached with either axillary lymph node dissection or axillary radiation therapy after chemotherapy.', type='text')]",NO
What are the recommendations for radiotherapy after neoadjuvant chemotherapy in node-positive early-stage breast cancer?,Locoregional nodal irradiation is recommended,breast_cancer_14,"[TextBlock(text='The provided context does not contain information about radiotherapy recommendations after neoadjuvant chemotherapy. The context only discusses surgical management (ALND or SLNB) based on nodal status before and after NAC.', type='text')]",NO
"What is the recommended neoadjuvant therapy for HER2-positive, node-positive breast cancer?",Patients should receive neoadjuvant therapy with an anthracycline and taxane-based regimen in combination with trastuzumab and pertuzumab.,breast_cancer_15,"[TextBlock(text='The recommended neoadjuvant therapy is either an anthracycline and taxane or non-anthracycline-based regimen combined with trastuzumab. Pertuzumab may also be added to trastuzumab.', type='text')]",NO
"How should neoadjuvant endocrine therapy be used in HR-positive, HER2-negative early-stage breast cancer?","For postmenopausal patients, neoadjuvant endocrine therapy with an aromatase inhibitor may be offered to increase surgical options.",breast_cancer_15,"[TextBlock(text='Neoadjuvant endocrine therapy can be used as an alternative to chemotherapy in postmenopausal patients with HR-positive/HER2-negative early-stage breast cancer, particularly when tumor downstaging is desired. The typical duration of treatment is 3-6 months.', type='text')]",NO
What is the recommendation for first-line therapy for esophageal SCC with PD-L1 TPS≥1%?,Administer nivolumab plus fluoropyrimidine- and platinum-based chemotherapy.,gi_cancer_2,"[TextBlock(text='The recommended first-line therapy for esophageal squamous cell carcinoma with PD-L1 TPS≥1% is supported by data from CheckMate 648. However, the specific treatment recommendation is not explicitly stated in the provided context.', type='text')]",NO
When is ramucirumab plus paclitaxel recommended?,For advanced gastroesophageal cancer patients progressing after first-line therapy.,gi_cancer_2,"[TextBlock(text='Ramucirumab plus paclitaxel is recommended when advanced gastroesophageal or GEJ AC (adenocarcinoma) has progressed after first-line treatment.', type='text')]",YES
What is recommended for HER2-positive gastric cancer patients after progression on first-line therapy?,Trastuzumab deruxtecan is recommended.,gi_cancer_2,"[TextBlock(text='Trastuzumab deruxtecan is recommended.', type='text')]",YES
Should adjuvant chemotherapy be recommended for stage II colon cancer patients with dMMR/MSI tumors?,Adjuvant fluoropyrimidine-only chemotherapy is not recommended.,gi_cancer_4,"[TextBlock(text='No, adjuvant chemotherapy is not routinely recommended for stage II colon cancer patients with dMMR/MSI tumors because the harms outweigh the benefits.', type='text')]",NO
Should adjuvant chemotherapy be offered for low-risk stage II colon cancer patients?,ACT is not routinely recommended.,gi_cancer_4,"[TextBlock(text='No, adjuvant chemotherapy should not routinely be offered to low-risk stage II colon cancer patients.', type='text')]",YES
What is the duration of oxaliplatin-based chemotherapy for high-risk stage II colon cancer?,"3 or 6 months, decided based on patient preference and potential for adverse events.",gi_cancer_4,"[TextBlock(text='Either 3 or 6 months, with the choice made after discussing benefits and risks with the patient.', type='text')]",YES
What chemotherapy is recommended as radiosensitizer for stage I-III anal SCC?,Mitomycin-C with fluorouracil (FU) or capecitabine.,gi_cancer_1,"[TextBlock(text='MMC with a fluoropyrimidine (FU or capecitabine) is recommended as the radiosensitizer.', type='text')]",YES
How should patients with BRAF V600E-mutant mCRC receive after prior chemotherapy?,Encorafenib plus cetuximab is recommended.,gi_cancer_3,"[TextBlock(text='Patients with BRAF V600E-mutant mCRC should receive encorafenib plus cetuximab after prior chemotherapy.', type='text')]",YES
Should anti-EGFR be added as the first-line therapy for RAS mutatnt left-sided mCRC?,"No,  anti-EGFR is added for RAS wild type left-sided mCRC",gi_cancer_3,"[TextBlock(text='No, anti-EGFR therapy is only recommended for RAS wild-type (not mutant) left-sided mCRC.', type='text')]",YES
When is stereotactic body radiation therapy recommended for liver oligometastases in mCRC?,It may be recommended after systemic therapy if resection is not feasible.,gi_cancer_3,"[TextBlock(text='SBRT is recommended for patients with metastatic colorectal cancer who have potentially curable oligometastatic liver metastases.', type='text')]",NO
How long is the healing period from dental procedure before radiation therapy for head and neck cancer patients to prevent osteoradionecrosis (ORN)?,Ensure at least a 2-week healing period when possible.,headneck_cancer_1,"[TextBlock(text='At least 2 weeks.', type='text')]",YES
What are the surgical recommendations for advanced-stage ORN in head and neck cancer patients?,"For advanced ORN, surgical debridement or resection with vascularized bone reconstruction is recommended to restore function and manage complications.",headneck_cancer_1,"[TextBlock(text='The surgical recommendations for advanced-stage ORN in head and neck cancer patients are segmental maxillectomy or mandibulectomy with free flap reconstruction.', type='text')]",YES
Should immunotherapy single agent be initiated in metastatic head and neck squamous cell carcinoma (HNSCC) with PD-L1 < 1?,"No, combination therapy is preferred for CPS <1.",headneck_cancer_2,"[TextBlock(text='Yes, according to the context, immunotherapy single agent should be initiated regardless of PD-L1 expression level, which includes cases where PD-L1 < 1.', type='text')]",NO
What are the guidelines for immunotherapy in platinum-refractory recurrent or metastatic HNSCC?,Pembrolizumab or nivolumab should be offered to patients regardless of PD-L1 CPS status.,head_neck_cancer_2,,
What is the recommendation for PD-L1 biomarker testing in recurrent/metastatic HNSCC?,"PD-L1 immunohistochemistry testing is recommended, and a CPS ≥1 is considered positive for PD-1 inhibitor therapy.",headneck_cancer_2,"[TextBlock(text='PD-L1 immunohistochemistry testing is recommended for patients with recurrent or metastatic HNSCC.', type='text')]",NO
Can radiation therapy be integrated with immunotherapy for recurrent HNSCC?,Radiation therapy may be safely administered concurrently with immunotherapy for palliative or local control in oligometastatic settings,headneck_cancer_2,"[TextBlock(text='Yes, radiation therapy can be given concurrently with immunotherapy for oligometastatic HNSCC, but only for palliative purposes or local control, not to enhance immunotherapy response unless part of a clinical trial.', type='text')]",YES
What are the PARP inhibitor recommendations for newly diagnosed advanced ovarian cancer responding to platinum-based chemotherapy?,"PARP inhibitors are recommended as maintenance therapy for BRCA-mutated or HRD-positive patients, with varying regimens based on genetic status.",gynecologic_cancer_1,"[TextBlock(text='PARP inhibitor maintenance therapy can be offered to all patients with newly diagnosed advanced ovarian cancer who responded to platinum-based therapy, regardless of BRCA status. Options include:\n- Olaparib 300 mg twice daily\n- Rucaparib 600 mg twice daily\n- Niraparib 200-300 mg once daily\nTreatment continues until disease progression or intolerable toxicity.', type='text')]",NO
What is the effect of PARP inhibitors on patients' overall survival in recurrent ovarian cancer without BRCA-mutation or HRD-positivity?,Evidence suggests potential overall survival detriments in later-line treatments with PARP inhibitors,gynecologic_cancer_1,"[TextBlock(text='The specific effect on overall survival is not explicitly stated in the given context. The context only mentions that this effect should be weighed against progression-free survival benefits.', type='text')]",NO
What is the effect of PARP inhibitors on patients' progression-free survival in recurrent ovarian cancer without BRCA-mutation or HRD-positivity?,PARP inhibitors demonstrated progression-free survival benefits,gynecologic_cancer_1,"[TextBlock(text='According to the context, PARP inhibitors have a positive effect on progression-free survival in these patients.', type='text')]",YES
What surgical approach is recommended for T3-T4 parotid cancers with high-grade malignancy?,"At least a superficial parotidectomy, with consideration of total or subtotal parotidectomy.",headneck_cancer_3,"[TextBlock(text='At least a superficial parotidectomy, with consideration of total or subtotal parotidectomy.', type='text')]",YES
What is the recommended follow-up imaging schedule for high-grade salivary gland cancers post-treatment?,"Baseline imaging at 3 months, every 6-12 months for the first 2 years, and symptom-directed imaging from years 3-5. Yearly chest CT may be considered for high-grade cases.",headneck_cancer_3,"[TextBlock(text='Yearly imaging may be offered, particularly for cases with poor prognostic features or high-grade histology.', type='text')]",NO
What chemotherapy regimen is recommended for stage III-IVA nasopharyngeal carcinoma (NPC) during induction?,"Platinum-based regimens such as GP (gemcitabine and cisplatin) or TPF (docetaxel, cisplatin, 5-fluorouracil) every 3 weeks for 2-3 cycles.",headneck_cancer_4,"[TextBlock(text='The context only specifies the frequency (every 3 weeks for 2-3 cycles) but does not mention the specific chemotherapy drugs or regimen recommended for stage III-IVA NPC during induction.', type='text')]",NO
What radiotherapy technique is preferred for stage II-IVA nasopharyngeal carcinoma?,Intensity-modulated radiotherapy (IMRT) with daily image guidance is strongly recommended.,headneck_cancer_4,"[TextBlock(text='IMRT with daily image guidance is the preferred radiotherapy technique.', type='text')]",YES
What is the role of adjuvant chemotherapy for T3N0 nasopharyngeal carcinoma patients?,"Adjuvant chemotherapy may be offered, typically using a PF regimen.",headneck_cancer_4,"[TextBlock(text='The role of adjuvant chemotherapy specifically for T3N0 nasopharyngeal carcinoma patients cannot be determined from the provided context.', type='text')]",NO
What is the schedule of radiation recommended for radiotherapy in nasopharyngeal carcinoma?,A dose of 70 Gy in 33-35 fractions (2.0-2.12 Gy per fraction) over 7 weeks is recommended.,headneck_cancer_4,"[TextBlock(text='70 Gy in 33-35 fractions (2.0-2.12 Gy per fraction) delivered over 7 weeks, once daily with 5 fractions per week.', type='text')]",YES
What are the treatment options for MET exon 14 skipping mutation-positive NSCLC?,Capmatinib or tepotinib are recommended.,lung_cancer_3,"[TextBlock(text='Capmatinib and tepotinib are the treatment options for MET exon 14 skipping mutation-positive NSCLC.', type='text')]",YES
What is the guideline for first-line treatment in EGFR exon 20 insertion NSCLC?,Chemotherapy combined with amivantamab,lung_cancer_3,"[TextBlock(text='The context appears to be incorrect. Osimertinib is not typically recommended as first-line treatment for EGFR exon 20 insertion NSCLC. Osimertinib is actually approved for EGFR exon 19 deletions or exon 21 L858R mutations. The correct first-line treatment recommendation for EGFR exon 20 insertion NSCLC cannot be determined from the given context.', type='text')]",NO
What is the recommended first-line treatment for stage IV NSCLC with EGFR exon 19 deletion mutation?,Osimertinib is recommended as the first-line treatment,lung_cancer_1,"[TextBlock(text='Osimertinib is the recommended first-line treatment.', type='text')]",YES
How should patients with stage IV NSCLC and EGFR mutation progress after osimertinib treatment?,"Platinum-based chemotherapy, with or without amivantamab",lung_cancer_1,"[TextBlock(text='According to the context, these patients should be considered for:\n1. Platinum-based chemotherapy\n2. Amivantamab\n3. Other third-generation TKIs (if no T790M or other targetable alterations)\n\nAdditionally, tissue and/or blood NGS testing should be performed to check for new mutations and guide treatment decisions.', type='text')]",NO
What is the first line treatment for stage IV NSCLC with ROS1 fusion mutation?,"First-line treatment includes repotrectinib, entrectinib, or crizotinib.",lung_cancer_1,"[TextBlock(text='This appears to be incorrect context. The information provided mentions ROS1 fusion mutation but appears inaccurate, as crizotinib or entrectinib are typically recommended as first-line treatments for ROS1-positive NSCLC. I cannot provide a definitive answer based on the given context alone.', type='text')]",NO
What is the benefit of amivantamab plus lazertinib over osmiertinib alone in untreated EGFR mutation-positive stage IV NSCLC?,Amivantamab plus lazertinib showed a median PFS of 23.7 months compared to 16.6 months with osimertinib alone.,lung_cancer_1,"[TextBlock(text='The combination of amivantamab plus lazertinib shows improved progression-free survival (PFS) compared to osimertinib alone in untreated EGFR mutation-positive stage IV NSCLC.', type='text')]",NO
Should anti-PD-L1 be used for second-line therapy for EGFR mutation-positive NSCLC without targetable alterations?,Anti-PD-(L)1 agents are not recommended,lung_cancer_1,"[TextBlock(text='No, anti-PD-L1 should not be used for second-line therapy in this case.', type='text')]",YES
How should osimertinib be administered with chemotherapy for advanced EGFR-mutated NSCLC?,Osimertinib plus platinum-based chemotherapy with maintenance pemetrexed is recommended for certain patients.,lung_cancer_1,"[TextBlock(text='Osimertinib should be administered with platinum doublet chemotherapy.', type='text')]",NO
What is the treatment recommendation for ROS1-positive NSCLC after progression on crizotinib?,Patients may be offered lorlatinib as a second-line treatment.,lung_cancer_1,"[TextBlock(text='Repotrectinib may be offered to patients with ROS1-positive NSCLC after progression on crizotinib.', type='text')]",NO
What is the efficacy of atezolizumab plus bevacizumab and chemotherapy in EGFR-mutated NSCLC?,"In the ATTLAS trial, this combination showed a median PFS of 8.48 months compared to 5.62 months with chemotherapy alone.",lung_cancer_1,"[TextBlock(text='The efficacy of atezolizumab plus bevacizumab and chemotherapy in EGFR-mutated NSCLC cannot be determined from the given context.', type='text')]",NO
What are the recommendations for 1st line therapy in patients with MET exon 14 skipping mutations?,Capmatinib or tepotinib are recommended as first-line therapies.,lung_cancer_1,"[TextBlock(text='Capmatinib or tepotinib are recommended as first-line therapy options. If these are not available, standard first-line therapy following nondriver alteration guidelines should be used.', type='text')]",YES
What is the treatment for KRAS G12C-mutated NSCLC as 1st line therapy?,Chemotherapy,lung_cancer_1,"[TextBlock(text='Sotorasib is the recommended treatment for KRAS G12C-mutated NSCLC as first-line therapy.', type='text')]",NO
What is the recommendation for RET rearrangement-positive NSCLC as 1st line therapy?,Selpercatinib or pralsetinib are recommended as first-line therapies.,lung_cancer_1,"[TextBlock(text='Selpercatinib is recommended as first-line therapy for RET rearrangement-positive NSCLC.', type='text')]",NO
How should clinicians manage EGFR T790M resistance alterations in advanced NSCLC?,Osimertinib is the recommended treatment for EGFR T790M resistance alterations.,lung_cancer_1,"[TextBlock(text='This specific context does not provide information about managing EGFR T790M resistance alterations. The context only discusses treatment for patients without T790M alterations.', type='text')]",NO
What is the first-line treatment for patients with stage IV NSCLC and PD-L1 TPS ≥50%?,Single-agent immunotherapy,lung_cancer_4,"[TextBlock(text='Nivolumab plus ipilimumab is the first-line treatment for patients with stage IV NSCLC and PD-L1 TPS ≥50%.', type='text')]",NO
Should single agent pembrolizumab be used for stage IV squamous NSCLC and PD-L1 expression 32%?,Pembrolizumab plus carboplatin and paclitaxel (or nab-paclitaxel) is recommended as first-line therapy.,lung_cancer_4,"[TextBlock(text='No, single agent pembrolizumab should not be used. The recommended treatment is a combination of platinum-based doublet chemotherapy and immunotherapy.', type='text')]",NO
What is the recommended therapy for stage IV NSCLC with PD-L1 TPS of 0?,Pembrolizumab plus carboplatin and pemetrexed,lung_cancer_4,"[TextBlock(text='The recommended therapy is a combination of platinum-based doublet chemotherapy and immunotherapy, assuming there are no contraindications to either therapy.', type='text')]",NO
What are the options for patients with stage IV NSCLC with squamous histology and PD-L1 TPS ≥50%?,"Single-agent pembrolizumab, cemiplimab, or atezolizumab, or combination with chemotherapy, may be offered.",lung_cancer_4,"[TextBlock(text='The options are:\n1. PD-(L)1 inhibitor monotherapy (pembrolizumab, cemiplimab, or atezolizumab)\n2. Chemoimmunotherapy regimens', type='text')]",YES
What is the recommended adjuvant therapy for completely resected stage I-IIIA NSCLC with EGFR mutations?,Adjuvant osimertinib is recommended,lung_cancer_5,"[TextBlock(text='Osimertinib is the recommended adjuvant therapy for completely resected stage I-IIIA NSCLC with EGFR mutations.', type='text')]",YES
How should stage II-IIIA NSCLC patients with PD-L1 expression ≥1% be managed after surgery?,Adjuvant atezolizumab is recommended after cisplatin-based chemotherapy for patients with PD-L1 ≥1%.,lung_cancer_5,"[TextBlock(text='They should be considered for adjuvant atezolizumab treatment.', type='text')]",YES
What is the adjuvant therapy for resected stage IIB-IIIA NSCLC without EGFR mutations or high PD-L1?,Cisplatin-based chemotherapy is recommended as the adjuvant therapy.,lung_cancer_5,"[TextBlock(text='Chemotherapy is the recommended adjuvant therapy for resected stage IIB-IIIA NSCLC without EGFR mutations or high PD-L1 expression.', type='text')]",YES
Should osimertinib be recommended for stage IB NSCLC with tumors ≥4 cm with EGFR mutation?,Adjuvant osimertinib may be considered,lung_cancer_5,"[TextBlock(text='Yes, osimertinib should be recommended for stage IB NSCLC with tumors ≥4 cm and sensitizing EGFR mutations.', type='text')]",NO
