Question,Answer,Guideline,Generated_answer,Matches_Expected
"In hormone receptor-positive, HER2-negative metastatic breast cancer, when should ctDNA testing be performed?","ctDNA testing is recommended at recurrence or progression on endocrine therapy, as ESR1 mutations often emerge under treatment pressure.",breast_cancer_3,"[TextBlock(text='Based on the given context, there is no specific information about when ctDNA testing should be performed. The context only states when it should not be used (for guiding adjuvant endocrine and chemotherapy decisions).', type='text')]",NO
"What is the recommendation for premenopausal women with node-positive, ER-positive, HER2-negative breast cancer?",Oncotype DX should not be used to guide chemotherapy decisions for premenopausal women with node-positive disease.,breast_cancer_7,"[TextBlock(text='The recommendation is 5 years of zoledronate (4 mg iv every 3 months for 2 years) plus endocrine therapy for 5 years.', type='text')]",NO
When can the Breast Cancer Index (BCI) test be offered for extended endocrine therapy decisions?,The BCI test may be offered to patients with 0-3 positive nodes who completed 5 years of endocrine therapy without recurrence.,breast_cancer_7,"[TextBlock(text='BCI can be offered after 5 years of primary endocrine therapy without recurrence in patients with node-negative or node-positive breast cancer (1-3 positive nodes).', type='text')]",YES
What are the benefits of adjuvant bisphosphonate therapy in postmenopausal breast cancer patients?,Adjuvant bisphosphonates improve overall survival modestly and reduce risks of bone recurrence and fracture rates.,breast_cancer_8,"[TextBlock(text=""According to the context, adjuvant bisphosphonate therapy provides:\n1. Modest improvement in overall survival\n2. Reduction in recurrence\n3. Reduction in distant recurrence\n4. Reduction in breast cancer mortality\n\nHowever, the absolute benefit is considered small and depends on the individual patient's risk profile."", type='text')]",YES
"Which bisphosphonates are recommended for adjuvant therapy, and what are the doses?","Recommended options include oral clodronate (1,600 mg daily for 2-3 years), oral ibandronate (50 mg daily for 3 years), and zoledronic acid (4 mg every 6 months for 3 years).",breast_cancer_8,"[TextBlock(text='The recommended bisphosphonates are:\n1. Oral clodronate: 1,600 mg daily for 2-3 years\n2. Oral ibandronate: 50 mg daily for 3 years\n3. Zoledronic acid: 4 mg every 6 months for 3 years, or 4 mg every 3 months for 2 years', type='text')]",YES
Should adjuvant denosumab be used to prevent recurrence in breast cancer?,Denosumab is not recommended as it does not consistently reduce recurrence rates.,breast_cancer_8,"[TextBlock(text='No, adjuvant denosumab should not be recommended to reduce breast cancer recurrence due to lack of benefit in preventing bone metastasis and high risk of jaw osteonecrosis.', type='text')]",YES
What is the recommendation for testing for ESR1 mutations in metastatic breast cancer?,Routine ESR1 mutation testing is not recommended,breast_cancer_6,"[TextBlock(text='Testing should be done using a CLIA-certified assay on blood (preferred) or tissue obtained at the time of progression, with blood-based ctDNA testing being preferred due to higher sensitivity. Retesting may be needed at subsequent progressions if initial tests are negative.', type='text')]",NO
What biomarker testing is advised for metastatic HER2-negative breast cancer with immune checkpoint inhibitor candidates?,Testing for PD-L1 expression in tumor and immune cells is recommended to determine eligibility for pembrolizumab plus chemotherapy.,breast_cancer_6,"[TextBlock(text='TMB (tumor mutational burden) and MSI (microsatellite instability) testing are advised for these patients.', type='text')]",NO
Should circulating tumor DNA (ctDNA) be routinely used to monitor therapy response in metastatic breast cancer?,Routine use of ctDNA for monitoring therapy response is not recommended due to insufficient data.,breast_cancer_6,"[TextBlock(text='No, ctDNA should not be routinely used to monitor therapy response in metastatic breast cancer due to lack of evidence for clinical utility at this time.', type='text')]",YES
Can adjuvant pembrolizumab be administered with radiation therapy?,Adjuvant pembrolizumab can be given concurrently with or after completion of radiation therapy.,breast_cancer_9,"[TextBlock(text=""No, adjuvant pembrolizumab should not be administered with radiation therapy unless it's part of a clinical trial."", type='text')]",NO
How many years of abemaciclib should be used in combination with endocrine therapy in high-risk early-stage breast cancer?,"Two years of abemaciclib (150 mg twice daily) with endocrine therapy for ≥5 years may be offered to patients with high-risk hormone receptor-positive, HER2-negative early-stage breast cancer.",breast_cancer_10,"[TextBlock(text='2 years.', type='text')]",NO
What are the criteria for high-risk early breast cancer suitable for abemaciclib treatment?,"Criteria include ≥4 positive axillary lymph nodes or 1-3 positive nodes with tumor size ≥5 cm, histologic grade 3, or Ki-67 ≥20%.",breast_cancer_10,"[TextBlock(text='High-risk criteria are:\n1. 4 or more positive axillary lymph nodes, OR\n2. 1-3 positive axillary lymph nodes plus at least one of:\n   - Histologic grade 3 disease\n   - Tumor size ≥5 cm\n   - Ki-67 index ≥20%\n\nAdditionally, the cancer must be hormone receptor-positive and HER2-negative.', type='text')]",YES
Is the use of abemaciclib restricted to patients with a high Ki-67 score?,Abemaciclib is recommended for broader patient populations at high risk of recurrence regardless of Ki-67 status.,breast_cancer_10,"[TextBlock(text='No, the use of abemaciclib is not restricted to patients with a high Ki-67 score.', type='text')]",NO
What is the role of olaparib in early-stage HER2-negative breast cancer with germline BRCA mutations?,Olaparib is recommended for one year after (neo)adjuvant chemotherapy and local treatment in high-risk early-stage HER2-negative breast cancer with BRCA mutations.,breast_cancer_11,"[TextBlock(text='Based on the context, olaparib is effective in treating early-stage HER2-negative breast cancer patients who have germline BRCA1/2 mutations and are at high risk of recurrence.', type='text')]",NO
What clinical criteria define high-risk patients eligible for olaparib?,"Eligibility includes triple-negative tumors >2 cm or node involvement, or hormone receptor-positive disease with ≥4 involved lymph nodes or a CPS-EG score ≥3.",breast_cancer_11,"[TextBlock(text='The specific clinical criteria that define ""high-risk"" patients are not provided in the given context. The context only mentions that the patients should have early-stage, HER2-negative breast cancer and BRCA1/2 mutations, but does not detail the specific high-risk criteria.', type='text')]",NO
What are the main findings from the OlympiA trial regarding olaparib?,The OlympiA trial demonstrated improved invasive and distant disease-free survival with olaparib compared to placebo.,breast_cancer_11,"[TextBlock(text='The OlympiA trial showed that olaparib did not significantly improve overall survival compared to standard chemotherapy (19.3 months vs 17.1 months). The safety profile remained consistent with previous analyses, with no evidence of cumulative toxicity from extended olaparib use.', type='text')]",NO
"What is the recommendation for first-line treatment of triple-negative, PD-L1-positive metastatic breast cancer?",The addition of immune checkpoint inhibitors (atezolizumab or pembrolizumab) to chemotherapy is recommended.,breast_cancer_12,"[TextBlock(text=""The context does not directly state the first-line treatment recommendation for triple-negative, PD-L1-positive metastatic breast cancer. While the context mentions pembrolizumab plus chemotherapy for PD-L1-positive patients, it doesn't specifically state this is first-line treatment."", type='text')]",NO
"What is the preferred treatment for triple-negative, PD-L1-negative metastatic breast cancer?",Single-agent chemotherapy is preferred,breast_cancer_12,"[TextBlock(text='According to the context, oral PARP inhibitors may be offered instead of chemotherapy from first- to third-line treatment for triple-negative, PD-L1-negative metastatic breast cancer.', type='text')]",NO
"What therapies are recommended for HR-positive HER2-negative metastatic breast cancer with BRCA mutations, who have progressed on endocine therapy?",Oral PARP inhibitors (olaparib or talazoparib) are recommended ,breast_cancer_12,"[TextBlock(text='Oral PARP inhibitors are recommended in first- through third-line setting rather than chemotherapy.', type='text')]",YES
"For patients with  HR-positive, HER2-negative who develop recurrence within one year of adjuvant AI therapy, what is the recommended in replacment of AI?",Fulvestrant or CDK4/6 inhibitors should be offered,breast_cancer_13,"[TextBlock(text='Fulvestrant combined with a CDK4/6 inhibitor is recommended.', type='text')]",YES
"When is sentinel lymph node biopsy not required for patients with early-stage hormone receptor-positive, HER2-negative invasive breast cancer?",Sentinel lymph node biopsy is not required for clinically node-negative women aged ≥70 years who will receive hormonal therapy.,breast_cancer_14,"[TextBlock(text='For patients age 70 years or older with clinically node-negative disease, especially if they will receive hormonal therapy.', type='text')]",YES
How should axillary treatment be approached for patients undergoing mastectomy with 1-2 positive sentinel nodes?,"Postmastectomy radiation to the axilla is recommended, and axillary lymph node dissection can be safely omitted.",breast_cancer_14,"[TextBlock(text='According to the context, axillary treatment should involve either axillary lymph node dissection or axillary radiation therapy for patients undergoing mastectomy with 1-2 positive sentinel nodes.', type='text')]",NO
What are the recommendations for radiotherapy after neoadjuvant chemotherapy in node-positive early-stage breast cancer?,Locoregional nodal irradiation is recommended,breast_cancer_14,"[TextBlock(text='The recommendation is to consider radiotherapy for patients with node-positive early-stage breast cancer who have received neoadjuvant chemotherapy.', type='text')]",NO
"What is the recommended neoadjuvant therapy for HER2-positive, node-positive breast cancer?",Patients should receive neoadjuvant therapy with an anthracycline and taxane-based regimen in combination with trastuzumab and pertuzumab.,breast_cancer_15,"[TextBlock(text='The recommended neoadjuvant therapy is either an anthracycline and taxane or non-anthracycline-based regimen combined with trastuzumab. Pertuzumab may also be added to trastuzumab.', type='text')]",NO
"How should neoadjuvant endocrine therapy be used in HR-positive, HER2-negative early-stage breast cancer?","For postmenopausal patients, neoadjuvant endocrine therapy with an aromatase inhibitor may be offered to increase surgical options.",breast_cancer_15,"[TextBlock(text='Based on the context, neoadjuvant endocrine therapy with an aromatase inhibitor can be used in postmenopausal women when tumor downstaging is desired, with similar activity to chemotherapy. Treatment duration should be individualized based on clinical status and response, typically lasting 3-6 months. However, in premenopausal women, it is less effective than chemotherapy for downstaging.', type='text')]",NO
What is the recommendation for first-line therapy for esophageal SCC with PD-L1 TPS≥1%?,Administer nivolumab plus fluoropyrimidine- and platinum-based chemotherapy.,gi_cancer_2,"[TextBlock(text=""The context does not directly state what the first-line therapy recommendation is. While it mentions that the recommendation is supported by CheckMate 648 data, it doesn't specify what the actual treatment recommendation is."", type='text')]",NO
When is ramucirumab plus paclitaxel recommended?,For advanced gastroesophageal cancer patients progressing after first-line therapy.,gi_cancer_2,"[TextBlock(text='Ramucirumab plus paclitaxel is recommended for advanced gastroesophageal or GEJ AC patients who have progressed after first-line treatment.', type='text')]",YES
What is recommended for HER2-positive gastric cancer patients after progression on first-line therapy?,Trastuzumab deruxtecan is recommended.,gi_cancer_2,"[TextBlock(text='Trastuzumab plus pembrolizumab in combination with fluoropyrimidine- and oxaliplatin-based chemotherapy is recommended.', type='text')]",NO
Should adjuvant chemotherapy be recommended for stage II colon cancer patients with dMMR/MSI tumors?,Adjuvant fluoropyrimidine-only chemotherapy is not recommended.,gi_cancer_4,"[TextBlock(text='No, adjuvant chemotherapy is not routinely recommended for stage II colon cancer patients with dMMR/MSI tumors.', type='text')]",NO
Should adjuvant chemotherapy be offered for low-risk stage II colon cancer patients?,ACT is not routinely recommended.,gi_cancer_4,"[TextBlock(text='No, adjuvant chemotherapy should not routinely be offered to low-risk stage II colon cancer patients.', type='text')]",YES
What is the duration of oxaliplatin-based chemotherapy for high-risk stage II colon cancer?,"3 or 6 months, decided based on patient preference and potential for adverse events.",gi_cancer_4,"[TextBlock(text='Either 3 or 6 months, with the choice made after discussing benefits and risks with the patient.', type='text')]",YES
What chemotherapy is recommended as radiosensitizer for stage I-III anal SCC?,Mitomycin-C with fluorouracil (FU) or capecitabine.,gi_cancer_1,"[TextBlock(text='Fluorouracil (FU) and mitomycin-C (MMC) are recommended as radiosensitizers for stage I-III anal SCC.', type='text')]",YES
How should patients with BRAF V600E-mutant mCRC receive after prior chemotherapy?,Encorafenib plus cetuximab is recommended.,gi_cancer_3,"[TextBlock(text='Patients with BRAF V600E-mutant mCRC should receive encorafenib plus cetuximab after prior chemotherapy.', type='text')]",YES
Should anti-EGFR be added as the first-line therapy for RAS mutatnt left-sided mCRC?,"No,  anti-EGFR is added for RAS wild type left-sided mCRC",gi_cancer_3,"[TextBlock(text='No, anti-EGFR therapy is only recommended for RAS wild-type left-sided mCRC, not for RAS mutant cases.', type='text')]",YES
When is stereotactic body radiation therapy recommended for liver oligometastases in mCRC?,It may be recommended after systemic therapy if resection is not feasible.,gi_cancer_3,"[TextBlock(text='SBRT is recommended for patients with metastatic colorectal cancer who have potentially curable oligometastatic liver metastases.', type='text')]",NO
How long is the healing period from dental procedure before radiation therapy for head and neck cancer patients to prevent osteoradionecrosis (ORN)?,Ensure at least a 2-week healing period when possible.,headneck_cancer_1,"[TextBlock(text=""2 weeks, as long as this delay doesn't compromise cancer treatment outcomes."", type='text')]",YES
What are the surgical recommendations for advanced-stage ORN in head and neck cancer patients?,"For advanced ORN, surgical debridement or resection with vascularized bone reconstruction is recommended to restore function and manage complications.",headneck_cancer_1,"[TextBlock(text='The surgical recommendations for advanced-stage ORN in head and neck cancer patients include segmental maxillectomy or mandibulectomy with free flap reconstruction.', type='text')]",YES
Should immunotherapy single agent be initiated in metastatic head and neck squamous cell carcinoma (HNSCC) with PD-L1 < 1?,"No, combination therapy is preferred for CPS <1.",headneck_cancer_2,"[TextBlock(text='Yes, immunotherapy single agent should be initiated in metastatic HNSCC regardless of PD-L1 expression level, including when PD-L1 < 1%.', type='text')]",NO
What are the guidelines for immunotherapy in platinum-refractory recurrent or metastatic HNSCC?,Pembrolizumab or nivolumab should be offered to patients regardless of PD-L1 CPS status.,head_neck_cancer_2,"[TextBlock(text='Based on the context, immunotherapy is recommended for patients with platinum-refractory recurrent or metastatic HNSCC. No specific details about the guidelines beyond this recommendation are provided in the context.', type='text')]",NO
What is the recommendation for PD-L1 biomarker testing in recurrent/metastatic HNSCC?,"PD-L1 immunohistochemistry testing is recommended, and a CPS ≥1 is considered positive for PD-1 inhibitor therapy.",headneck_cancer_2,"[TextBlock(text='PD-L1 immunohistochemistry testing is recommended for patients with recurrent or metastatic HNSCC.', type='text')]",NO
Can radiation therapy be integrated with immunotherapy for recurrent HNSCC?,Radiation therapy may be safely administered concurrently with immunotherapy for palliative or local control in oligometastatic settings,headneck_cancer_2,"[TextBlock(text='Yes, radiation therapy can be given concurrently with immunotherapy for oligometastatic HNSCC, but only for palliation or local control purposes, not to enhance immunotherapy response unless part of a clinical trial.', type='text')]",YES
What are the PARP inhibitor recommendations for newly diagnosed advanced ovarian cancer responding to platinum-based chemotherapy?,"PARP inhibitors are recommended as maintenance therapy for BRCA-mutated or HRD-positive patients, with varying regimens based on genetic status.",gynecologic_cancer_1,"[TextBlock(text='PARP inhibitor maintenance therapy is recommended rather than observation for patients with newly diagnosed advanced ovarian cancer who have responded to platinum-based chemotherapy.', type='text')]",NO
What is the effect of PARP inhibitors on patients' overall survival in recurrent ovarian cancer without BRCA-mutation or HRD-positivity?,Evidence suggests potential overall survival detriments in later-line treatments with PARP inhibitors,gynecologic_cancer_1,"[TextBlock(text='This information is not found in the provided context.', type='text')]",NO
What is the effect of PARP inhibitors on patients' progression-free survival in recurrent ovarian cancer without BRCA-mutation or HRD-positivity?,PARP inhibitors demonstrated progression-free survival benefits,gynecologic_cancer_1,"[TextBlock(text='The answer cannot be found in the provided context.', type='text')]",NO
What surgical approach is recommended for T3-T4 parotid cancers with high-grade malignancy?,"At least a superficial parotidectomy, with consideration of total or subtotal parotidectomy.",headneck_cancer_3,"[TextBlock(text='At least a superficial parotidectomy with consideration of a total or subtotal parotidectomy is recommended.', type='text')]",YES
What is the recommended follow-up imaging schedule for high-grade salivary gland cancers post-treatment?,"Baseline imaging at 3 months, every 6-12 months for the first 2 years, and symptom-directed imaging from years 3-5. Yearly chest CT may be considered for high-grade cases.",headneck_cancer_3,"[TextBlock(text='Yearly imaging may be offered, particularly for cases with poor prognostic features.', type='text')]",NO
What chemotherapy regimen is recommended for stage III-IVA nasopharyngeal carcinoma (NPC) during induction?,"Platinum-based regimens such as GP (gemcitabine and cisplatin) or TPF (docetaxel, cisplatin, 5-fluorouracil) every 3 weeks for 2-3 cycles.",headneck_cancer_4,"[TextBlock(text='The context specifies that the chemotherapy regimen should be administered every 3 weeks for 3 cycles, or at minimum 2 cycles. However, the specific drug regimen is not mentioned in the provided context.', type='text')]",NO
What radiotherapy technique is preferred for stage II-IVA nasopharyngeal carcinoma?,Intensity-modulated radiotherapy (IMRT) with daily image guidance is strongly recommended.,headneck_cancer_4,"[TextBlock(text='IMRT (Intensity-modulated radiotherapy) with daily image guidance is the preferred technique.', type='text')]",YES
What is the role of adjuvant chemotherapy for T3N0 nasopharyngeal carcinoma patients?,"Adjuvant chemotherapy may be offered, typically using a PF regimen.",headneck_cancer_4,"[TextBlock(text='According to the context, adjuvant chemotherapy improves treatment outcomes and reduces the risk of recurrence in T3N0 nasopharyngeal carcinoma patients.', type='text')]",NO
What is the schedule of radiation recommended for radiotherapy in nasopharyngeal carcinoma?,A dose of 70 Gy in 33-35 fractions (2.0-2.12 Gy per fraction) over 7 weeks is recommended.,headneck_cancer_4,"[TextBlock(text='70 Gy in 33-35 fractions (2.0-2.12 Gy per fraction), given once daily, 5 fractions per week over 7 weeks.', type='text')]",YES
What are the treatment options for MET exon 14 skipping mutation-positive NSCLC?,Capmatinib or tepotinib are recommended.,lung_cancer_3,"[TextBlock(text='According to the context, capmatinib and tepotinib are the treatment options for MET exon 14 skipping mutation-positive NSCLC.', type='text')]",YES
What is the guideline for first-line treatment in EGFR exon 20 insertion NSCLC?,Chemotherapy combined with amivantamab,lung_cancer_3,"[TextBlock(text='Osimertinib plus chemotherapy is the guideline for first-line treatment in EGFR exon 20 insertion NSCLC.', type='text')]",NO
What is the recommended first-line treatment for stage IV NSCLC with EGFR exon 19 deletion mutation?,Osimertinib is recommended as the first-line treatment,lung_cancer_1,"[TextBlock(text='Osimertinib is the recommended first-line treatment.', type='text')]",YES
How should patients with stage IV NSCLC and EGFR mutation progress after osimertinib treatment?,"Platinum-based chemotherapy, with or without amivantamab",lung_cancer_1,"[TextBlock(text='According to the context, patients with stage IV NSCLC and EGFR mutation who progress after osimertinib treatment should undergo repeat biomarker testing. If T790M mutation is detected, osimertinib should be offered. For those who received osimertinib as first-line therapy, they should receive either platinum doublet chemotherapy or follow the nondriver alteration guideline.', type='text')]",NO
What is the first line treatment for stage IV NSCLC with ROS1 fusion mutation?,"First-line treatment includes repotrectinib, entrectinib, or crizotinib.",lung_cancer_1,"[TextBlock(text='Entrectinib is the first-line treatment for stage IV NSCLC with ROS1 fusion mutation.', type='text')]",NO
What is the benefit of amivantamab plus lazertinib over osmiertinib alone in untreated EGFR mutation-positive stage IV NSCLC?,Amivantamab plus lazertinib showed a median PFS of 23.7 months compared to 16.6 months with osimertinib alone.,lung_cancer_1,"[TextBlock(text='The benefit is improved progression-free survival (PFS).', type='text')]",NO
Should anti-PD-L1 be used for second-line therapy for EGFR mutation-positive NSCLC without targetable alterations?,Anti-PD-(L)1 agents are not recommended,lung_cancer_1,"[TextBlock(text='Yes, anti-PD-L1 should be considered for second-line therapy in this situation.', type='text')]",NO
How should osimertinib be administered with chemotherapy for advanced EGFR-mutated NSCLC?,Osimertinib plus platinum-based chemotherapy with maintenance pemetrexed is recommended for certain patients.,lung_cancer_1,"[TextBlock(text='Based on the provided context, there is no information about how osimertinib should be administered with chemotherapy. The context only indicates that platinum doublet chemotherapy is recommended after first-line osimertinib treatment, not concurrent administration.', type='text')]",NO
What is the treatment recommendation for ROS1-positive NSCLC after progression on crizotinib?,Patients may be offered lorlatinib as a second-line treatment.,lung_cancer_1,"[TextBlock(text='The provided context does not address treatment recommendations specifically after progression on crizotinib. The context only discusses treatment options after chemotherapy for patients who have not received prior TKI therapy.', type='text')]",NO
What is the efficacy of atezolizumab plus bevacizumab and chemotherapy in EGFR-mutated NSCLC?,"In the ATTLAS trial, this combination showed a median PFS of 8.48 months compared to 5.62 months with chemotherapy alone.",lung_cancer_1,"[TextBlock(text='The efficacy results are not provided in the given context. While it mentions that a phase III randomized trial was conducted to study this combination, the actual results or efficacy data are not included in the context.', type='text')]",NO
What are the recommendations for 1st line therapy in patients with MET exon 14 skipping mutations?,Capmatinib or tepotinib are recommended as first-line therapies.,lung_cancer_1,"[TextBlock(text='Capmatinib or tepotinib are recommended as first-line therapy options for patients with MET exon 14 skipping mutations.', type='text')]",YES
What is the treatment for KRAS G12C-mutated NSCLC as 1st line therapy?,Chemotherapy,lung_cancer_1,"[TextBlock(text='The context does not specify first-line treatment for KRAS G12C-mutated NSCLC. It only mentions that sotorasib and adagrasib are approved for use after first-line therapy (as second-line treatment).', type='text')]",NO
What is the recommendation for RET rearrangement-positive NSCLC as 1st line therapy?,Selpercatinib or pralsetinib are recommended as first-line therapies.,lung_cancer_1,"[TextBlock(text='There appears to be an error in the context. The context mentions MET-targeted therapy but the question asks about RET rearrangement-positive NSCLC. The context does not provide the correct recommendation for RET rearrangement-positive NSCLC as first-line therapy.', type='text')]",NO
How should clinicians manage EGFR T790M resistance alterations in advanced NSCLC?,Osimertinib is the recommended treatment for EGFR T790M resistance alterations.,lung_cancer_1,"[TextBlock(text='Clinicians should treat patients who develop EGFR T790M resistance alterations after first- or second-generation EGFR TKIs with osimertinib.', type='text')]",YES
What is the first-line treatment for patients with stage IV NSCLC and PD-L1 TPS ≥50%?,Single-agent immunotherapy,lung_cancer_4,"[TextBlock(text='Monotherapy with PD-(L)1 inhibitors (pembrolizumab, cemiplimab, or atezolizumab) is the first-line treatment.', type='text')]",YES
Should single agent pembrolizumab be used for stage IV squamous NSCLC and PD-L1 expression 32%?,Pembrolizumab plus carboplatin and paclitaxel (or nab-paclitaxel) is recommended as first-line therapy.,lung_cancer_4,"[TextBlock(text='The context does not specifically address whether single-agent pembrolizumab should be used for stage IV squamous NSCLC with PD-L1 expression of 32%. Instead, it recommends combination platinum-based doublet chemotherapy and immunotherapy for this PD-L1 expression range (1%-49%).', type='text')]",NO
What is the recommended therapy for stage IV NSCLC with PD-L1 TPS of 0?,Pembrolizumab plus carboplatin and pemetrexed,lung_cancer_4,"[TextBlock(text='The recommended therapy is a combination of platinum-based doublet chemotherapy and immunotherapy (if there are no contraindications to either therapy).', type='text')]",NO
What are the options for patients with stage IV NSCLC with squamous histology and PD-L1 TPS ≥50%?,"Single-agent pembrolizumab, cemiplimab, or atezolizumab, or combination with chemotherapy, may be offered.",lung_cancer_4,"[TextBlock(text='The options are:\n1. Monotherapy immunotherapy (pembrolizumab, cemiplimab, or atezolizumab)\n2. Chemoimmunotherapy', type='text')]",YES
What is the recommended adjuvant therapy for completely resected stage I-IIIA NSCLC with EGFR mutations?,Adjuvant osimertinib is recommended,lung_cancer_5,"[TextBlock(text='Adjuvant platinum chemotherapy, followed by osimertinib, is recommended for completely resected stage I-IIIA NSCLC with EGFR exon 19 deletion or exon 21 L858R mutations.', type='text')]",NO
How should stage II-IIIA NSCLC patients with PD-L1 expression ≥1% be managed after surgery?,Adjuvant atezolizumab is recommended after cisplatin-based chemotherapy for patients with PD-L1 ≥1%.,lung_cancer_5,"[TextBlock(text='Answer: With adjuvant chemotherapy.', type='text')]",NO
What is the adjuvant therapy for resected stage IIB-IIIA NSCLC without EGFR mutations or high PD-L1?,Cisplatin-based chemotherapy is recommended as the adjuvant therapy.,lung_cancer_5,"[TextBlock(text='Adjuvant chemotherapy followed by observation.', type='text')]",NO
